class0_threshold,Accuracy,Macro_F1,Class0_Precision,Class0_Recall,Class0_F1,Class0_F2
0.2,0.7494199535962877,0.5699801120897725,0.14444444444444443,0.43333333333333335,0.21666666666666667,0.30952380952380953
0.21,0.7703016241299304,0.5846348014919819,0.18032786885245902,0.36666666666666664,0.24175824175824176,0.30386740331491713
0.19,0.7180974477958236,0.5453270484356681,0.11023622047244094,0.4666666666666667,0.17834394904458598,0.2834008097165992
0.18,0.654292343387471,0.5121212632311712,0.08762886597938144,0.5666666666666667,0.15178571428571427,0.27070063694267515
0.17,0.5568445475638051,0.46529438062043976,0.07094594594594594,0.7,0.12883435582822086,0.25240384615384615
0.16,0.4605568445475638,0.40682110755742307,0.0583756345177665,0.7666666666666667,0.10849056603773585,0.2237354085603113
0.22,0.7784222737819025,0.5721177359832822,0.16666666666666666,0.23333333333333334,0.19444444444444445,0.21604938271604937
0.15,0.36310904872389793,0.34804124427426647,0.048879837067209775,0.8,0.09213051823416507,0.19639934533551553
0.14,0.27494199535962877,0.28728799062691923,0.04498269896193772,0.8666666666666667,0.08552631578947369,0.18624641833810887
0.13,0.18909512761020883,0.21644208507924878,0.04185351270553064,0.9333333333333333,0.08011444921316166,0.1774397972116603
0.12,0.13225058004640372,0.1621006974410116,0.03814713896457766,0.9333333333333333,0.07329842931937172,0.1639344262295082
0.11,0.08236658932714618,0.10389274487478627,0.03647798742138365,0.9666666666666667,0.0703030303030303,0.15846994535519124
