split,combination_of_classifiers,classifier_1,classifier_2,n_classifiers,Nf_all_wrong_table8,Nt_all_correct_table8,Nci_disagreement_sum_table8,rho_n_table8,N_TT_both_correct,N_TF_tlstm_correct_gat_wrong,N_FT_tlstm_wrong_gat_correct,N_FF_both_wrong,rho_eq10,tlstm_accuracy,gat_accuracy,agreement_rate,disagreement_rate,ideal_dcs_upper_bound_acc,oracle_gain_over_best_single,total_rows
val,TLSTM & GAT,TLSTM,GAT,2,42,748,72,0.5384615384615384,748,49,23,42,0.5384615384615384,0.9245939675174014,0.894431554524362,0.9129930394431555,0.08700696055684455,0.951276102088167,0.026682134570765625,862
test,TLSTM & GAT,TLSTM,GAT,2,83,1497,143,0.5372168284789643,1497,99,44,83,0.5372168284789643,0.926291352292513,0.8943702843876958,0.9152640742890308,0.08473592571096925,0.9518282066163668,0.025536854323853775,1723
