Model,Accuracy,Precision_Weighted,Recall_Weighted,Macro_F1,Weighted_F1,QWK,Ordinal_MAE,AUC_ROC_OVR_Macro,AUC
TLSTM only,0.926291352292513,0.9251196295776302,0.926291352292513,0.8173293570201753,0.9256415456613952,0.8698017199899098,0.07544979686593152,0.9759488385610008,0.9759488385610008
GAT only,0.8943702843876958,0.8999409941115893,0.8943702843876958,0.7615884022485672,0.8966501373649882,0.8249167259422964,0.1073708647707487,0.9501017952557108,0.9501017952557108
Soft voting,0.922809053975624,0.9233392417475336,0.922809053975624,0.7996486979689821,0.920520818262545,0.8670079501921824,0.0771909460243761,0.9735571189184186,0.9735571189184186
Validation-weighted voting,0.9239698200812536,0.9242941448357626,0.9239698200812536,0.8004733875571243,0.9216247582174101,0.8689517030362321,0.07603017991874637,0.9736628420245017,0.9736628420245017
DMF/DCS proposed (constant),0.9274521183981428,0.9278740371940162,0.9274521183981428,0.8017051586622227,0.9245591839425009,0.870873458987522,0.07312826465467208,0.9686734310274603,0.9686734310274603
