class0_threshold,Accuracy,Precision_Weighted,Recall_Weighted,Macro_F1,Weighted_F1,Class0_Precision,Class0_Recall,Class0_F1,Class0_F2,Class0_Support,AUC,QWK,ChgAcc,Ordinal_MAE
0.05,0.7157772621809745,0.7556043709507747,0.7157772621809745,0.4925692098175734,0.7268449269001982,0.045454545454545456,0.13333333333333333,0.06779661016949153,0.09615384615384615,30,0.7684550545572745,0.43154193729580614,0.22388059701492538,0.3329466357308585
0.06,0.7180974477958236,0.7546051160266124,0.7180974477958236,0.4942282022658094,0.7276241686850596,0.047619047619047616,0.13333333333333333,0.07017543859649122,0.09803921568627452,30,0.7684550545572745,0.43093894748993533,0.23880597014925373,0.3294663573085847
0.07,0.7273781902552204,0.7560877279990053,0.7273781902552204,0.5025336939931285,0.7341651649088241,0.05405405405405406,0.13333333333333333,0.07692307692307693,0.10309278350515465,30,0.7684550545572745,0.4374777955205852,0.26865671641791045,0.3167053364269142
0.08,0.7296983758700696,0.7556635535101452,0.7296983758700696,0.5042107852656911,0.735454704774839,0.056338028169014086,0.13333333333333333,0.07920792079207921,0.10471204188481675,30,0.7684550545572745,0.4442410881410922,0.26865671641791045,0.31206496519721577
0.09,0.7320185614849188,0.7530317902439823,0.7320185614849188,0.5056799976154815,0.7360073092615568,0.06060606060606061,0.13333333333333333,0.08333333333333333,0.10752688172043012,30,0.7684550545572745,0.457088926982415,0.26865671641791045,0.3051044083526682
0.1,0.7320185614849188,0.7510573616742647,0.7320185614849188,0.4997325809763808,0.7354361801972618,0.047619047619047616,0.1,0.06451612903225806,0.0819672131147541,30,0.7684550545572745,0.4508484482456311,0.26865671641791045,0.3051044083526682
0.11,0.7354988399071926,0.7522904688117175,0.7354988399071926,0.5027249154352059,0.7380451672708875,0.05,0.1,0.06666666666666667,0.08333333333333333,30,0.7684550545572745,0.4546561816354284,0.26865671641791045,0.3004640371229698
0.12,0.7354988399071926,0.7522904688117175,0.7354988399071926,0.5027249154352059,0.7380451672708875,0.05,0.1,0.06666666666666667,0.08333333333333333,30,0.7684550545572745,0.4546561816354284,0.26865671641791045,0.3004640371229698
0.13,0.7366589327146171,0.751107083498618,0.7366589327146171,0.5039646712810034,0.7381217736570425,0.05263157894736842,0.1,0.06896551724137931,0.08474576271186442,30,0.7684550545572745,0.4497594293328653,0.26865671641791045,0.29930394431554525
0.14,0.7378190255220418,0.7505368969158192,0.7378190255220418,0.5050565229011376,0.738715133109163,0.05454545454545454,0.1,0.07058823529411765,0.08571428571428572,30,0.7684550545572745,0.45247398974062103,0.26865671641791045,0.29698375870069604
0.15,0.740139211136891,0.7504835887039246,0.740139211136891,0.5074142444026092,0.7402636968654698,0.057692307692307696,0.1,0.07317073170731707,0.0872093023255814,30,0.7684550545572745,0.45487191374970015,0.26865671641791045,0.29350348027842227
0.16,0.740139211136891,0.7504835887039246,0.740139211136891,0.5074142444026092,0.7402636968654698,0.057692307692307696,0.1,0.07317073170731707,0.0872093023255814,30,0.7684550545572745,0.45487191374970015,0.26865671641791045,0.29350348027842227
0.17,0.7412993039443155,0.7509804393029612,0.7412993039443155,0.5086619362187443,0.7412175547933866,0.058823529411764705,0.1,0.07407407407407407,0.08771929824561403,30,0.7684550545572745,0.45451056602541073,0.26865671641791045,0.2923433874709977
0.18,0.7424593967517401,0.7502194231523303,0.7424593967517401,0.5025345796848838,0.7418567963358029,0.041666666666666664,0.06666666666666667,0.05128205128205128,0.05952380952380952,30,0.7684550545572745,0.44984860189113385,0.26865671641791045,0.29118329466357307
0.19,0.7447795823665894,0.7511736457440924,0.7447795823665894,0.504848807202966,0.7437205657080299,0.043478260869565216,0.06666666666666667,0.05263157894736842,0.06024096385542169,30,0.7684550545572745,0.4490717030782234,0.26865671641791045,0.2888631090487239
