Ngày,Tên tổ chức,URL trang,Ngành,Loại xếp hạng,Phân loại,Mức xếp hạng,Triển vọng,ISIN,PDF_VI,PDF_EN
16/06/2025,Công ty Cổ Phần Logistics Nông Sản Xuất Khẩu Tây Nguyên,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-logistics-nong-san-xaat-khaa-tay-ngayen-id1971244.html,Doanh nghiệp phi tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,B-,Ổn định,,https://cms.fiinratings.vn/UploadFile/17-06-2025/TN.pdf,
16/06/2025,Công ty Cổ phần Xây dựng Coteccons,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-xay-dung-coteccons-id2564.html,Doanh nghiệp phi tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BBB+,Ổn định,,https://cms.fiinratings.vn/UploadFile/16-06-2025/%5BVN%5DFiinRatings_Cong_bo_XHTN_Cap_nhat_Coteccons_2025_06.pdf,https://cms.fiinratings.vn/UploadFile/16-06-2025/%5BEN%5DFiinRatings_Ratings_Release_Surv_Issuer_Coteccons_2025_06.pdf
04/06/2025,Công ty Cổ phần Chứng khoán Kỹ Thương,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-chung-khoan-ky-thuong-id3843.html,Dịch vụ tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,AA-,Ổn định,,https://cms.fiinratings.vn/UploadFile/04-06-2025/VN_FiinRatings_TCBS_Ratings_Release_Issuer_Initial_20250604.pdf,https://cms.fiinratings.vn/UploadFile/04-06-2025/EN_FiinRatings_TCBS_Ratings_Release_Issuer_Initial_20250604_webupload.pdf
03/06/2025,Công ty TNHH Nước sạch Hòa Bình - Xuân Mai,https://fiinratings.vn/vi/ratings-fr/cong-ty-tnhh-nuoc-sạch-hoa-binh---xaan-mai-id1881003.html,Doanh nghiệp phi tài chính,Cập nhật kết quả XHTN,XHTN Công cụ nợ,AAA,,HBXCH2444001,https://cms.fiinratings.vn/UploadFile/06-03-2025/%5BVI%5DFiinRatings_HBXM_Issue-Rating-Release_062025_(1)_1_1.pdf,
30/05/2025,Công ty TNHH Dịch vụ Du lịch Cáp treo Fansipan Sa Pa,https://fiinratings.vn/vi/ratings-fr/cong-ty-tnhh-dich-vu-da-lich-cap-treo-fansipan-sa-pa-id8454.html,Doanh nghiệp phi tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BB-,Ổn định,,https://cms.fiinratings.vn/UploadFile/30-05-2025/FSP.pdf,
27/05/2025,Công ty Cổ phần Chứng khoán Dầu khí,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-chung-khoan-daa-khi-id3658.html,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BB+,Ổn định,,https://cms.fiinratings.vn/UploadFile/27-05-2025/%5BVN%5D_FiinRatings_PSI_Surveillance_Public_Announcement_May2024_Final.pdf,https://cms.fiinratings.vn/UploadFile/27-05-2025/%5BEN%5D_FiinRatings_PSI_Surveillance_Public_Announcement_May2024_Final.pdf
19/05/2025,Công ty Cổ phần Nước Biwase - Long An,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-nuoc-biwase---long-an-id7305.html,Doanh nghiệp phi tài chính,Cập nhật kết quả XHTN,XHTN Công cụ nợ,AAA,,BWLCH2434001,https://cms.fiinratings.vn/UploadFile/19-05-2025/%5BVI%5DFiinRatings_BWE-LA_Issue-Rating-Release_052025.pdf,
13/05/2025,Công ty TNHH Nước sạch Hòa Bình - Xuân Mai,https://fiinratings.vn/vi/ratings-fr/cong-ty-tnhh-nuoc-sạch-hoa-binh---xaan-mai-id1881003.html,Doanh nghiệp phi tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BB,Ổn định,,https://cms.fiinratings.vn/UploadFile/13-05-2025/%5BVI%5DFiinRatings_HBXM_Rating-Release_052025_(1)_1_1.pdf,
07/05/2025,"Công ty Cổ Phần Xây Dựng, Đầu Tư Bất Động Sản Việt Minh Hoàng",https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-xay-dung--daa-tu-bat-dong-san-viet-minh-hoang-id795017.html,Doanh nghiệp phi tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,BB,Ổn định,,https://cms.fiinratings.vn/UploadFile/07-05-2025/%5BVN%5D_FiinRatings_VMH_Initial_Issuer_Credit_Rating_Report_(to_public).pdf,
30/04/2025,Công ty Cổ phần Dịch vụ Quản lý Tài sản Việt Nam,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-dich-vu-qaan-ly-tai-san-viet-naa-id143597.html,Doanh nghiệp phi tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,B,Ổn định,,https://cms.fiinratings.vn/UploadFile/30-04-2025/%5BVI%5D_FiinRatings_Surveillance_Credit_Report_VPMS_042025.pdf,
