Ngày,Tên tổ chức,URL trang,Ngành,Loại xếp hạng,Phân loại,Mức xếp hạng,Triển vọng,ISIN,PDF_VI,PDF_EN
25/10/2024,Công ty Cổ phần Đầu tư Nam Long,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-daa-tu-naa-long-id3448.html,Doanh nghiệp phi tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,A-,Ổn định,,https://cms.fiinratings.vn/UploadFile/25-10-2024/%5BVI%5DFiinRatings_PA_Surveillance_NLG_102024.pdf,
25/10/2024,Công ty Cổ phần Nước Biwase - Long An,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-nuoc-biwase---long-an-id7305.html,Doanh nghiệp phi tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,BBB,Ổn định,,https://cms.fiinratings.vn/UploadFile/25-10-2024/%5BVI%5DFiinRatings_Initial-PA_BWE-LA_25102024.pdf,https://cms.fiinratings.vn/UploadFile/25-10-2024/%5BEN%5DFiinRatings_Initial-PA_BWE-LA_25102024.pdf
21/10/2024,Công ty Cổ phần Phát triển Bất động sản Văn Phú,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-phat-trien-bat-dong-san-van-phu-id6328.html,Doanh nghiệp phi tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BB+,Ổn định,,https://cms.fiinratings.vn/UploadFile/21-10-2024/%5BVI%5DFiinRatings_Surveillance_Issuer_VPI_2024_10_web.pdf,https://cms.fiinratings.vn/UploadFile/21-10-2024/%5BEN%5DFiinRatings_Surveillance_Issuer_VPI_2024_10_web.pdf
12/10/2024,Công ty Cổ phần Kinh doanh F88,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-kinh-doanh-f88-id7766.html,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BBB-,Ổn định,,https://cms.fiinratings.vn/UploadFile/12-10-2024/%5BVI%5D_FiinRatings_F88__Rating_Note_20241012.pdf,
01/10/2024,Ngân hàng Thương mại Cổ phần Bắc Á,https://fiinratings.vn/vi/ratings-fr/ngan-hang-thuong-aại-co-phan-bac-a-id3422.html,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,A-,Ổn định,,https://cms.fiinratings.vn/UploadFile/10-01-2024/%5BVN%5D_FiinRatings_BAB_PA_Surveillance_Issuer_Credit_Rating_10.2024.pdf,
27/09/2024,Công ty Cổ phần Xây dựng Coteccons,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-xay-dung-coteccons-id2564.html,Doanh nghiệp phi tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BBB+,Ổn định,,https://cms.fiinratings.vn/UploadFile/27-09-2024/%5BVN%5D_FiinRatings_Coteccons_PA_Surveillance_27092024.pdf,https://cms.fiinratings.vn/UploadFile/27-09-2024/%5BEN%5D_FiinRatings_Coteccons_PA_Surveillance_27092024.pdf
10/09/2024,Ngân hàng Thương mại Cổ phần Á Châu,https://fiinratings.vn/vi/ratings-fr/ngan-hang-thuong-aại-co-phan-a-chaa-id2739.html,Dịch vụ tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,AA+,Ổn định,,https://cms.fiinratings.vn/UploadFile/10-09-2024/%5BVN%5D_FiinRatings_ACB_PA_Initial_Issuer_Credit_Rating_10092024.pdf,https://cms.fiinratings.vn/UploadFile/10-09-2024/%5BEN%5D_FiinRatings_ACB_PA_Initial_Issuer_Credit_Rating_10092024.pdf
28/08/2024,Công ty Cổ phần Tập đoàn Hà Đô,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-tap-doan-ha-do-id3116.html,Doanh nghiệp phi tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,A,Ổn định,,https://cms.fiinratings.vn/UploadFile/28-08-2024/%5BVI%5DFiinRatings_Surveillance_PA_HDG_082024.pdf,https://cms.fiinratings.vn/UploadFile/28-08-2024/%5BEN%5DFiinRatings_Surveillance_PA_HDG_082024_(1).pdf
02/08/2024,Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam,https://fiinratings.vn/vi/ratings-fr/ngan-hang-thuong-aại-co-phan-ky-thuong-viet-naa-id3842.html,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,AA-,Ổn định,,https://cms.fiinratings.vn/UploadFile/02-08-2024/%5BVI%5D_FiinRatings_Techcombank_PA_Surveillance_Issuer_Credit_Rating_20240802_Final.pdf,https://cms.fiinratings.vn/UploadFile/02-08-2024/%5BEN%5D_FiinRatings_Techcombank_PA_Surveillance_Issuer_Credit_Rating_20240802_Final.pdf
12/07/2024,Công ty Cổ phần Đầu tư và Du lịch Vạn Hương,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-daa-tu-va-da-lich-vạn-huong-id10968.html,Doanh nghiệp phi tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,B,Ổn định,,https://cms.fiinratings.vn/UploadFile/12-07-2024/%5BVN%5D_FiinRatings_VanHuong_Initial_ICR_12072024.pdf,
10/07/2024,Công Ty TNHH Đảo Ngọc Xanh Kỳ Sơn,https://fiinratings.vn/vi/ratings-fr/cong-ty-tnhh-dao-ngoc-xanh-ky-son-id1933320.html,Doanh nghiệp phi tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,B-,Ổn định,,https://cms.fiinratings.vn/UploadFile/10-07-2024/%5BVN%5D_FiinRatings_DNXKS_Initial_ICR_07102024.pdf,
30/06/2024,Công ty Cổ phần Đầu Tư Và Phát Triển Xây Dựng,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-daa-tu-va-phat-trien-xay-dung-id3325.html,Doanh nghiệp phi tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BB+,Ổn định,,https://cms.fiinratings.vn/UploadFile/30-06-2024/%5BVN%5D_FiinRatings_DIC_Public_announcement_30062024.pdf,
27/06/2024,Công ty TNHH Đầu Tư Xây Dựng Thiên Hà - Băng Dương,https://fiinratings.vn/vi/ratings-fr/cong-ty-tnhh-daa-tu-xay-dung-thien-ha---bang-duong-id1287041.html,Doanh nghiệp phi tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,B,Ổn định,,https://cms.fiinratings.vn/UploadFile/27-06-2024/%5BVI%5D_FiinRatings_THBD_PA_062024.pdf,
26/06/2024,Công ty Cổ phần Chứng khoán Dầu khí,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-chung-khoan-daa-khi-id3658.html,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BB+,Ổn định,,https://cms.fiinratings.vn/UploadFile/26-07-2024/%5BVN%5D_FiinRatings_PSI_Surveillance_Public_Announcement_26072024.pdf,https://cms.fiinratings.vn/UploadFile/26-07-2024/%5BEN%5D_FiinRatings_PSI_Surveillance_Public_Announcement_26072024.pdf
24/06/2024,Công ty Cổ phần Phát Triển Tổng Hợp Hưng Thịnh Phát,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-phat-trien-tong-hop-hung-thinh-phat-id985517.html,Doanh nghiệp phi tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,B,Ổn định,,https://cms.fiinratings.vn/UploadFile/24-06-2024/%5BVI%5D_PA_Initial_Issuer_Credit_Rating_Hung_Thinh_Phat_FR.pdf,
20/06/2024,Công ty Tài chính Tín dụng Tiêu dùng Trách nhiệm Hữu hạn MB Shinsei,https://fiinratings.vn/vi/ratings-fr/cong-ty-tai-chinh-tin-dung-tiea-dung-trach-nhiea-hữa-hạn-mb-shinsei-id6949.html,Dịch vụ tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,A-,Ổn định,,https://cms.fiinratings.vn/UploadFile/20-06-2014/%5BVN%5D_FiinRatings_Mcredit_PA_Initial_Issuer_Credit_Rating.pdf,https://cms.fiinratings.vn/UploadFile/20-06-2024/%5BEN%5D_Mcredit_PA_Initial_Issuer_Credit_Rating_20240621.pdf
03/06/2024,Công ty Cổ Phần Dk Enc Việt Nam,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-dk-enc-viet-naa-id992980.html,Doanh nghiệp phi tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,BB-,Ổn định,,https://cms.fiinratings.vn/UploadFile/03-06-2024/%5BVN%5D_FiinRatings_DK_ENC_Initial_PA.pdf,
24/05/2024,Công ty Cổ phần Chứng khoán Tiên Phong,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-chung-khoan-tien-phong-id3542.html,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BBB-,Ổn định,,https://cms.fiinratings.vn/UploadFile/24-05-2024/VN_TPS_Public_Announcement_24052024.pdf,https://cms.fiinratings.vn/UploadFile/24-05-2024/EN_TPS_Public_Announcement_24052024.pdf
23/05/2024,Công ty Cổ phần Kinh doanh F88,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-kinh-doanh-f88-id7766.html,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BBB-,Ổn định,,https://cms.fiinratings.vn/UploadFile/23-05-2024/VN_FiinRatings_F88_PA_Surveillance_May_2024.pdf,
17/05/2024,Công ty TNHH Hoàng Trúc My,https://fiinratings.vn/vi/ratings-fr/cong-ty-tnhh-hoang-truc-my-id1958231.html,Doanh nghiệp phi tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,B,Ổn định,,https://cms.fiinratings.vn/UploadFile/17-05-2024/%5BVI%5D_FiinRatings_Surveillance_PA_HTM_17052024.pdf,
29/04/2024,Công ty Cổ phần Phát triển Bất động sản Văn Phú,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-phat-trien-bat-dong-san-van-phu-id6328.html,Doanh nghiệp phi tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BB+,Ổn định,,https://cms.fiinratings.vn/UploadFile/29-04-2024/VN_FiinRatings_VPI_PA_Surveillance_20240429.pdf,https://cms.fiinratings.vn/UploadFile/29-04-2024/EN_FiinRatings_VPI_PA_Surveillance_20240429.pdf
25/04/2024,Công ty Cổ phần Đầu tư Nam Long,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-daa-tu-naa-long-id3448.html,Doanh nghiệp phi tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,A-,Ổn định,,https://cms.fiinratings.vn/UploadFile/25-04-2024/%5BVI%5DFiinRatings_Initial-PA_NLG_042024.pdf,https://cms.fiinratings.vn/UploadFile/25-04-2024/%5BEN%5DFiinRatings_Initial-PA_NLG_042024.pdf
12/04/2024,Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam,https://fiinratings.vn/vi/ratings-fr/ngan-hang-thuong-aại-co-phan-qaoc-te-viet-naa-id4062.html,Dịch vụ tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,A,Tích cực,,https://cms.fiinratings.vn/UploadFile/12-04-2024/%5BFiinRatings%5D_VIB_Rating_PA_VI.pdf,https://cms.fiinratings.vn/UploadFile/12-04-2024/%5BFiinRatings%5D_VIB_Rating_PA_EN.pdf
01/04/2024,Ngân hàng Thương mại Cổ phần Bắc Á,https://fiinratings.vn/vi/ratings-fr/ngan-hang-thuong-aại-co-phan-bac-a-id3422.html,Dịch vụ tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,A-,Ổn định,,https://cms.fiinratings.vn/UploadFile/01-04-2024/%5BVN%5D_FiinRatings_BAB_PA_Initial_Issuer_Credit_Rating_20240329.pdf,https://cms.fiinratings.vn/UploadFile/01-04-2024/%5BEN%5D_FiinRatings_BAB_PA_Initial_Issuer_Credit_Rating_20240401_ok.pdf
29/03/2024,Ngân hàng Thương mại Cổ phần Phát Triển Thành phố Hồ Chí Minh,https://fiinratings.vn/vi/ratings-fr/ngan-hang-thuong-aại-co-phan-phat-trien-thanh-pho-hồ-chi-minh-id3101.html,Dịch vụ tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,A,Ổn định,,https://cms.fiinratings.vn/UploadFile/29-03-2024/%5BVN%5D_FiinRatings_HDBank_PA_Initial_Issuer_Credit_Rating_20240329_FINAL.pdf,https://cms.fiinratings.vn/UploadFile/29-03-2024/%5BEN%5D_FiinRatings_HDBank_PA_Initial_Issuer_Credit_Rating_20240329_FINAL.pdf
28/02/2024,Công ty Cổ phần Tập đoàn Hà Đô,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-tap-doan-ha-do-id3116.html,Doanh nghiệp phi tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,A,Ổn định,,https://cms.fiinratings.vn/UploadFile/28-02-2024/%5BVI%5DFiinRatings_Surveillance-PA_HDG_022024.pdf,https://cms.fiinratings.vn/UploadFile/28-02-2024/%5BVI%5DFiinRatings_Surveillance-PA_HDG_022024.pdf
01/02/2024,Công ty TNHH Hoàng Trúc My,https://fiinratings.vn/vi/ratings-fr/cong-ty-tnhh-hoang-truc-my-id1958231.html,Doanh nghiệp phi tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,BB-,Ổn định,,https://cms.fiinratings.vn/UploadFile/01-02-2024/VN_FiinRatings_Hoang_Truc_My_Public_announcement_Initial_Credit_Rating.pdf,https://cms.fiinratings.vn/UploadFile/01-02-2024/VN_FiinRatings_Hoang_Truc_My_Public_announcement_Initial_Credit_Rating.pdf
31/01/2024,Công ty Cổ phần Điện Gia Lai,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-dien-gia-lai-id2964.html,Doanh nghiệp phi tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,A-,Ổn định,,https://cms.fiinratings.vn/UploadFile/31-01-2024/%5BVI%5DFiinRatings_Surveillance-PA_GEG_012024.pdf,https://cms.fiinratings.vn/UploadFile/31-01-2024/%5BEN%5DFiinRatings_Surveilance-PA_GEG_012024.pdf
15/01/2024,Công ty Cổ phần Xây dựng Coteccons,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-xay-dung-coteccons-id2564.html,Doanh nghiệp phi tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BBB,Ổn định,,https://cms.fiinratings.vn/UploadFile/15-01-2024/VN_FiinRatings_Coteccons_Public_announcement_Surveillance.pdf,
30/12/2023,Công ty Cổ phần Đầu Tư Và Phát Triển Xây Dựng,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-daa-tu-va-phat-trien-xay-dung-id3325.html,Doanh nghiệp phi tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,BB+,Ổn định,,https://cms.fiinratings.vn/UploadFile/30-12-2023/VN_FiinRatings_DIC_Public-announcement_Initial-rating.pdf,https://cms.fiinratings.vn/UploadFile/30-12-2023/EN_FiinRatings_DIC_Public-announcement_Initial-rating.pdf
28/12/2023,Công ty Cổ phần Chứng khoán Dầu khí,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-chung-khoan-daa-khi-id3658.html,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BB+,Ổn định,,https://cms.fiinratings.vn/UploadFile/28-12-2023/VN_FiinRatings_PSI-Surveillance_Public-Announcement.pdf,https://cms.fiinratings.vn/UploadFile/28-12-2023/EN_PSI-surveillance_PA.pdf
08/12/2023,Công ty Cổ phần Kinh doanh F88,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-kinh-doanh-f88-id7766.html,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BBB-,Không thuận lợi,,https://cms.fiinratings.vn/UploadFile/08-12-2023/VN_FiinRatings_F88_PA_Surveillance.pdf,https://cms.fiinratings.vn/UploadFile/08-12-2023/EN_FiinRatings_F88_PA_Surveillance.pdf
01/11/2023,Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam,https://fiinratings.vn/vi/ratings-fr/ngan-hang-thuong-aại-co-phan-ky-thuong-viet-naa-id3842.html,Dịch vụ tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,A+,Ổn định,,https://cms.fiinratings.vn/UploadFile/01-11-2023/VN_FiinRatings_Techcombank_PA_Initial_Issuer-Credit-Rating.pdf,https://cms.fiinratings.vn/UploadFile/01-11-2023/EN_FiinRatings_Techcombank_PA_Initial_Issuer-Credit-Rating.pdf
10/10/2023,Công ty Cổ phần CAMIMEX Group,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-camimex-groap-id2482.html,Doanh nghiệp phi tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BB,Ổn định,,https://cms.fiinratings.vn/UploadFile/10-10-2023/%5BVI%5D_FiinRatings_CMX_Public_Announcement_20231010.pdf,https://cms.fiinratings.vn/UploadFile/10-10-2023/%5BEN%5D_FiinRatings_CMX_Public_Announcement_20231010.pdf
06/10/2023,Công ty Cổ phần Chứng khoán Tiên Phong,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-chung-khoan-tien-phong-id3542.html,Dịch vụ tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,BBB-,Ổn định,,https://cms.fiinratings.vn/UploadFile/06-10-2023/VN_FiinRatings_TPS_Public-announcement_Initial-rating.pdf,https://cms.fiinratings.vn/UploadFile/06-10-2023/EN_FiinRatings_TPS_Public-Announcement_Initial-rating.pdf
28/08/2023,Công ty Cổ phần Tập đoàn Hà Đô,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-tap-doan-ha-do-id3116.html,Doanh nghiệp phi tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,A,Ổn định,,https://cms.fiinratings.vn/UploadFile/28-08-2023/VI_FiinRatings_Initial-PA_HDG.pdf,https://cms.fiinratings.vn/UploadFile/28-08-2023/EN_FiinRatings_Initial-Rating_PA_HDG.pdf
01/08/2023,Công ty Cổ phần Chứng khoán Rồng Việt,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-chung-khoan-rồng-viet-id4078.html,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BB+,Ổn định,,https://cms.fiinratings.vn/UploadFile/01-08-2023/%5BVN%5D_FiinRatings_VDS_Public_Announcement.pdf,https://cms.fiinratings.vn/UploadFile/01-08-2023/%5BEN%5D_FiinRatings_VDS_Public_Announcement.pdf
31/07/2023,Công ty Cổ phần Điện Gia Lai,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-dien-gia-lai-id2964.html,Doanh nghiệp phi tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,A-,Ổn định,,https://cms.fiinratings.vn/UploadFile/31-07-2023/VI_FiinRatings_PA_GEG_Initial-rating.pdf,https://cms.fiinratings.vn/UploadFile/31-07-2023/EN_FiinRatings_PA_GEG_Initial-rating.pdf
14/07/2023,Công ty Cổ phần Phát triển Bất động sản Văn Phú,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-phat-trien-bat-dong-san-van-phu-id6328.html,Doanh nghiệp phi tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BB+,Không thuận lợi,,https://cms.fiinratings.vn/UploadFile/14-07-2023/VN_FiinRatings_VPI_PA_Second-Surveillance.pdf,https://cms.fiinratings.vn/UploadFile/14-07-2023/EN_FiinRatings_VPI_PA_Second_Surveillance.pdf
14/06/2023,Công ty Cổ phần Xây dựng Coteccons,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-xay-dung-coteccons-id2564.html,Doanh nghiệp phi tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,BBB,Ổn định,,https://cms.fiinratings.vn/UploadFile/14-06-2023/VN_FiinRatings_Coteccons_PA_Initial_Issuer_Credit_Rating.pdf,https://cms.fiinratings.vn/UploadFile/14-06-2023/EN_FiinRatings_Coteccons_PA_Initial_Issuer_Credit_Rating.pdf
09/06/2023,Công Ty TNHH Khai Thác Chế Biến Khoáng Sản Núi Pháo,https://fiinratings.vn/vi/ratings-fr/cong-ty-tnhh-khai-thac-che-bien-khoang-san-nui-phao-id180.html,Doanh nghiệp phi tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,BBB,Ổn định,,https://cms.fiinratings.vn/UploadFile/09-06-2023/VI_FiinRatings_PA_NPM.pdf,https://cms.fiinratings.vn/UploadFile/09-06-2023/EN_FiinRatings_PA_NPM.pdf
12/05/2023,Công ty Cổ phần Chứng khoán Dầu khí,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-chung-khoan-daa-khi-id3658.html,Dịch vụ tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,BB+,Ổn định,,https://cms.fiinratings.vn/UploadFile/12-05-2023/VN_FiinRatings_PSI_Public_announcement_Initial_Rating.pdf,https://cms.fiinratings.vn/UploadFile/12-05-2023/EN_FiinRatings_PSI_Public_announcement_Initial_Rating.pdf
12/04/2023,Công ty Cổ phần Kinh doanh F88,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-kinh-doanh-f88-id7766.html,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BBB-,Không thuận lợi,,https://cms.fiinratings.vn/UploadFile/12-04-2023/VN_FiinRatings_F88_PA_Surveillance.pdf,https://cms.fiinratings.vn/UploadFile/12-04-2023/EN_FiinRatings_F88_PA_Surveillance.pdf
31/03/2023,Công ty Cổ phần CAMIMEX Group,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-camimex-groap-id2482.html,Doanh nghiệp phi tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,BB,Ổn định,,https://cms.fiinratings.vn/UploadFile/31-03-2023/%5BVI%5D_FiinRatings_CMX_Public_Announcement_20230331.pdf,https://cms.fiinratings.vn/UploadFile/31-03-2023/%5BEN%5D_FiinRatings_CMX_Public_Announcement_20230331.pdf
17/03/2023,Công ty Cổ phần Chứng khoán Vietcap,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-chung-khoan-vietcap-id4089.html,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,A-,Ổn định,,https://cms.fiinratings.vn/UploadFile/17-03-2023/VN_FiinRatings_VCI_Public_Announcement_Surveillance.pdf,https://cms.fiinratings.vn/UploadFile/17-03-2023/EN_FiinRatings_VCI_Public_Announcement_Surveillance.pdf
19/01/2023,Công ty Cổ phần Chứng khoán Rồng Việt,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-chung-khoan-rồng-viet-id4078.html,Dịch vụ tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,BB,Ổn định,,https://cms.fiinratings.vn/UploadFile/19-01-2023/Ket_qua_Xep_hang_Tin_nhiem_Doanh_nghiep_Cong_ty_Co_phan_Chung_khoan_Rong_Viet.pdf,https://cms.fiinratings.vn/UploadFile/19-01-2023/Issuer_Credit_Rating_Public_Announcement_Viet_Dragon_Securities_Joint_Stock_Company.pdf
04/12/2022,Công ty Cổ phần Đầu tư và Kinh doanh nhà Khang Điền,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-daa-tu-va-kinh-doanh-nha-khang-dien-id3349.html,Doanh nghiệp phi tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BBB+,Ổn định,,https://cms.fiinratings.vn/UploadFile/04-12-2022/VI_FiinRatings_KDH_Public_Announcement_Surveillance_2022Dec.pdf,https://cms.fiinratings.vn/UploadFile/04-12-2022/EN_FiinRatings_KDH_Public_Announcement_Surveillance_2022Dec.pdf
30/11/2022,Công ty Cổ phần Đầu tư và Phát triển Bất động sản An Gia,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-daa-tu-va-phat-trien-bat-dong-san-an-gia-id8289.html,Doanh nghiệp phi tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BBB-,Ổn định,,,
23/11/2022,Công ty Cổ phần Phát triển Bất động sản Văn Phú,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-phat-trien-bat-dong-san-van-phu-id6328.html,Doanh nghiệp phi tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BB+,Ổn định,,https://cms.fiinratings.vn/UploadFile/23-11-2022/VI_FiinRatings_VPI_Public_Announcement_First_Surveillance.pdf,https://cms.fiinratings.vn/UploadFile/23-11-2022/EN_FiinRatings_VPI_Public_Announcement_First_Surveillance.pdf
21/11/2022,Công ty Cổ phần Chứng khoán MB,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-chung-khoan-mb-id3944.html,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,A-,Ổn định,,https://cms.fiinratings.vn/UploadFile/21-11-2022/%5BVN%5D_FiinRatings_MBS_Public_Announcement_Surveillance.pdf,https://cms.fiinratings.vn/UploadFile/21-11-2022/%5BEN%5D_FiinRatings_MBS_Public_Announcement_Surveillance.pdf
08/11/2022,Công ty Cổ phần Kinh doanh F88,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-kinh-doanh-f88-id7766.html,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BBB-,Ổn định,,https://cms.fiinratings.vn/UploadFile/08-11-2022/Theo_doi_dinh_ky_lan_2_ket_qua_Xep_hang_Tin_nhiem_Doanh_nghiep_Cong_ty_Co_phan_Kinh_doanh_F88.pdf,https://cms.fiinratings.vn/UploadFile/08-11-2022/Periodic_review_2_F88_Business_Joint_Stock_Company.pdf
19/09/2022,Công ty Cổ phần Chứng khoán Vietcap,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-chung-khoan-vietcap-id4089.html,Dịch vụ tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,A-,Ổn định,,https://cms.fiinratings.vn/UploadFile/19-09-2022/Ket_qua_Xep_hang_Tin_nhiem_Doanh_nghiep_Cong_ty_Co_phan_Chung_khoan_Ban_Viet.pdf,https://cms.fiinratings.vn/UploadFile/19-09-2022/Issuer_Credit_Rating_Report_Viet_Capital_Securities_Joint_Stock_Company.pdf
28/06/2022,Công ty Cổ phần Tập đoàn Bamboo Capital,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-tap-doan-baaboo-capital-id2791.html,Doanh nghiệp phi tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BB,Ổn định,,https://cms.fiinratings.vn/UploadFile/28-06-2022/Theo_doi_dinh_ky_ket_qua_Xep_hang_Tin_nhiem_Doanh_nghiep_Cong_ty_Co_phan_Bamboo_Capital.pdf,https://cms.fiinratings.vn/UploadFile/28-06-2022/Periodic_review_Bamboo_Capital_Joint_Stock_Company.pdf
21/06/2022,Công ty Cổ phần Kinh doanh F88,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-kinh-doanh-f88-id7766.html,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BBB-,Ổn định,,https://cms.fiinratings.vn/UploadFile/21-06-2022/Theo_doi_dinh_ky_ket_qua_Xep_hang_Tin_nhiem_Doanh_nghiep_Cong_ty_Co_phan_Kinh_doanh_F88.pdf,https://cms.fiinratings.vn/UploadFile/21-06-2022/Periodic_review_F88_Business_Joint_Stock_Company.pdf
25/04/2022,Công ty Cổ phần Chứng khoán MB,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-chung-khoan-mb-id3944.html,Dịch vụ tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,A-,Ổn định,,https://cms.fiinratings.vn/UploadFile/25-04-2022/Ket_qua_Xep_hang_Tin_nhiem_Doanh_nghiep_Cong_ty_Co_phan_Chung_khoan_MB.pdf,https://cms.fiinratings.vn/UploadFile/25-04-2022/Issuer_Credit_Rating_Report_MB_Securities_Joint_Stock_Company.pdf
