Model,Accuracy,Precision_Weighted,Recall_Weighted,Macro_F1,Weighted_F1,QWK,Ordinal_MAE,AUC_ROC_OVR_Macro,AUC
LSTM only,0.9175856065002902,0.9150212888268008,0.9175856065002902,0.7717181160125945,0.9156343280439859,0.8577319916382276,0.08299477655252467,0.9543324180483101,0.9543324180483101
GAT only,0.9233894370284388,0.9234849683011221,0.9233894370284388,0.8251834760731559,0.923424283112033,0.8694225296577266,0.07777132907719095,0.9306294421321039,0.9306294421321039
Soft voting,0.922228670922809,0.9220955894584693,0.922228670922809,0.8166161280262125,0.9221251275923835,0.8698497696121865,0.0783517121300058,0.9432813883005523,0.9432813883005523
Validation-weighted voting,0.922228670922809,0.9220955894584693,0.922228670922809,0.8166161280262125,0.9221251275923835,0.8698497696121865,0.0783517121300058,0.9432444521323426,0.9432444521323426
DMF/DCS proposed (constant),0.918165989553105,0.9156008059658997,0.918165989553105,0.7736622332068918,0.9161195527164142,0.8584055443447136,0.0824143934997098,0.9433119535912177,0.9433119535912177
