split,combination_of_classifiers,classifier_1,classifier_2,n_classifiers,Nf_all_wrong_table8,Nt_all_correct_table8,Nci_disagreement_sum_table8,rho_n_table8,N_TT_both_correct,N_TF_lstm_correct_gat_wrong,N_FT_lstm_wrong_gat_correct,N_FF_both_wrong,rho_eq10,lstm_accuracy,gat_accuracy,agreement_rate,disagreement_rate,ideal_dcs_upper_bound_acc,oracle_gain_over_best_single,total_rows
val,LSTM & GAT,LSTM,GAT,2,59,786,17,0.8740740740740741,786,7,10,59,0.8740740740740741,0.919953596287703,0.9234338747099768,0.9791183294663574,0.02088167053364269,0.931554524361949,0.008120649651972123,862
test,LSTM & GAT,LSTM,GAT,2,125,1574,24,0.9124087591240876,1574,7,17,125,0.9124087591240876,0.9175856065002902,0.9233894370284388,0.9854904236796286,0.014509576320371444,0.9274521183981428,0.004062681369704002,1723
