Metric,BestValue,BestEpoch
Train Loss,0.18398881313784993,70
Val Loss,0.2685182884923267,33
Train Accuracy,0.9402882635552505,88
Val Accuracy,0.919953596287703,13
Val Macro_F1,0.8045755020647857,27
Val ChgAcc,0.3880597014925373,3
Final Loss Gap,0.10108213787831136,100
Final ValLoss Drift,0.02143121789060448,100
ValLoss Last10 Mean,0.28993327372173694,100
ValLoss Last10 Std,2.1844881506758402e-05,100
