row_id,ticker,company_name,rating_date,sector,xai_shared_row_id,xai_shared_sample_id,test_index,rank,model_key,model_label,predicted_class_id,predicted_class,predicted_probability,explained_class_id,explained_class,explained_class_model_probability,feature,feature_value,gradientshap_attribution,direction,feature_source,probability_source,xai_probability_source,xai_method,gradientshap_method,proxy_mse,proxy_argmax_agreement
test_000518,KOS,"Kosmos Energy, Ltd.",2016-02-09,5,000518,000518,518,1,lstm,LSTM,2,IG,0.955826292158276,0,Distressed,0.00018823156022787542,gross_profit_margin,-0.6834584921598434,-0.005324834026396275,opposes_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.0530428146887642,0.8601276842716192
test_000518,KOS,"Kosmos Energy, Ltd.",2016-02-09,5,000518,000518,518,2,lstm,LSTM,2,IG,0.955826292158276,0,Distressed,0.00018823156022787542,roe,0.9978612065315247,-0.002981398720294237,opposes_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.0530428146887642,0.8601276842716192
test_000518,KOS,"Kosmos Energy, Ltd.",2016-02-09,5,000518,000518,518,3,lstm,LSTM,2,IG,0.955826292158276,0,Distressed,0.00018823156022787542,asset_turnover,1.0123293995857239,-0.0023925304412841797,opposes_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.0530428146887642,0.8601276842716192
test_000518,KOS,"Kosmos Energy, Ltd.",2016-02-09,5,000518,000518,518,4,lstm,LSTM,2,IG,0.955826292158276,0,Distressed,0.00018823156022787542,roa,0.976940929889679,0.0017766612581908703,supports_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.0530428146887642,0.8601276842716192
test_000518,KOS,"Kosmos Energy, Ltd.",2016-02-09,5,000518,000518,518,5,lstm,LSTM,2,IG,0.955826292158276,0,Distressed,0.00018823156022787542,ebit_margin,0.5878666937351227,0.0014419913059100509,supports_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.0530428146887642,0.8601276842716192
test_000518,KOS,"Kosmos Energy, Ltd.",2016-02-09,5,000518,000518,518,6,lstm,LSTM,2,IG,0.955826292158276,0,Distressed,0.00018823156022787542,debt_equity_ratio,0.3332697469741106,0.0012706058332696557,supports_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.0530428146887642,0.8601276842716192
test_000518,KOS,"Kosmos Energy, Ltd.",2016-02-09,5,000518,000518,518,7,lstm,LSTM,2,IG,0.955826292158276,0,Distressed,0.00018823156022787542,operating_profit_margin,0.47191569209098816,0.0011505986331030726,supports_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.0530428146887642,0.8601276842716192
test_000518,KOS,"Kosmos Energy, Ltd.",2016-02-09,5,000518,000518,518,8,lstm,LSTM,2,IG,0.955826292158276,0,Distressed,0.00018823156022787542,operating_cashflow_ps,-0.6212241658940911,0.0010508792474865913,supports_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.0530428146887642,0.8601276842716192
test_000518,KOS,"Kosmos Energy, Ltd.",2016-02-09,5,000518,000518,518,9,lstm,LSTM,2,IG,0.955826292158276,0,Distressed,0.00018823156022787542,free_cashflow_ps,-0.6030890047550201,0.0006562419584952295,supports_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.0530428146887642,0.8601276842716192
test_000518,KOS,"Kosmos Energy, Ltd.",2016-02-09,5,000518,000518,518,10,lstm,LSTM,2,IG,0.955826292158276,0,Distressed,0.00018823156022787542,net_profit_margin,0.5552251785993576,0.0004878758918493986,supports_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.0530428146887642,0.8601276842716192
