epoch,lr,context_dropout,last_y_mask_prob,train_Loss,val_Loss,train_NLL,val_NLL,train_Objective,val_Objective,train_Accuracy,val_Accuracy,train_Macro_F1,val_Macro_F1,train_AUC,val_AUC,train_QWK,val_QWK,train_ChgAcc,val_ChgAcc,train_PersistenceRate,val_PersistenceRate
1,0.0003,0.6,0.55,0.8959371379790331,0.5360185606297097,0.8959371379790331,0.5360185606297097,0.8959371379790331,0.5360185606297097,0.6154198123999085,0.8167053364269141,0.5884484574414992,0.6535668617231915,0.778913644054925,0.9149220518495765,0.5023117429250108,0.6634844021719842,0.34029227557411273,0.26865671641791045,0.6193090825897963,0.8491879350348028
2,0.0003,0.5862068965517241,0.5344827586206897,0.6157761890210213,0.4319882143262921,0.6157761890210213,0.4319882143262921,0.6157761890210213,0.4319882143262921,0.7414779226721574,0.845707656612529,0.7470843272850015,0.6810786914235191,0.8814574717882205,0.920332017423304,0.7397999766029262,0.705339985218034,0.34029227557411273,0.31343283582089554,0.7508579272477693,0.8735498839907193
3,0.0003,0.5724137931034483,0.5189655172413794,0.5227853727815245,0.3813429393237262,0.5227853727815245,0.3813429393237262,0.5227853727815245,0.3813429393237262,0.7899794097460535,0.8631090487238979,0.7981276159765122,0.6640305889415234,0.9096940503317267,0.9328441959498592,0.7925369152303322,0.7306793820478557,0.36116910229645094,0.3880597014925373,0.7979867307252345,0.8793503480278422
4,0.0003,0.5586206896551724,0.503448275862069,0.4807183029612915,0.35400164846477816,0.4807183029612915,0.35400164846477816,0.4807183029612915,0.35400164846477816,0.8122855181880576,0.8897911832946636,0.8215633784815304,0.6915220509531964,0.9235332951494097,0.9371868134146663,0.8158453591341424,0.7787208928511451,0.3966597077244259,0.31343283582089554,0.8183482040722947,0.9176334106728539
5,0.0003,0.5448275862068965,0.48793103448275865,0.44462531461401517,0.3316695397663559,0.44462531461401517,0.3316695397663559,0.44462531461401517,0.3316695397663559,0.8265843056508808,0.9002320185614849,0.8361495397806857,0.7022259973993522,0.9338598236622199,0.940559654315273,0.8324521276460594,0.8034108422917556,0.35908141962421714,0.2537313432835821,0.8366506520247083,0.9373549883990719
6,0.0003,0.5310344827586206,0.47241379310344833,0.4297887417141564,0.32357154976740793,0.4297887417141564,0.32357154976740793,0.4297887417141564,0.32357154976740793,0.8350491878288722,0.9048723897911833,0.844509598132086,0.7054947158306332,0.9371420787933822,0.9423878245540406,0.8409867000119651,0.81135859710552,0.35073068893528186,0.2835820895522388,0.8472889498970487,0.9373549883990719
7,0.0003,0.5172413793103448,0.45689655172413796,0.4081172502591773,0.3129738614550876,0.4081172502591773,0.3129738614550876,0.4081172502591773,0.3129738614550876,0.8442004118050789,0.9048723897911833,0.8528478963395125,0.7323835518607789,0.943428338895429,0.9450057765528528,0.8500163349964864,0.8132342226941777,0.35281837160751567,0.2537313432835821,0.8555250514756348,0.9419953596287703
8,0.0003,0.503448275862069,0.4413793103448276,0.3890385760360439,0.30317842427926384,0.3890385760360439,0.30317842427926384,0.3890385760360439,0.30317842427926384,0.8519789521848548,0.9060324825986079,0.861297117819646,0.7230724851683078,0.948114335038417,0.9455639633646272,0.8560366959051084,0.813676231831151,0.31106471816283926,0.208955223880597,0.8685655456417296,0.9501160092807425
9,0.0003,0.4896551724137931,0.42586206896551726,0.371040182967558,0.300812963093793,0.371040182967558,0.300812963093793,0.371040182967558,0.300812963093793,0.8621596888583848,0.9095127610208816,0.8695484902973502,0.7256616513944026,0.9527305918386125,0.945735163508762,0.8644876674452884,0.8198082606501838,0.325678496868476,0.22388059701492538,0.8769160375200183,0.951276102088167
10,0.0003,0.4758620689655172,0.41034482758620694,0.35554449533303467,0.2951270189404211,0.35554449533303467,0.2951270189404211,0.35554449533303467,0.2951270189404211,0.8706245710363761,0.9153132250580046,0.8781448612034423,0.7437339778803193,0.9560715620578785,0.9471991534631267,0.8742784237155583,0.8313787608423905,0.31315240083507306,0.19402985074626866,0.887211164493251,0.9617169373549884
