Split,Accuracy,Macro_F1,Weighted_F1,AUC,QWK,ChgAcc,PersistenceRate
Val,0.9164733178654292,0.7739914666848998,0.9140113288479784,0.956199259421982,0.8522062756895897,0.08955223880597014,0.9802784222737819
Test,0.922228670922809,0.7977967039834306,0.9204071591208633,0.9533034661195653,0.8649946781648048,0.07692307692307693,0.9860708067324434
