feature,mean_abs_shap
asset_turnover,0.023565999128807393
operating_cashflow_ps,0.01298310645789823
free_cashflow_ps,0.01279774290626808
net_profit_margin,0.012527406729883577
roa,0.01171552781058255
debt_equity_ratio,0.008580106765068794
roe,0.00854507842275375
ebit_margin,0.007169286269058753
pretax_profit_margin,0.0070346356237164275
current_ratio,0.006336269613777692
operating_profit_margin,0.004261489521516719
gross_profit_margin,0.0037877425922001147
free_cashflow_ps_delta,0.0025081706850604633
operating_cashflow_ps_delta,0.002478197882398625
roa_delta,0.001936162259589562
roe_delta,0.0014175934262481036
debt_equity_ratio_delta,0.001163948258566079
operating_profit_margin_delta,0.0008769983577220383
gross_profit_margin_delta,0.0007879385958910682
asset_turnover_delta,0.0006059147173578147
net_profit_margin_delta,0.0005974286216099565
ebit_margin_delta,0.0005371419463967275
pretax_profit_margin_delta,0.0005224580893957536
current_ratio_delta,0.00035773897682457226
