Model,Accuracy,Precision_Weighted,Recall_Weighted,Macro_F1,Weighted_F1,QWK,Ordinal_MAE,AUC_ROC_OVR_Macro,AUC
TLSTM only,0.926291352292513,0.9251196295776302,0.926291352292513,0.8173293570201753,0.9256415456613952,0.8698017199899098,0.07544979686593152,0.9759488385610008,0.9759488385610008
GAT only,0.922228670922809,0.9232726320057129,0.922228670922809,0.8282531479580899,0.9227005086211414,0.8716266447681486,0.0783517121300058,0.9520313780628248,0.9520313780628248
Soft voting,0.9251305861868834,0.9249149957317898,0.9251305861868834,0.829521320236044,0.9248987442310718,0.8767472410961198,0.07486941381311665,0.9757760316287012,0.9757760316287012
Validation-weighted voting,0.9251305861868834,0.9249149957317898,0.9251305861868834,0.829521320236044,0.9248987442310718,0.8767472410961198,0.07486941381311665,0.9757848471393221,0.9757848471393221
DMF/DCS proposed (constant),0.9280325014509576,0.9272648725463941,0.9280325014509576,0.8311115135608134,0.9272863558205825,0.8799266696865028,0.07196749854904237,0.9667538879447699,0.9667538879447699
