class0_threshold,candidate,Accuracy,Precision_Weighted,Recall_Weighted,Macro_F1,Weighted_F1,Class0_Precision,Class0_Recall,Class0_F1,Class0_F2,Class0_Support,AUC,QWK,ChgAcc,Ordinal_MAE
,raw_argmax,0.9222737819025522,0.9238586139304786,0.9222737819025522,0.8385356600694757,0.9229106458299051,0.6285714285714286,0.7333333333333333,0.676923076923077,0.7096774193548386,30,0.9320105006804565,0.8710992241173052,0.0,0.07888631090487239
0.05,class0_threshold,0.796983758700696,0.9095844837337067,0.796983758700696,0.6306818503419002,0.8343408497572737,0.1518987341772152,0.8,0.2553191489361702,0.4316546762589929,30,0.9320105006804565,0.6443994868809937,0.029850746268656716,0.2482598607888631
0.06,class0_threshold,0.8596287703016241,0.9169051697972538,0.8596287703016241,0.7053916263475086,0.8794894144116199,0.23529411764705882,0.8,0.36363636363636365,0.5405405405405406,30,0.9320105006804565,0.7177283541393782,0.029850746268656716,0.16937354988399073
0.07,class0_threshold,0.9037122969837587,0.9170028178732057,0.9037122969837587,0.7862947346034811,0.9083067647061728,0.42592592592592593,0.7666666666666667,0.5476190476190477,0.6609195402298851,30,0.9320105006804565,0.8276184328804445,0.014925373134328358,0.10324825986078887
0.08,class0_threshold,0.9164733178654292,0.9205389778775885,0.9164733178654292,0.8194008885281671,0.9179887927048113,0.55,0.7333333333333333,0.6285714285714286,0.6874999999999999,30,0.9320105006804565,0.8592871015269221,0.0,0.08584686774941995
0.09,class0_threshold,0.9211136890951276,0.9231182768943684,0.9211136890951276,0.834444961734173,0.9218989474104715,0.6111111111111112,0.7333333333333333,0.6666666666666666,0.7051282051282052,30,0.9320105006804565,0.8697879655672761,0.0,0.08004640371229699
0.1,class0_threshold,0.9222737819025522,0.9238586139304786,0.9222737819025522,0.8385356600694757,0.9229106458299051,0.6285714285714286,0.7333333333333333,0.676923076923077,0.7096774193548386,30,0.9320105006804565,0.8710992241173052,0.0,0.07888631090487239
0.11,class0_threshold,0.9222737819025522,0.9238586139304786,0.9222737819025522,0.8385356600694757,0.9229106458299051,0.6285714285714286,0.7333333333333333,0.676923076923077,0.7096774193548386,30,0.9320105006804565,0.8710992241173052,0.0,0.07888631090487239
0.12,class0_threshold,0.9222737819025522,0.9238586139304786,0.9222737819025522,0.8385356600694757,0.9229106458299051,0.6285714285714286,0.7333333333333333,0.676923076923077,0.7096774193548386,30,0.9320105006804565,0.8710992241173052,0.0,0.07888631090487239
0.13,class0_threshold,0.9222737819025522,0.9238586139304786,0.9222737819025522,0.8385356600694757,0.9229106458299051,0.6285714285714286,0.7333333333333333,0.676923076923077,0.7096774193548386,30,0.9320105006804565,0.8710992241173052,0.0,0.07888631090487239
