epoch,train_Loss,val_Loss,train_Accuracy,val_Accuracy,train_Macro_F1,val_Macro_F1,train_AUC,val_AUC,train_QWK,val_QWK
1,0.44187600304418645,0.2706572309739801,0.6596958174904943,0.848318462594372,0.5379971810318196,0.524317696028017,0.8295271311624135,0.8475075935473709,0.19278488035792274,0.4909580140735845
2,0.22655394299401982,0.20699851653636442,0.8745247148288974,0.849691146190803,0.8631003902527081,0.5628699499667241,0.9630410902377525,0.8704192734008759,0.7899440461910114,0.5148786699235993
3,0.13549201462432006,0.186899868905667,0.908745247148289,0.8737131091283459,0.8973488305886623,0.6020468347948952,0.9794558626662919,0.8781996290326554,0.8809824515739753,0.6061401815022205
4,0.10867414479019977,0.1703018891991371,0.938212927756654,0.8922443376801648,0.9310726664673498,0.6308609236121808,0.9815948993809589,0.8947924876994664,0.9164392632425996,0.651364778164364
5,0.08623167345505703,0.17421456454507112,0.9458174904942965,0.8826355525051476,0.9389692913735916,0.6004981775324271,0.9883745960623246,0.9071509325489142,0.9420686130829483,0.6213755770011491
6,0.06942009625552725,0.19017435418021295,0.9591254752851711,0.8757721345229924,0.9558588484890255,0.6559672779377355,0.9919126348820942,0.8992991757548549,0.9566003996423621,0.6331873361843012
7,0.0610306660995284,0.18219805791636567,0.9553231939163498,0.8853809196980096,0.9498563450348474,0.6814330637255884,0.9936261509971814,0.9085514684151365,0.9588283248365125,0.6851085423872756
8,0.05163934714950536,0.19775637323592898,0.9638783269961977,0.880576527110501,0.961421868994036,0.6559628865761864,0.995144553225901,0.8983752554642316,0.9610625915140137,0.6741650993164824
9,0.0469038195823082,0.22319930456399753,0.967680608365019,0.8613589567604667,0.965707364691812,0.6450709417165114,0.9956011262941242,0.9019805625145865,0.9709691373678009,0.6087064764391543
10,0.044266270466517134,0.20763327429862405,0.9657794676806084,0.8819492107069321,0.9640755013157386,0.6832560977396552,0.9965770806192703,0.8990281840001032,0.96271338127074,0.6577800498182148
11,0.035436490993281056,0.22113743078733195,0.9752851711026616,0.8750857927247769,0.9735579092574002,0.6391646886556467,0.9978366549113821,0.8944387412384582,0.9749938717752539,0.6487265784341746
12,0.025402511438149464,0.24369859161570046,0.9809885931558935,0.8654770075497598,0.9798424851660616,0.644079065210903,0.9989428244896539,0.8904531105832728,0.9774445206775811,0.6287851301945243
13,0.02486120660155445,0.2629039561044867,0.9838403041825095,0.8565545641729582,0.9826586745894139,0.5918950025057916,0.99878569667796,0.891062922771264,0.9822168259577307,0.5832532898360542
14,0.023173009941333148,0.2731772144117336,0.9838403041825095,0.8544955387783116,0.9821692522155304,0.641992767020252,0.9987793624636195,0.8937650068427924,0.9821111715718747,0.6057064472366134
15,0.018912346998208377,0.2576768873240249,0.9819391634980988,0.8647906657515443,0.9809411874880483,0.6324661452488355,0.9994444503818988,0.8929805295930461,0.9805372604158958,0.6255253812029378
16,0.017145404397393135,0.2597927935907263,0.9866920152091255,0.8661633493479753,0.9869147216849344,0.6365582545293412,0.9993163979969255,0.8951142122198164,0.9868070842210248,0.6402668815397365
17,0.017162725839324777,0.26977270821143934,0.9857414448669202,0.8586135895676047,0.985565096515141,0.6399930037461282,0.9993712233566986,0.8879741089571356,0.9859692800142263,0.6248925804137696
18,0.020298025453951877,0.27682046720076686,0.9857414448669202,0.8682223747426219,0.9858254359992401,0.6368651099651098,0.9990720099116235,0.8894934695122562,0.9883443685129542,0.6506288268641547
19,0.026528828703008676,0.29310720747844277,0.9809885931558935,0.8503774879890186,0.9801289009751403,0.633832781771866,0.9979227588343514,0.8903971469622386,0.9796892798426944,0.5971448483151605
20,0.01700929157832503,0.276349217292783,0.9838403041825095,0.8641043239533288,0.982709042672782,0.6370589114846165,0.9993980474114738,0.8947041743460509,0.986769723350802,0.619371437618746
