Split,Accuracy,Macro_F1,AUC,QWK
Val,0.8819492107069321,0.6832560977396552,0.8990281840001032,0.6577800498182148
Test,0.8069584736251403,0.6261557202067306,0.8893493378314142,0.5850271270622103
