class_id,class_name,feature,mean_abs_shap
0,0,asset_turnover,0.02592385886600823
0,0,current_ratio,0.01663588705893441
0,0,debt_equity_ratio,0.033252437962801196
0,0,ebit_margin,0.009858390434904626
0,0,free_cashflow_ps,0.024742278984376753
0,0,gross_profit_margin,0.019359122044988908
0,0,net_profit_margin,0.011482959431305062
0,0,operating_cashflow_ps,0.02218101967620593
0,0,operating_profit_margin,0.010770762274963394
0,0,pretax_profit_margin,0.005057636254908478
0,0,roa,0.01131452456562935
0,0,roe,0.026469002095836913
1,1,asset_turnover,0.04687037119098628
1,1,current_ratio,0.06965095525568661
1,1,debt_equity_ratio,0.07641866008149616
1,1,ebit_margin,0.03309144735491524
1,1,free_cashflow_ps,0.03951833522053979
1,1,gross_profit_margin,0.06088189784107575
1,1,net_profit_margin,0.016488249064423144
1,1,operating_cashflow_ps,0.03838844171271679
1,1,operating_profit_margin,0.037546157681693636
1,1,pretax_profit_margin,0.04167380653476963
1,1,roa,0.046881989590474404
1,1,roe,0.048125400595987834
2,2,asset_turnover,0.025602652133481268
2,2,current_ratio,0.062383285587808736
2,2,debt_equity_ratio,0.034252188310347265
2,2,ebit_margin,0.013002658302260292
2,2,free_cashflow_ps,0.03261341843972332
2,2,gross_profit_margin,0.043482903757346016
2,2,net_profit_margin,0.019705822225660086
2,2,operating_cashflow_ps,0.029614640734507702
2,2,operating_profit_margin,0.028052507831792656
2,2,pretax_profit_margin,0.028833102396068473
2,2,roa,0.043723476895441614
2,2,roe,0.02494644986776014
