split,row_id,test_index,xai_shared_sample_id,ticker,company_name,rating_date,true_label,true_label_name,pred_label,pred_label_name,confidence,last_y_context,explained_class_id,explained_class_name,explained_class_model_probability,feature,feature_value,shap_value,abs_shap_value,direction,rank,xai_method,xai_probability_source
test,10376,518,test_idx_000518|EMN|2013-09-05,EMN,EASTMAN CHEMICAL COMPANY,2013-09-05,2,2,2,2,0.999818665102693,2,1,1,0.0001747985090017096,asset_turnover,0.3923454284667969,-0.0008543655858375132,0.0008543655858375132,opposes_explained_class,7,captum_gradient_shap,direct Transformer-LSTM
test,10376,518,test_idx_000518|EMN|2013-09-05,EMN,EASTMAN CHEMICAL COMPANY,2013-09-05,2,2,2,2,0.999818665102693,2,1,1,0.0001747985090017096,gross_profit_margin,-0.8079051375389099,-0.0007929964340291917,0.0007929964340291917,opposes_explained_class,8,captum_gradient_shap,direct Transformer-LSTM
test,10376,518,test_idx_000518|EMN|2013-09-05,EMN,EASTMAN CHEMICAL COMPANY,2013-09-05,2,2,2,2,0.999818665102693,2,1,1,0.0001747985090017096,debt_equity_ratio,0.1393161118030548,-0.0004859260225202888,0.0004859260225202888,opposes_explained_class,9,captum_gradient_shap,direct Transformer-LSTM
test,10376,518,test_idx_000518|EMN|2013-09-05,EMN,EASTMAN CHEMICAL COMPANY,2013-09-05,2,2,2,2,0.999818665102693,2,1,1,0.0001747985090017096,free_cashflow_ps,0.07370752096176147,0.0002736748137976974,0.0002736748137976974,supports_explained_class,10,captum_gradient_shap,direct Transformer-LSTM
test,10376,518,test_idx_000518|EMN|2013-09-05,EMN,EASTMAN CHEMICAL COMPANY,2013-09-05,2,2,2,2,0.999818665102693,2,2,2,0.999818665102693,pretax_profit_margin,0.00994042307138443,0.009049948304891586,0.009049948304891586,supports_explained_class,1,captum_gradient_shap,direct Transformer-LSTM
test,10376,518,test_idx_000518|EMN|2013-09-05,EMN,EASTMAN CHEMICAL COMPANY,2013-09-05,2,2,2,2,0.999818665102693,2,2,2,0.999818665102693,operating_profit_margin,-0.025181204080581665,-0.008952139876782894,0.008952139876782894,opposes_explained_class,2,captum_gradient_shap,direct Transformer-LSTM
test,10376,518,test_idx_000518|EMN|2013-09-05,EMN,EASTMAN CHEMICAL COMPANY,2013-09-05,2,2,2,2,0.999818665102693,2,2,2,0.999818665102693,roa,0.27736759185791016,0.008737824857234955,0.008737824857234955,supports_explained_class,3,captum_gradient_shap,direct Transformer-LSTM
test,10376,518,test_idx_000518|EMN|2013-09-05,EMN,EASTMAN CHEMICAL COMPANY,2013-09-05,2,2,2,2,0.999818665102693,2,2,2,0.999818665102693,current_ratio,0.3917452394962311,-0.005725521594285965,0.005725521594285965,opposes_explained_class,4,captum_gradient_shap,direct Transformer-LSTM
test,10376,518,test_idx_000518|EMN|2013-09-05,EMN,EASTMAN CHEMICAL COMPANY,2013-09-05,2,2,2,2,0.999818665102693,2,2,2,0.999818665102693,roe,0.21184135973453522,0.005505409091711044,0.005505409091711044,supports_explained_class,5,captum_gradient_shap,direct Transformer-LSTM
test,10376,518,test_idx_000518|EMN|2013-09-05,EMN,EASTMAN CHEMICAL COMPANY,2013-09-05,2,2,2,2,0.999818665102693,2,2,2,0.999818665102693,net_profit_margin,-0.024705305695533752,0.00416860356926918,0.00416860356926918,supports_explained_class,6,captum_gradient_shap,direct Transformer-LSTM
test,10376,518,test_idx_000518|EMN|2013-09-05,EMN,EASTMAN CHEMICAL COMPANY,2013-09-05,2,2,2,2,0.999818665102693,2,2,2,0.999818665102693,gross_profit_margin,-0.8079051375389099,0.0023585641756653786,0.0023585641756653786,supports_explained_class,7,captum_gradient_shap,direct Transformer-LSTM
test,10376,518,test_idx_000518|EMN|2013-09-05,EMN,EASTMAN CHEMICAL COMPANY,2013-09-05,2,2,2,2,0.999818665102693,2,2,2,0.999818665102693,asset_turnover,0.3923454284667969,-0.0007115667103789747,0.0007115667103789747,opposes_explained_class,8,captum_gradient_shap,direct Transformer-LSTM
test,10376,518,test_idx_000518|EMN|2013-09-05,EMN,EASTMAN CHEMICAL COMPANY,2013-09-05,2,2,2,2,0.999818665102693,2,2,2,0.999818665102693,operating_cashflow_ps,0.3687114119529724,-0.00038737538852728903,0.00038737538852728903,opposes_explained_class,9,captum_gradient_shap,direct Transformer-LSTM
test,10376,518,test_idx_000518|EMN|2013-09-05,EMN,EASTMAN CHEMICAL COMPANY,2013-09-05,2,2,2,2,0.999818665102693,2,2,2,0.999818665102693,free_cashflow_ps,0.07370752096176147,-9.951066749636084e-05,9.951066749636084e-05,opposes_explained_class,10,captum_gradient_shap,direct Transformer-LSTM
