epoch,checkpoint_allowed,checkpoint_score,generalization_score,val_acc,val_f1_weighted,val_f1_macro,val_qwk,val_chgacc,val_persistence_rate,train_eval_loss,train_monitor_loss,train_loss,train_optim_loss,train_objective_loss,train_NLL,train_Objective,val_loss,val_monitor_loss,val_NLL,val_Objective,Protocol,loss_gap,lr
1,True,0.5602416461144699,0.30694059392012796,0.6809744779582366,0.6590055047541059,0.44557734204793026,0.38324203764831843,0.43283582089552236,0.6809744779582366,0.7096384951885599,0.7096384951885599,0.7096384951885599,0.9731851448542881,0.7096384951885599,0.7096384951885599,0.7096384951885599,0.7582909619366681,0.7582909619366681,0.7582909619366681,0.7582909619366681,benchmark_ce,0.04865246674810819,5.6242661106559356e-05
2,True,0.6280958167772513,0.4031600916276381,0.7389791183294664,0.726457631975305,0.4999941516784183,0.4574020763917448,0.47761194029850745,0.7354988399071926,0.47942386836792433,0.47942386836792433,0.47942386836792433,0.6504753254843454,0.47942386836792433,0.47942386836792433,0.47942386836792433,0.6095992459191216,0.6095992459191216,0.6095992459191216,0.6095992459191216,benchmark_ce,0.1301753775511973,5.6242661106559356e-05
3,True,0.650612054536809,0.4323227669067047,0.7610208816705336,0.7457440311883908,0.49682970074560034,0.4934026682033762,0.4925373134328358,0.7575406032482599,0.4216949609414178,0.4216949609414178,0.4216949609414178,0.4957142647926825,0.4216949609414178,0.4216949609414178,0.4216949609414178,0.5546570525125221,0.5546570525125221,0.5546570525125221,0.5546570525125221,benchmark_ce,0.13296209157110428,5.6242661106559356e-05
4,True,0.6769788087486491,0.47390608035810483,0.7877030162412993,0.7736487810784098,0.5235110077786389,0.5350373321472846,0.43283582089552236,0.7935034802784223,0.37625105399638414,0.37625105399638414,0.37625105399638414,0.43993549173983343,0.37625105399638414,0.37625105399638414,0.37625105399638414,0.4975898067156474,0.4975898067156474,0.4975898067156474,0.4975898067156474,benchmark_ce,0.12133875271926325,5.6242661106559356e-05
5,True,0.712387818652463,0.5199402649998401,0.820185614849188,0.8046659325966417,0.5519370460048426,0.6012872495374562,0.417910447761194,0.8283062645011601,0.33982666218602336,0.33982666218602336,0.33982666218602336,0.41162410487223716,0.33982666218602336,0.33982666218602336,0.33982666218602336,0.4482022253451524,0.4482022253451524,0.4482022253451524,0.4482022253451524,benchmark_ce,0.10837556315912905,5.6242661106559356e-05
6,True,0.7199682786260798,0.5308334144673977,0.8294663573085846,0.812730146909754,0.5436087591079769,0.6186584286849721,0.40298507462686567,0.8422273781902552,0.32047917178566876,0.32047917178566876,0.32047917178566876,0.3991877696320523,0.32047917178566876,0.32047917178566876,0.32047917178566876,0.4259364126181161,0.4259364126181161,0.4259364126181161,0.4259364126181161,benchmark_ce,0.10545724083244734,5.6242661106559356e-05
7,True,0.741661722970472,0.5591042167379943,0.8503480278422274,0.834742100643712,0.5615717301295304,0.6644407845485851,0.373134328358209,0.8677494199535963,0.30326572033053223,0.30326572033053223,0.30326572033053223,0.3801989927344079,0.30326572033053223,0.30326572033053223,0.30326572033053223,0.4056478217244148,0.4056478217244148,0.4056478217244148,0.4056478217244148,benchmark_ce,0.1023821013938826,5.6242661106559356e-05
8,True,0.7415602539204375,0.5629614741615487,0.851508120649652,0.8358182151736601,0.5623720748321491,0.6664403157595155,0.34328358208955223,0.8735498839907193,0.292110419768439,0.292110419768439,0.292110419768439,0.37256238337633385,0.292110419768439,0.292110419768439,0.292110419768439,0.39451498690026776,0.39451498690026776,0.39451498690026776,0.39451498690026776,benchmark_ce,0.10240456713182877,5.6242661106559356e-05
9,True,0.7526365904187242,0.5794232778605906,0.8596287703016241,0.8450184747213431,0.5880889544044913,0.6874671814285642,0.3283582089552239,0.8839907192575406,0.28085786559486026,0.28085786559486026,0.28085786559486026,0.3584870675401966,0.28085786559486026,0.28085786559486026,0.28085786559486026,0.3848384885048425,0.3848384885048425,0.3848384885048425,0.3848384885048425,benchmark_ce,0.10398062290998222,5.6242661106559356e-05
10,True,0.7497192833768519,0.5757918678787259,0.8561484918793504,0.8407717534120785,0.5843560133071118,0.6796890692162455,0.34328358208955223,0.8781902552204176,0.27686095640405733,0.27686095640405733,0.27686095640405733,0.3634836430369067,0.27686095640405733,0.27686095640405733,0.27686095640405733,0.3819854568552088,0.3819854568552088,0.3819854568552088,0.3819854568552088,benchmark_ce,0.10512450045115146,5.6242661106559356e-05
