trial_id,epochs,composite_score,val_loss,val_accuracy,f1_weighted,f1_macro,qwk,hidden_size,d_model,n_heads,n_layers,dropout,pre_lstm_dropout,batch_size,lr,max_lr,weight_decay,context_dropout_prob,train_input_noise_std,train_channel_dropout_prob,train_timestep_dropout_prob,loss_gap_penalty_weight,train_loss,loss_gap,chgacc,persistence_rate,elapsed_seconds,search_version,train_monitor_loss,train_objective_loss,aligned_score,sector_emb_dim,ticker_emb_dim,company_emb_dim,max_relative_position
trial_0000,5,0.5883018568869331,0.3888557139370177,0.8909512761020881,0.8813182801641852,0.6483997095211527,0.741539235315169,48,48,4,1,0.44,0.3,48,0.0002,0.0003,0.0012,0.3,0.005,0.03,0.03,0.35,0.28227469260277954,0.10658102133423814,0.26865671641791045,0.9234338747099768,14.71378207206726,tlstm_primo_v2_monitor_aligned,0.28227469260277954,0.5217703856284852,0.5883018568869331,8,4,4,8
trial_0001,6,0.44679868147142743,0.6606252193450928,0.7111368909512761,0.6946818730122002,0.46657567976026915,0.4229077136918349,47,47,1,1,0.4505297558764829,0.39729424283280246,128,0.00012715372743221453,0.0001663429401148099,0.0014328793944577165,0.3122372104031478,0.006863467097744425,0.03137283728154598,0.027566174961200778,0.3496488932129521,0.5334622578488456,0.12716296149624717,0.4626865671641791,0.7111368909512761,6.938526391983032,tlstm_primo_v2_monitor_aligned,0.5334622578488456,0.791675380723817,0.44679868147142743,8,4,4,8
trial_0002,7,0.5839651009071767,0.3622529315096991,0.9071925754060325,0.8941152342600361,0.6292637497456774,0.7599927065931412,45,50,2,1,0.4697868143090112,0.4017614734259535,64,0.00024999999999999995,0.0003952154574222652,0.0011714785461071002,0.3154288687121717,0.00510617725233346,0.025141637976644683,0.022784652931739202,0.35,0.2641881142343794,0.09806481727531974,0.19402985074626866,0.9524361948955916,10.808919668197632,tlstm_primo_v2_monitor_aligned,0.2641881142343794,0.4775210286396137,0.5839651009071767,8,4,4,8
trial_0003,8,0.5909533414338299,0.3625979152108942,0.9071925754060325,0.8983273837872119,0.6793765158871152,0.7898058416506115,50,43,1,1,0.4308966390770075,0.3257068754416707,32,8.463790631975912e-05,0.00024848223927351887,0.0008979275953579856,0.2696670946776741,0.002,0.022340812362578687,0.03724094878521579,0.35,0.24177945804768713,0.12081845716320705,0.1791044776119403,0.9535962877030162,17.105100631713867,tlstm_primo_v2_monitor_aligned,0.24177945804768713,0.4461663639356457,0.5909533414338299,8,4,4,8
trial_0004,9,0.5943063916602773,0.3535012722015381,0.9025522041763341,0.8919708794552679,0.6418806580848756,0.7805679873155642,54,37,1,1,0.44217332342588966,0.41682208532815007,96,0.00010716585817861614,0.0003188432009210536,0.0008000000000000004,0.25,0.002,0.018646406581743543,0.02865699264377517,0.3082832437050008,0.257016923116601,0.09648434908493708,0.19402985074626866,0.9477958236658933,10.482852697372437,tlstm_primo_v2_monitor_aligned,0.257016923116601,0.49802911188003524,0.5943063916602773,8,4,4,8
trial_0005,10,0.5587296522688301,0.4262696743011475,0.834106728538283,0.822389093581574,0.623581992523972,0.6566370993597528,46,44,1,1,0.42742586265706106,0.3869228501979749,96,0.0001697735819256248,0.00020324105166620032,0.0008053361440661414,0.2556978405851964,0.002,0.02624454243860856,0.03475517992980412,0.35,0.316156818167023,0.11011285613412447,0.3582089552238806,0.8526682134570766,11.712985754013062,tlstm_primo_v2_monitor_aligned,0.316156818167023,0.5283781316293322,0.5587296522688301,8,4,4,8
trial_0006,11,0.5866378165605797,0.34357682466506956,0.9037122969837587,0.8932770912834205,0.6419577289594621,0.776926983819866,52,42,1,1,0.4624603450566138,0.34177037051747977,96,0.00010359132645916522,0.00040000000000000013,0.0008000000000000004,0.25,0.002,0.01,0.022695760315760746,0.32699248818825105,0.23698919493219125,0.1065876297328783,0.1791044776119403,0.9501160092807425,12.909468412399292,tlstm_primo_v2_monitor_aligned,0.23698919493219125,0.45176783073030913,0.5866378165605797,8,4,4,8
trial_0007,12,0.5993972987600985,0.3522504408444677,0.9095127610208816,0.8987305618515582,0.6676232781943483,0.7908043948285752,52,37,1,1,0.4442823692906114,0.37548920834061805,32,0.00012230591793870716,0.00023261146084699102,0.0009569201497808924,0.2585735603790044,0.005312742184228395,0.0183323873585908,0.04916455235085555,0.2921338083905188,0.2429562490703403,0.10929419177412741,0.1791044776119403,0.9559164733178654,24.092714309692383,tlstm_primo_v2_monitor_aligned,0.2429562490703403,0.3977454667253796,0.5993972987600985,8,4,4,8
trial_0008,13,0.5837825703997792,0.3502383232116699,0.9048723897911833,0.8940996386810824,0.6437261112724825,0.7781845371035715,50,33,1,1,0.4656321846831191,0.27231043471917526,32,7.515503364158615e-05,0.00026668191152768824,0.0014106110528233147,0.25,0.005045394822875961,0.030661890089145653,0.05921304275497005,0.35,0.24006531819485236,0.11017300501681757,0.1791044776119403,0.9524361948955916,26.178229570388794,tlstm_primo_v2_monitor_aligned,0.24006531819485236,0.4025542396656721,0.5837825703997792,8,4,4,8
trial_0009,14,0.5854051801703136,0.3709140717983246,0.9037122969837587,0.8941590548670987,0.6424450839745651,0.7422310471041362,50,42,1,1,0.4388185971526973,0.40250216001503025,32,5.42483086289008e-05,0.00020371219082359273,0.0009506398825146934,0.2584292912778895,0.005072158505436441,0.02019293622412379,0.06862761004724524,0.252304010292706,0.2446232586019281,0.12629081319639648,0.19402985074626866,0.9477958236658933,28.85052728652954,tlstm_primo_v2_monitor_aligned,0.2446232586019281,0.4052355975510865,0.5854051801703136,8,4,4,8
