threshold,margin,score,accepted,accuracy,f1_weighted,f1_macro,qwk,target_recall
0.0,0.0,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.2,0.0,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.2,0.02,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.2,0.04,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.2,0.06,1.522034541331385,True,0.9211136890951276,0.914918230304696,0.7505419225385143,0.8530754716075226,0.26666666666666666
0.2,0.08,1.522034541331385,True,0.9211136890951276,0.914918230304696,0.7505419225385143,0.8530754716075226,0.26666666666666666
0.2,0.1,1.5190251857976744,True,0.919953596287703,0.9139245410948508,0.7464697050825748,0.8516847488409884,0.26666666666666666
0.2,0.12,1.5190251857976744,True,0.919953596287703,0.9139245410948508,0.7464697050825748,0.8516847488409884,0.26666666666666666
0.22,0.0,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.22,0.02,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.22,0.04,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.22,0.06,1.522034541331385,True,0.9211136890951276,0.914918230304696,0.7505419225385143,0.8530754716075226,0.26666666666666666
0.22,0.08,1.522034541331385,True,0.9211136890951276,0.914918230304696,0.7505419225385143,0.8530754716075226,0.26666666666666666
0.22,0.1,1.5190251857976744,True,0.919953596287703,0.9139245410948508,0.7464697050825748,0.8516847488409884,0.26666666666666666
0.22,0.12,1.5190251857976744,True,0.919953596287703,0.9139245410948508,0.7464697050825748,0.8516847488409884,0.26666666666666666
0.24,0.0,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.24,0.02,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.24,0.04,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.24,0.06,1.522034541331385,True,0.9211136890951276,0.914918230304696,0.7505419225385143,0.8530754716075226,0.26666666666666666
0.24,0.08,1.522034541331385,True,0.9211136890951276,0.914918230304696,0.7505419225385143,0.8530754716075226,0.26666666666666666
0.24,0.1,1.5190251857976744,True,0.919953596287703,0.9139245410948508,0.7464697050825748,0.8516847488409884,0.26666666666666666
0.24,0.12,1.5190251857976744,True,0.919953596287703,0.9139245410948508,0.7464697050825748,0.8516847488409884,0.26666666666666666
0.26,0.0,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.26,0.02,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.26,0.04,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.26,0.06,1.522034541331385,True,0.9211136890951276,0.914918230304696,0.7505419225385143,0.8530754716075226,0.26666666666666666
0.26,0.08,1.522034541331385,True,0.9211136890951276,0.914918230304696,0.7505419225385143,0.8530754716075226,0.26666666666666666
0.26,0.1,1.5190251857976744,True,0.919953596287703,0.9139245410948508,0.7464697050825748,0.8516847488409884,0.26666666666666666
0.26,0.12,1.5190251857976744,True,0.919953596287703,0.9139245410948508,0.7464697050825748,0.8516847488409884,0.26666666666666666
0.27999999999999997,0.0,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.27999999999999997,0.02,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.27999999999999997,0.04,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.27999999999999997,0.06,1.522034541331385,True,0.9211136890951276,0.914918230304696,0.7505419225385143,0.8530754716075226,0.26666666666666666
0.27999999999999997,0.08,1.522034541331385,True,0.9211136890951276,0.914918230304696,0.7505419225385143,0.8530754716075226,0.26666666666666666
0.27999999999999997,0.1,1.5190251857976744,True,0.919953596287703,0.9139245410948508,0.7464697050825748,0.8516847488409884,0.26666666666666666
0.27999999999999997,0.12,1.5190251857976744,True,0.919953596287703,0.9139245410948508,0.7464697050825748,0.8516847488409884,0.26666666666666666
0.29999999999999993,0.0,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.29999999999999993,0.02,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.29999999999999993,0.04,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.29999999999999993,0.06,1.522034541331385,True,0.9211136890951276,0.914918230304696,0.7505419225385143,0.8530754716075226,0.26666666666666666
0.29999999999999993,0.08,1.522034541331385,True,0.9211136890951276,0.914918230304696,0.7505419225385143,0.8530754716075226,0.26666666666666666
0.29999999999999993,0.1,1.5190251857976744,True,0.919953596287703,0.9139245410948508,0.7464697050825748,0.8516847488409884,0.26666666666666666
0.29999999999999993,0.12,1.5190251857976744,True,0.919953596287703,0.9139245410948508,0.7464697050825748,0.8516847488409884,0.26666666666666666
0.31999999999999995,0.0,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.31999999999999995,0.02,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.31999999999999995,0.04,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.31999999999999995,0.06,1.522034541331385,True,0.9211136890951276,0.914918230304696,0.7505419225385143,0.8530754716075226,0.26666666666666666
0.31999999999999995,0.08,1.522034541331385,True,0.9211136890951276,0.914918230304696,0.7505419225385143,0.8530754716075226,0.26666666666666666
0.31999999999999995,0.1,1.5190251857976744,True,0.919953596287703,0.9139245410948508,0.7464697050825748,0.8516847488409884,0.26666666666666666
0.31999999999999995,0.12,1.5190251857976744,True,0.919953596287703,0.9139245410948508,0.7464697050825748,0.8516847488409884,0.26666666666666666
