epoch,train_Loss,val_Loss,train_Accuracy,val_Accuracy,train_Macro_F1,val_Macro_F1,train_AUC,val_AUC,train_QWK,val_QWK
1,0.4321084962886514,0.2255228492547018,0.8180889115993868,0.8746389370306181,0.7695558155893352,0.5490148187259272,0.9036972104860864,0.9186295542213857,0.6691311201992278,0.6285109164986664
2,0.15224733501368173,0.14448426798166808,0.9090444557996934,0.8971692663200462,0.8880611527476537,0.6585392713977357,0.9663425427493676,0.9189696211526193,0.8730225301177874,0.7318366088561055
3,0.10819473016700637,0.13929176385660244,0.9294839039345938,0.9121894858463316,0.9125514241049011,0.712826665116804,0.9776853766724378,0.9271898479318268,0.9105101132586986,0.7833592258766555
4,0.09764608900325909,0.13711717582761312,0.9386816555952989,0.9093009820912767,0.9200950515894393,0.6853744962188109,0.9799704291735316,0.925333679113343,0.9273894330661917,0.7761628956010249
5,0.08746153148586919,0.13761364557989617,0.9361267245784364,0.9052570768341999,0.9169118405747133,0.7132288482864101,0.9839708156610406,0.9285746079476259,0.9279906189510189,0.7714172526493017
6,0.0815429922277046,0.13566398064502053,0.9407256004087889,0.9093009820912767,0.922932209572612,0.6807115113472637,0.9832188172266566,0.9244291918721194,0.9377110163260405,0.7799223860738441
7,0.07562073406953256,0.14000504010678164,0.9432805314256515,0.9006354708261121,0.9279380794892581,0.6806392337013661,0.9858431080499551,0.9243900684315817,0.9417154613793527,0.7516342347365486
8,0.06753534907032534,0.14938662625130444,0.9468574348492591,0.8925476603119584,0.9301941583231489,0.6016858789474729,0.9884605545965607,0.9209951728425657,0.9462885053157828,0.7352744899945316
9,0.06220124921569668,0.15709448676795232,0.945835462442514,0.8873483535528596,0.9302563558377512,0.6112320296997269,0.9903482653686421,0.9126218421097553,0.9449176215178203,0.7212731070425027
10,0.05731036153507282,0.16213298432748488,0.9524782830863566,0.8833044482957828,0.9385901460143754,0.606114506311758,0.9912382628937749,0.9119424714255259,0.9515708390997867,0.7115857268231331
11,0.056372971522850715,0.16210738673229427,0.9489013796627491,0.8867706528018486,0.9348720653467489,0.634352945137097,0.9913647561277913,0.9097775996862557,0.9480862198491555,0.7237261020026096
12,0.048468150365973954,0.1804913533243535,0.9550332141032192,0.8827267475447718,0.94432446463288,0.5892297925959534,0.9940071885597425,0.9093739909953875,0.9543632569841315,0.7020359331808272
13,0.04564956907043971,0.1840233132027946,0.9550332141032192,0.8815713460427499,0.9440846922649192,0.6185323856982708,0.9943589700351447,0.9033123041535758,0.9543679730027642,0.7089490625233267
14,0.042817366914323966,0.20794971930298897,0.9591211037301993,0.877527440785673,0.9457961960083457,0.6229131504178266,0.9950764111572483,0.8946209131690285,0.9585111942394796,0.6856644509339513
15,0.043487228346559305,0.20182755350171314,0.9555442003065917,0.8671288272674754,0.9440175622279323,0.6272217598237333,0.9950267864730548,0.8878799041170676,0.9548392162146893,0.6745745878451103
