Split,Accuracy,Macro_F1,AUC,QWK
Val,0.9052570768341999,0.7132288482864101,0.9285746079476259,0.7714172526493017
Test,0.8458333333333333,0.6599435532651435,0.9049035399471569,0.7231966150276394
