rating_detail,company_name,ticker,rating_agency,rating_date,sector,source,current_ratio,debt_equity_ratio,gross_profit_margin,operating_profit_margin,ebit_margin,pretax_profit_margin,net_profit_margin,asset_turnover,roe,roa,operating_cashflow_ps,free_cashflow_ps
2,Total S.A.,TOT,0,2005-08-16,5,1,-0.9757074365138212,0.668872253604428,2.2727521048480375,0.46285124953191814,0.474493349262791,0.6659355093378089,0.1854296116646097,1.2413216557014024,0.09199528963552521,1.5855715822461491,2.669019190038513,4.511663589671752
1,United States Steel Corporation,X,6,2009-04-28,0,1,0.395399338771481,0.8127705348437412,-1.2527527501125202,0.05836417647941727,0.04957693287717239,0.2507727735044823,0.18034790691863392,1.0524326431400253,0.7890848448168726,1.3660131661490067,1.6681197375575358,1.8431203619234338
2,Southern Copper Corp.,SCCO,6,2010-04-06,8,2,1.1226090711806223,-0.41814377080873727,0.2662523113082336,1.8810443149148952,1.8893625908695344,1.9144200921200938,1.4729994707203315,-0.28661262307648755,0.2997582512017554,1.7316523771950836,0.43183725835986564,0.09095541375114148
2,Compass Group PLC,COMP,6,2010-05-28,10,2,-0.7128082362428788,0.06623504790024705,0.8538228073804423,1.720785214436608,1.7294790901748942,0.9639644721202166,0.7461363397338625,-0.8031118280767486,0.22822099229197523,0.27228316836013206,0.4940826958810566,0.1795106872995069
1,Fresh Del Monte Produce Inc.,FDP,6,2010-06-01,3,2,0.8050551932873856,-0.567748960768765,-1.3860964476203095,-0.7043810429789278,-0.69000329706494,-0.510575204709347,-0.30310040236221486,0.9811326958287769,-0.09573259757859778,0.10869587817024301,1.2974815759087817,0.8170589066940587
2,Northwest Natural Gas Co.,NWN,6,2010-06-16,9,2,-1.0461294726473016,0.2235439955385971,-0.15078242819794277,0.21301041092014286,0.22523806345050548,0.14722726920195134,0.001754405621357739,-0.7220572975969073,-0.02287639681733484,-0.3163035608257448,1.9897231028190154,1.1172078026078125
1,Universal Health Services Inc.,UHS,6,2010-06-25,7,2,-0.33193867578455677,-0.21980848170742354,1.732989930301723,-0.22973223842590618,-0.2164669284844551,-0.07821883010989275,-0.22211543935194905,0.9307766736614229,0.1201112139810039,0.46755636677505436,1.5535104230564392,0.3972608911826539
2,California Water Service Co.,CWT,6,2010-06-29,9,2,-1.0465896514939121,0.10856952354397319,0.8475219878530059,0.4225291255217494,0.43426572834797983,0.38078759384422556,0.14670966702525967,-1.0414419786295186,-0.0673293381722492,-0.3998517345663532,0.6853504731030056,-0.39357998923487597
2,Cardinal Health Inc.,CAH,6,2010-07-14,4,2,-0.42019448244776736,-0.34284850653214494,-1.5889193864684235,-0.9540960832610313,-0.939133079381515,-0.7234284712586545,-0.6334543514466926,3.204363649760527,-0.02938675514238614,-0.3506623862321109,0.7658302220602283,0.6378961657580752
2,Kennametal Inc.,KMT,6,2010-07-15,1,2,0.6309527822517699,-0.4986800439628757,-0.40508816267494885,-0.6445811712023078,-0.630343578445516,-0.4860856501295978,-0.4592495227763205,0.13687980051946477,-0.2186395742969982,-0.483305165428739,-0.8090236086778267,-0.06669038571873649
2,American States Water Co.,AWR,6,2010-07-30,9,2,-0.6007457096758605,0.06237408585489635,1.3741323561836711,0.49876722684548025,0.5103251501815763,0.2677774451753658,0.08362229451532699,-0.982339368386017,-0.10487317134003608,-0.40335896855900394,0.7736456071819434,-0.15521456542105258
0,Tenet Healthcare Corporation,THC,6,2010-08-03,7,1,-0.36352531324793286,1.3514554937582866,2.2727521048480375,-0.4831859047701177,-0.9053900148381835,-0.6822735277335202,0.42322167805675326,0.5755923134763908,1.3058612409085149,1.3718131845730346,0.35462551212973237,0.18926179857550102
2,Magellan Midstream Partners L.P.,MMP,6,2010-08-31,5,1,-0.2939364923961844,0.46717255125569684,2.2727521048480375,0.5436484864269425,0.5486531036268377,0.7383929746727423,1.0836764595423403,-0.7297048381444139,0.2281776895906071,0.5864088596212373,1.2638998091198743,-0.7425985733561553
2,Vector Ltd.,VGR,6,2010-09-03,6,2,0.8593738669499074,-4.675760229653745,-0.6201914750825911,0.37833754684867593,0.39017772162395065,-0.5279055367036664,-0.39928891373770364,0.5866073741322515,-5.088998506672769,-0.27379351564488286,-0.28024498362632977,-0.10879145326946918
2,Teck Resources Ltd.,TECK,6,2010-09-08,8,2,-0.12213797849242303,-0.2074142596500276,0.17326201368088381,1.4136229972103729,1.423036770052726,1.7117973703114686,1.3922921627425693,-1.1419275717882782,-0.1420872690449523,-0.2903701200040532,1.3766068160472353,0.9981183722390486
2,National Grid Gas PLC,NGG,6,2010-09-14,9,2,-1.1458856657237606,1.8631563333028314,-0.7989596599668156,0.7908570037514548,0.8017303553116957,0.4212132000002737,0.22625689031780938,-0.9712585376260969,0.4843641008098645,-0.33759591188196114,2.3382027792844147,1.465396690667713
2,Entergy Corp,ETR,6,2010-09-15,9,2,-0.26897027772349225,0.3830670020594369,0.8881219148271164,0.6288258818916161,0.6400789863278746,0.5593339717246953,0.36211727434074964,-1.0638399863175663,0.057492149101888754,-0.2811648951207314,2.4564357525445675,1.4769946952440962
2,Automatic Data Processing Inc.,ADP,6,2010-09-16,10,2,-0.6506827692261425,-0.79899553753007,0.010316154442356194,0.5244607237566555,0.5359584291590919,0.8000353353286769,0.5454204495848709,-0.9435858303432508,0.24947742724726632,-0.07752313900816202,-0.10489602539039249,-0.0163805428109924
2,Cardinal Health Inc.,CAH,6,2010-09-16,4,2,-0.42019448244776736,-0.34284850653214494,-1.5889193864684235,-0.9540960832610313,-0.939133079381515,-0.7234284712586545,-0.6334543514466926,3.204363649760527,-0.02938675514238614,-0.3506623862321109,0.7658302220602283,0.6378961657580752
2,Entergy Corp,ETR,6,2010-09-28,9,2,-0.26897027772349225,0.3830670020594369,0.8881219148271164,0.6288258818916161,0.6400789863278746,0.5593339717246953,0.36211727434074964,-1.0638399863175663,0.057492149101888754,-0.2811648951207314,2.4564357525445675,1.4769946952440962
2,Pitney Bowes Inc.,PBI,6,2010-09-30,8,1,-0.5651596490335175,-4.675760229653745,0.29023486888368205,-0.2419364706990845,-0.22864255765810457,-0.0210603691998842,-0.18440020905605678,-0.23215671540555058,-5.088998506672769,-0.2579603113204771,1.4065695151198367,1.142775571980727
2,Diageo PLC,DEO,6,2010-10-01,3,2,0.10447773907797878,0.6218657988418064,0.5896381589216051,0.9891049241121551,0.9995136413659901,0.9426954247986037,0.9043684900056225,-0.5346116955650039,0.6325635767926475,0.7080769334007393,0.6304232794365999,0.44900105100866516
2,Newmont USA Ltd.,NEM,6,2010-10-15,8,2,0.778300423442194,-0.3648679510508122,0.704992550843596,1.8167004091759988,1.8251694881552551,1.9598471148417744,0.8220846408075623,-0.9103193526311093,0.11363152872226615,0.7662431639291561,1.634172869620973,0.6383625734488143
2,FedEx Corp.,FDX,6,2010-10-26,8,2,-0.10122482879183181,-0.6292066781407507,1.3670123096431075,-0.5773042883729029,-0.5632243726688323,-0.37232124880926054,-0.3696160829654862,1.0499753449688574,-0.09463603545788832,-0.03230362869478683,0.44945602673152013,-0.12900245320150483
1,Rent-A-Center Inc.,RCII,6,2010-10-28,8,2,0.901702858630847,-0.18872341219890065,1.1579407569105509,-0.16887867695639816,-0.15575598970816,-0.02332040301980259,-0.11881946297681925,0.6451637346530192,0.030159890927654986,0.3308882853912925,1.465013862689015,1.1212810964402689
1,Jabil Inc.,JBL,6,2010-11-03,10,2,-0.4228976585910601,-0.04359156867842604,-1.4423460200363696,-0.8575556442096316,-0.8428189024763065,-0.6715070522175075,-0.5747218388989869,1.933914445182145,-0.039721022401193476,-0.3957076936791561,-0.8791850170955763,-0.47122132281994206
1,Flowserve Corp.,FLS,6,2010-11-05,1,2,0.05449534802897179,-0.4330200950950903,-0.3188645195432841,0.11714087342151926,0.15742392178306766,0.25166913970133675,0.2160898863141944,0.48369770136942225,0.2938945833581482,0.8694715304861256,0.9444762655963063,0.4809033370552322
2,General Mills Inc.,GIS,6,2010-11-11,3,2,-0.9154606155098712,0.23555928618501104,-0.15156551284284403,0.37415608220157026,0.3860060570893633,0.3769876898714953,0.2741851268668575,0.13148968958576426,0.38092174075627194,0.6370305267125139,0.1717947527054144,0.037007590855630976
