ticker,rating_date,current_ratio,debt_equity_ratio,gross_profit_margin,operating_profit_margin,ebit_margin,pretax_profit_margin,net_profit_margin,asset_turnover,roe,roa,operating_cashflow_ps,free_cashflow_ps,company_name,rating_agency,sector,source,rating_detail,delta_days
ASML,2013-09-12,2.7953,0.1867,0.423805,0.244481,0.244481,0.243171,0.242271,0.6385,0.281865,0.154689,-7.0222,-6.2711,ASML Holding N.V.,Moody's Investors Service,Capital Goods,credit_rating_financial,2,7.0
PFE,2015-05-06,2.4071,0.4762,0.814167,0.294355,0.294355,0.304668,0.399765678,0.2997,0.148981,0.066298,0.3344,0.3361,PFIZER INC.,Egan-Jones Ratings Company,Health Care,credit_rating_financial,2,90.0
CDE,2013-12-31,1.7048,0.1212,0.492389,0.173916,0.173916,0.133428,0.054358,0.278,0.022143,0.015111,-1.6068,-1.5601,"COEUR MINING, INC",Egan-Jones Ratings Company,Miscellaneous,credit_rating_financial,1,39.0
TEN,2014-11-04,1.2459,2.3347,0.154445,0.053742,0.053742,0.043194,0.022978,2.0794,0.470339,0.057963,2.191,2.6159,TENNECO INC,Egan-Jones Ratings Company,Consumer Durables,credit_rating_financial,2,90.0
GPS,2015-04-10,1.9324,0.4536,0.382659,0.126742,0.126742,0.122483,0.076787,2.1372,0.423064,0.164109,1.1876,1.2746,"GAP, INC",Egan-Jones Ratings Company,Consumer Services,credit_rating_financial,2,112.0
SCI,2013-08-28,0.6855,1.4294,0.21742,0.166098,0.166098,0.102013,0.063984,0.2483,0.11386,0.016024,0.0456,0.0194,SERVICE CORPORATION,Egan-Jones Ratings Company,Consumer Services,credit_rating_financial,1,72.0
HOG,2013-09-06,1.6832,2.3645,0.371996,0.156252,0.156252,0.14923,0.112791,0.5491,0.226455,0.056654,-1.1867,-1.2637,"HARLEY-DAVIDSON, INC",Egan-Jones Ratings Company,Consumer Durables,credit_rating_financial,2,365.0
RIO,2013-09-27,1.3909,0.4622,0.263524,0.216709,0.216709,-0.050386,-0.05894,0.4335,0.160459,0.079185,-5.3511,-8.3771,RIO TINTO PLC,Egan-Jones Ratings Company,Miscellaneous,credit_rating_financial,2,365.0
CHK,2016-02-22,0.673,4.4606,0.752037,-0.763475,-0.754728,-0.783061155,-0.827493,0.7372,2.333334,-0.26277943,-4.1386,-10.9302,Chesapeake Energy Corporation,Moody's Investors Service,Energy,credit_rating_financial,0,13.0
MHK,2015-06-02,2.3362,0.5056,0.261379,0.074425,0.074425,0.060632,0.047462,0.8652,0.082139,0.043228,-1.2146,-3.279,Mohawk Industries Inc.,Standard & Poor's Ratings Services,Consumer Non-Durables,credit_rating_financial,2,21.0
STZ,2012-06-29,1.6958,1.1695,0.400143,0.183288,0.183288,0.201183,0.167653,0.3733,0.166293,0.062589,0.7664,0.7805,Constellation Brands Inc.,Standard & Poor's Ratings Services,Consumer Non-Durables,credit_rating_financial,1,14.0
HOG,2012-01-25,2.0194,2.6066,0.378164,0.115372,0.115372,0.080354,0.030157,0.5153,0.117664,0.027534,2.3478,2.12,Harley-Davidson Inc.,Standard & Poor's Ratings Services,Consumer Durables,credit_rating_financial,2,33.0
