fold_id,train_years,val_years,test_years,train_size,val_size,test_size,new_test_ticker_count
1,"2005,2009,2010,2011,2012",2013,2014,1610,1503,2086,138
2,"2005,2009,2010,2011,2012,2013",2014,2015,3113,2086,2243,124
3,"2005,2009,2010,2011,2012,2013,2014",2015,2016,5199,2243,1172,104
