epoch,train_Loss,val_Loss,train_Accuracy,val_Accuracy,train_Macro_F1,val_Macro_F1,train_AUC,val_AUC,train_QWK,val_QWK
1,1.2468116565575618,0.689641373281865,0.2737642585551331,0.4310226492793411,0.2729704352665068,0.2970108216319928,0.5810716379513682,0.6025617679220364,0.005945734375516598,0.0848412095962715
2,0.5840621190605961,0.6198771296908943,0.6834600760456274,0.7089910775566232,0.6547084012870922,0.505207899356043,0.7783579945693094,0.6959514748994415,0.5440478423037653,0.2826739725205464
3,0.4488442664817259,0.42783184626696447,0.8279467680608364,0.8153740562800275,0.8143170643170644,0.5652840190913615,0.8968082939109113,0.7346283002610382,0.7687219859038202,0.4287737136763077
4,0.3434310803621894,0.424760547090084,0.8678707224334601,0.8153740562800275,0.8576494908783309,0.5762733217857893,0.9148595702751255,0.7602377193382427,0.8108687154422055,0.4334253770280382
5,0.28428637018221864,0.3609425326733861,0.8916349809885932,0.8345916266300618,0.8826790003609025,0.5888090433818536,0.9322789317041282,0.7877363860907506,0.8602239971174634,0.4756536440025443
6,0.22825977529183086,0.27219929927084324,0.9001901140684411,0.8695950583390528,0.8910830241086343,0.6301472808151883,0.9452797594992474,0.8135455634508254,0.8546162490031657,0.5841244643248147
7,0.19320294074005953,0.29283294312824676,0.9182509505703422,0.8620452985586822,0.9131825372249317,0.6314829615981905,0.9638884341192044,0.8251438437354849,0.8876175848343951,0.5561898258177849
8,0.21156108775972868,0.2568725261609687,0.9163498098859315,0.8682223747426219,0.9092971539121244,0.6406538740424234,0.9538567952324732,0.8381233099448281,0.8904734654990069,0.5957613965690112
9,0.1934782897791482,0.27968483750101797,0.9201520912547528,0.8682223747426219,0.9149346417313008,0.6443635617173807,0.9658830743132748,0.8418701659553399,0.8967862393544829,0.6179602353048474
10,0.12770832278995914,0.27001028925732706,0.9296577946768061,0.8737131091283459,0.9242672809440503,0.6571946297261678,0.9719086777828533,0.8461964359827093,0.9178780149850405,0.6237339701070135
11,0.134495950073797,0.22568728662797172,0.9334600760456274,0.8867536032944406,0.9282989928890322,0.6594285016808277,0.9785654947617797,0.8498202806009775,0.9075316394407323,0.6298782625134399
12,0.13803236289905957,0.23032298935711507,0.9306083650190115,0.883321894303363,0.9251169716622448,0.6856672665733011,0.9797958081810488,0.8599792185661999,0.9199421931151882,0.6687791412466075
13,0.14046701148662277,0.2607720295860903,0.9344106463878327,0.876458476321208,0.9303004840364836,0.6818921967652204,0.977653144943787,0.8574123726020981,0.9251446453428128,0.666031488278197
14,0.13836000831408193,0.2224381382774636,0.9363117870722434,0.8853809196980096,0.9318129747390284,0.6809398779356647,0.9778069712670071,0.8541816822730612,0.9338047395273501,0.6718680539643932
15,0.10718940014989883,0.24004271106926153,0.9486692015209125,0.8846945778997941,0.946746033750656,0.6901872197040907,0.9851190588409241,0.857042628610685,0.9529241192290653,0.6649804552770752
16,0.11649126675645662,0.30422737386509746,0.9429657794676806,0.8730267673301304,0.939335043341813,0.6648730407947808,0.9849537160774053,0.850482773327785,0.9420495509391058,0.651248465738731
17,0.09756844514846348,0.24828296832295418,0.9496197718631179,0.8846945778997941,0.9484752414807759,0.6820492198569834,0.9869287063502089,0.8564921167490681,0.9539550797188106,0.6849281470254807
18,0.09947029516780784,0.27558263954268636,0.9496197718631179,0.8785175017158545,0.9475166626531405,0.6648192153628193,0.9879001023190331,0.845911425028635,0.9539550797188106,0.6762219261288762
19,0.08704744671744086,0.25677302312016403,0.9505703422053232,0.8846945778997941,0.9470394831147706,0.6824038515166775,0.9907866795059733,0.8603578443222899,0.9524975572202647,0.6995245588839117
20,0.08986703636471763,0.28713162590071367,0.9543726235741445,0.8785175017158545,0.95215312818816,0.6667984339742726,0.9887039920630837,0.8483319971340612,0.9579357662979654,0.6792552376263834
21,0.07547682900505827,0.26624386751987217,0.9553231939163498,0.87920384351407,0.9529144296056478,0.6686069405488643,0.989580782412689,0.8545312487580815,0.9587526669172065,0.6757771026512859
22,0.07870669162233745,0.2594408674565749,0.9553231939163498,0.87920384351407,0.9548754728015573,0.6632285829136223,0.9910493823712119,0.8419151601403776,0.9539833453932931,0.6600161722448847
23,0.10070996796676868,0.3022060382832545,0.9562737642585551,0.8737131091283459,0.9554555799078662,0.6689921280570527,0.9855376170760771,0.8503231065808595,0.9571294356141323,0.6755409929376848
24,0.07082099447685503,0.26949501129643266,0.9562737642585551,0.8798901853122855,0.9561071561003683,0.6829280949698635,0.9921511447746761,0.8356507414507351,0.9520951468080849,0.6818300663835322
25,0.08321274543613082,0.26803084688392825,0.9553231939163498,0.8819492107069321,0.9557462046558499,0.6722311849165159,0.9881031489837776,0.838647937810547,0.9609298981354797,0.6878332092330603
