Split,Accuracy,Macro_F1,AUC,QWK
Val,0.8846945778997941,0.6901872197040907,0.857042628610685,0.6649804552770752
Test,0.8058361391694725,0.6447160916221399,0.8199810665187033,0.6225482379205869
