class0_threshold,Accuracy,Precision_Weighted,Recall_Weighted,Macro_F1,Weighted_F1,Class0_Precision,Class0_Recall,Class0_F1,Class0_F2,Class0_Support,AUC,QWK,ChgAcc,Ordinal_MAE
0.05,0.03480278422273782,0.0012112337896544483,0.03480278422273782,0.02242152466367713,0.002340994454444248,0.03480278422273782,1.0,0.06726457399103139,0.15274949083503053,30,0.8582130643390103,0.0,0.11940298507462686,1.605568445475638
0.06,0.03480278422273782,0.0012112337896544483,0.03480278422273782,0.02242152466367713,0.002340994454444248,0.03480278422273782,1.0,0.06726457399103139,0.15274949083503053,30,0.8582130643390103,0.0,0.11940298507462686,1.605568445475638
0.07,0.03480278422273782,0.0012112337896544483,0.03480278422273782,0.02242152466367713,0.002340994454444248,0.03480278422273782,1.0,0.06726457399103139,0.15274949083503053,30,0.8582130643390103,0.0,0.11940298507462686,1.605568445475638
0.08,0.03480278422273782,0.0012112337896544483,0.03480278422273782,0.02242152466367713,0.002340994454444248,0.03480278422273782,1.0,0.06726457399103139,0.15274949083503053,30,0.8582130643390103,0.0,0.11940298507462686,1.605568445475638
0.09,0.04060324825986079,0.27960548684457476,0.04060324825986079,0.035832336967602,0.01586760092756154,0.03399765533411489,0.9666666666666667,0.06568516421291053,0.14902363823227135,30,0.8582130643390103,-0.006209282143424755,0.1044776119402985,1.599767981438515
0.1,0.06148491879350348,0.39046361341824587,0.06148491879350348,0.07323989026032034,0.05390353432266866,0.03519417475728155,0.9666666666666667,0.06791569086651054,0.15360169491525422,30,0.8582130643390103,-0.02289822581268597,0.11940298507462686,1.5754060324825987
0.11,0.08236658932714618,0.4685574448736436,0.08236658932714618,0.10389274487478627,0.08954139406251228,0.03647798742138365,0.9666666666666667,0.0703030303030303,0.15846994535519124,30,0.8582130643390103,-0.0343952008176267,0.13432835820895522,1.5452436194895591
0.12,0.13225058004640372,0.6115364433514354,0.13225058004640372,0.1621006974410116,0.17311437808030414,0.03814713896457766,0.9333333333333333,0.07329842931937172,0.1639344262295082,30,0.8582130643390103,-0.04303066777425535,0.11940298507462686,1.4617169373549883
0.13,0.18909512761020883,0.667507552065785,0.18909512761020883,0.21644208507924878,0.2561370865241111,0.04185351270553064,0.9333333333333333,0.08011444921316166,0.1774397972116603,30,0.8582130643390103,-0.03747942757366185,0.13432835820895522,1.357308584686775
0.14,0.27494199535962877,0.718141272512517,0.27494199535962877,0.28728799062691923,0.3678764276982143,0.04498269896193772,0.8666666666666667,0.08552631578947369,0.18624641833810887,30,0.8582130643390103,-0.012328922500092432,0.13432835820895522,1.1960556844547563
0.15,0.36310904872389793,0.7547343709425491,0.36310904872389793,0.34804124427426647,0.46670509676290073,0.048879837067209775,0.8,0.09213051823416507,0.19639934533551553,30,0.8582130643390103,0.03111520853978289,0.13432835820895522,1.0290023201856149
0.16,0.4605568445475638,0.7733080009183144,0.4605568445475638,0.40682110755742307,0.5569212571127257,0.0583756345177665,0.7666666666666667,0.10849056603773585,0.2237354085603113,30,0.8582130643390103,0.0945362945547672,0.14925373134328357,0.8433874709976799
