epoch,train_Loss,val_Loss,train_Accuracy,val_Accuracy,train_Macro_F1,val_Macro_F1,train_Class0_Precision,val_Class0_Precision,train_Class0_Recall,val_Class0_Recall,train_Class0_F1,val_Class0_F1,train_Class0_F2,val_Class0_F2,train_ChgAcc,val_ChgAcc,train_Ordinal_MAE,val_Ordinal_MAE,train_AUC,val_AUC,train_QWK,val_QWK
1,0.6629233360290527,0.6460026502609253,0.734947752529441,0.7436194895591647,0.48755692830499714,0.4832626703556681,0.14130434782608695,0.1111111111111111,0.06280193236714976,0.03333333333333333,0.08695652173913043,0.05128205128205128,0.07065217391304349,0.03875968992248062,0.5135699373695198,0.5074626865671642,0.28047769115939625,0.271461716937355,0.766265197984937,0.7598032951900874,0.4301585459225743,0.4381549260466283
2,0.6141051650047302,0.6112651228904724,0.7520318460772931,0.7575406032482599,0.47413690451503615,0.4793703527922797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5031315240083507,0.5373134328358209,0.257754188090894,0.2552204176334107,0.8123774717154265,0.7910626729719362,0.46091877027406136,0.4553704767375072
3,0.5926909446716309,0.6026716828346252,0.7556808757671256,0.7691415313225058,0.48991528791046807,0.502612639258602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5073068893528184,0.5522388059701493,0.2536075634433571,0.24245939675174014,0.825789868475621,0.7975314605908664,0.4868423325255632,0.5028183984243164
4,0.5713940858840942,0.5877093076705933,0.7603250953723669,0.7691415313225058,0.49545513798835983,0.5040643342451386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4968684759916493,0.5671641791044776,0.24846574888041134,0.24245939675174014,0.835548416642162,0.8046747410273728,0.5014411551512765,0.5050870744683518
5,0.5516965985298157,0.5672045946121216,0.7691159396251451,0.777262180974478,0.5162514663474712,0.5080244189467491,0.42857142857142855,0.0,0.028985507246376812,0.0,0.05429864253393665,0.0,0.035629453681710214,0.0,0.48643006263048016,0.5223880597014925,0.24067009454304197,0.23433874709976799,0.8411535490894421,0.8107552487882894,0.5114825978701479,0.5190022320082042
6,0.5517406463623047,0.5650451183319092,0.7616520152595787,0.765661252900232,0.5089580143983866,0.49459804227845466,0.3333333333333333,0.0,0.033816425120772944,0.0,0.06140350877192982,0.0,0.04122497055359246,0.0,0.4780793319415449,0.47761194029850745,0.25194891358434235,0.2482598607888631,0.8424050133282482,0.8130826636670564,0.4720432833881739,0.47944746670997085
7,0.5519033074378967,0.5663913488388062,0.7589981754851551,0.7575406032482599,0.5189859578093008,0.5058911915076298,0.2708333333333333,0.16666666666666666,0.06280193236714976,0.03333333333333333,0.10196078431372549,0.05555555555555555,0.07420091324200913,0.03968253968253968,0.4718162839248434,0.44776119402985076,0.25559794327417484,0.25754060324825984,0.842327471734743,0.8147855192622339,0.46972112110941966,0.4669034034233731
8,0.5442867279052734,0.5624104142189026,0.7686183446674407,0.7703016241299304,0.5519603080634483,0.5197336436834264,0.30666666666666664,0.1111111111111111,0.1111111111111111,0.03333333333333333,0.16312056737588654,0.05128205128205128,0.1273532668881506,0.03875968992248062,0.48643006263048016,0.5074626865671642,0.24348979930336706,0.24477958236658934,0.8443791026983494,0.8177623740156724,0.5176839206858492,0.503926453662019
9,0.5365533828735352,0.5579923391342163,0.7687842096533422,0.771461716937355,0.5565140526963029,0.5245349011566881,0.3150684931506849,0.16666666666666666,0.1111111111111111,0.03333333333333333,0.16428571428571428,0.05555555555555555,0.1276359600443951,0.03968253968253968,0.4822546972860125,0.4925373134328358,0.24266047437385968,0.24129930394431554,0.8474028909338154,0.8214136227216216,0.5263505830334758,0.5165663678835819
10,0.5284691452980042,0.5508614778518677,0.7730966992867806,0.777262180974478,0.5607629747001697,0.5291779795828553,0.2926829268292683,0.125,0.11594202898550725,0.03333333333333333,0.16608996539792387,0.05263157894736842,0.13186813186813187,0.0390625,0.48434237995824636,0.5074626865671642,0.23735279482501245,0.2354988399071926,0.8503846925440405,0.8248491311091395,0.5427843293746126,0.5328689720949725
11,0.5218417048454285,0.5435740351676941,0.7784043788356279,0.7784222737819025,0.563067355940959,0.5283625292419589,0.3,0.125,0.11594202898550725,0.03333333333333333,0.1672473867595819,0.05263157894736842,0.13215859030837004,0.0390625,0.4801670146137787,0.5074626865671642,0.23221098026206669,0.23317865429234338,0.8532081693342354,0.827370616926531,0.5479068974939618,0.5391534058745833
12,0.5183123350143433,0.5391683578491211,0.7828827334549676,0.7853828306264501,0.5644231341258868,0.5330068435683492,0.323943661971831,0.16666666666666666,0.1111111111111111,0.03333333333333333,0.16546762589928057,0.05555555555555555,0.1279199110122358,0.03968253968253968,0.48434237995824636,0.4925373134328358,0.2277326256427268,0.22621809744779584,0.855660788948757,0.8292790039462433,0.5513811561454784,0.5454723820455092
13,0.512942910194397,0.5340205430984497,0.7890197379333223,0.7842227378190255,0.5802312517327918,0.533422066234434,0.421875,0.25,0.13043478260869565,0.03333333333333333,0.1992619926199262,0.058823529411764705,0.15134529147982065,0.04032258064516128,0.4801670146137787,0.5074626865671642,0.2202687012771604,0.2273781902552204,0.8581717165406397,0.8313177651892977,0.568274617157605,0.5396710806079965
14,0.5039865374565125,0.5265438556671143,0.7948250124398739,0.7935034802784223,0.5882572130859529,0.5609756134857921,0.4576271186440678,0.5,0.13043478260869565,0.06666666666666667,0.20300751879699247,0.11764705882352941,0.15219842164599776,0.08064516129032256,0.46555323590814196,0.5074626865671642,0.21346823685519986,0.21693735498839908,0.8611596104691918,0.833469550250368,0.5861286925286937,0.5656544801175887
15,0.4957767128944397,0.5190395712852478,0.7999668270028197,0.8062645011600929,0.5959774188226323,0.5735911838745672,0.54,0.6666666666666666,0.13043478260869565,0.06666666666666667,0.21011673151750973,0.12121212121212122,0.15375854214123005,0.08130081300813008,0.46346555323590816,0.5223880597014925,0.2076629623486482,0.20301624129930396,0.8645248610053775,0.8358329556268513,0.5989769253915715,0.5968549978697042
16,0.4875432550907135,0.5099471807479858,0.8037817216785537,0.8109048723897911,0.5895252522396542,0.5772605757723301,0.5789473684210527,0.6666666666666666,0.10628019323671498,0.06666666666666667,0.17959183673469387,0.12121212121212122,0.12702078521939952,0.08130081300813008,0.4572025052192067,0.5223880597014925,0.20368220268701276,0.19837587006960558,0.8679888727685358,0.8388793261488178,0.6046085256081724,0.6056493083927409
17,0.47934016585350037,0.4998217821121216,0.8094211311992039,0.814385150812065,0.5935811734536696,0.5791120459665234,0.6111111111111112,0.6666666666666666,0.10628019323671498,0.06666666666666667,0.18106995884773663,0.12121212121212122,0.12731481481481483,0.08130081300813008,0.4572025052192067,0.5074626865671642,0.19804279316636259,0.19489559164733178,0.8714180115906353,0.8422522634870001,0.6133539218632127,0.6107626311707944
18,0.4724254906177521,0.4910614788532257,0.8112456460441201,0.8178654292343387,0.5820939913496,0.5809091253952982,0.5666666666666667,0.6666666666666666,0.0821256038647343,0.06666666666666667,0.14345991561181434,0.12121212121212122,0.09906759906759906,0.08130081300813008,0.44258872651356995,0.5074626865671642,0.1978769281804611,0.1925754060324826,0.8745879307633854,0.8458410844758913,0.6045000316418623,0.6090163287844127
19,0.46587708592414856,0.483090877532959,0.8162215956211644,0.8213457076566125,0.5832504993608681,0.5833786293427549,0.5517241379310345,0.6666666666666666,0.07729468599033816,0.06666666666666667,0.13559322033898305,0.12121212121212122,0.09334889148191367,0.08130081300813008,0.4321503131524008,0.47761194029850745,0.1937303035329242,0.1902552204176334,0.877640535087494,0.8496104791150726,0.6083838864208414,0.608313412489875
20,0.45846879482269287,0.47504922747612,0.8241831149444352,0.8294663573085846,0.5953761242695973,0.5900620902569895,0.6,0.6666666666666666,0.08695652173913043,0.06666666666666667,0.1518987341772152,0.12121212121212122,0.1048951048951049,0.08130081300813008,0.42379958246346555,0.4925373134328358,0.18460772930834302,0.18097447795823665,0.8809768844690029,0.8538384615978248,0.6312390393686336,0.6309277741687829
21,0.45071306824684143,0.4674490988254547,0.8319787692818046,0.8387470997679815,0.6214002977458896,0.6156940993088165,0.6842105263157895,0.75,0.12560386473429952,0.1,0.21224489795918366,0.17647058823529413,0.15011547344110854,0.12096774193548386,0.4196242171189979,0.47761194029850745,0.17515342511195886,0.17053364269141533,0.8845204853006358,0.8585865280917405,0.6577580569381418,0.6574010406760982
22,0.44310304522514343,0.46019354462623596,0.8347984740421297,0.8433874709976799,0.6192185832785182,0.6019397035913717,0.6486486486486487,0.6666666666666666,0.11594202898550725,0.06666666666666667,0.19672131147540983,0.12121212121212122,0.13872832369942195,0.08130081300813008,0.40083507306889354,0.4626865671641791,0.17183612539392934,0.16589327146171692,0.8880355660839335,0.8628838314817407,0.6666297045997558,0.6655898499451018
23,0.4357469975948334,0.45307618379592896,0.8377840437883562,0.845707656612529,0.6210052611389167,0.6048108626619123,0.6153846153846154,1.0,0.11594202898550725,0.06666666666666667,0.1951219512195122,0.125,0.13840830449826988,0.08196721311475409,0.3924843423799583,0.43283582089552236,0.16802123071819539,0.16357308584686775,0.8913147306485603,0.8672446005892375,0.6772640757894292,0.668401425050107
24,0.42920294404029846,0.4465618431568146,0.8419306684358931,0.8526682134570766,0.6262287456657178,0.6096405039365594,0.625,1.0,0.12077294685990338,0.06666666666666667,0.20242914979757085,0.125,0.14400921658986174,0.08196721311475409,0.3862212943632568,0.44776119402985076,0.16387460607065849,0.15661252900232017,0.8943044736142984,0.8709424832351771,0.6845609957114179,0.6805040770941437
