class0_threshold,Accuracy,Precision_Weighted,Recall_Weighted,Macro_F1,Weighted_F1,Class0_Precision,Class0_Recall,Class0_F1,Class0_F2,Class0_Support,AUC,QWK,ChgAcc,Ordinal_MAE
0.05,0.7157772621809745,0.7556043709507747,0.7157772621809745,0.4925692098175734,0.7268449269001982,0.045454545454545456,0.13333333333333333,0.06779661016949153,0.09615384615384615,30,0.7702262751525749,0.43154193729580614,0.22388059701492538,0.3329466357308585
0.06,0.7169373549883991,0.752012089575866,0.7169373549883991,0.4927645333191985,0.7257847071094036,0.04819277108433735,0.13333333333333333,0.07079646017699115,0.0985221674876847,30,0.7702262751525749,0.4319090382387021,0.22388059701492538,0.3294663573085847
0.07,0.7215777262180975,0.7535138374432434,0.7215777262180975,0.4963407028439543,0.7291536020460071,0.05063291139240506,0.13333333333333333,0.07339449541284404,0.10050251256281409,30,0.7702262751525749,0.4394083022861047,0.23880597014925373,0.3225058004640371
0.08,0.728538283062645,0.7563116588320796,0.728538283062645,0.5031184664587646,0.734836325044034,0.0547945205479452,0.13333333333333333,0.07766990291262135,0.10362694300518135,30,0.7702262751525749,0.44174547693509103,0.26865671641791045,0.314385150812065
0.09,0.7308584686774942,0.755889058250881,0.7308584686774942,0.5048100565568612,0.7361263148811533,0.05714285714285714,0.13333333333333333,0.08,0.10526315789473684,30,0.7702262751525749,0.4485833709810293,0.26865671641791045,0.30974477958236657
0.1,0.7331786542923434,0.7568921250366555,0.7331786542923434,0.5073208684033848,0.7380995384145335,0.058823529411764705,0.13333333333333333,0.08163265306122448,0.10638297872340424,30,0.7702262751525749,0.4478606200358699,0.26865671641791045,0.3074245939675174
0.11,0.7354988399071926,0.7534435272247618,0.7354988399071926,0.5089275578547915,0.7382049768582841,0.06451612903225806,0.13333333333333333,0.08695652173913043,0.10989010989010989,30,0.7702262751525749,0.4587227749500198,0.26865671641791045,0.3004640371229698
0.12,0.7354988399071926,0.75144641774541,0.7354988399071926,0.5027288950219666,0.7375992031870368,0.05084745762711865,0.1,0.06741573033707865,0.08379888268156425,30,0.7702262751525749,0.45240272154078165,0.26865671641791045,0.3004640371229698
0.13,0.7354988399071926,0.750606300387251,0.7354988399071926,0.5027389762810329,0.7371546518065958,0.05172413793103448,0.1,0.06818181818181818,0.08426966292134833,30,0.7702262751525749,0.45013056075546376,0.26865671641791045,0.3004640371229698
0.14,0.7378190255220418,0.7516044611706124,0.7378190255220418,0.5051924806379952,0.7390856700666728,0.05357142857142857,0.1,0.06976744186046512,0.08522727272727273,30,0.7702262751525749,0.4493854650161593,0.26865671641791045,0.29814385150812067
0.15,0.740139211136891,0.7525895111310906,0.740139211136891,0.5076554075050981,0.7410039718953736,0.05555555555555555,0.1,0.07142857142857142,0.08620689655172416,30,0.7702262751525749,0.44862890695938173,0.26865671641791045,0.29582366589327147
0.16,0.740139211136891,0.7515306572012662,0.740139211136891,0.507530488983719,0.740632651875139,0.05660377358490566,0.1,0.07228915662650602,0.08670520231213873,30,0.7702262751525749,0.4517383589502597,0.26865671641791045,0.29466357308584684
0.17,0.740139211136891,0.7504835887039246,0.740139211136891,0.5074142444026092,0.7402636968654698,0.057692307692307696,0.1,0.07317073170731707,0.0872093023255814,30,0.7702262751525749,0.45487191374970015,0.26865671641791045,0.29350348027842227
0.18,0.7412993039443155,0.7509804393029612,0.7412993039443155,0.5086619362187443,0.7412175547933866,0.058823529411764705,0.1,0.07407407407407407,0.08771929824561403,30,0.7702262751525749,0.45451056602541073,0.26865671641791045,0.2923433874709977
