epoch,train_Loss,val_Loss,train_Objective_Loss,val_Objective_Loss,train_CE_Loss,val_CE_Loss,train_Aux_Loss,val_Aux_Loss,val_LossGap,train_Accuracy,val_Accuracy,train_Macro_F1,val_Macro_F1,train_Class0_Precision,val_Class0_Precision,train_Class0_Recall,val_Class0_Recall,train_Class0_F1,val_Class0_F1,train_Class0_F2,val_Class0_F2,train_ChgAcc,val_ChgAcc,train_Ordinal_MAE,val_Ordinal_MAE,train_AUC,val_AUC,train_QWK,val_QWK,train_PersistenceAcc,val_PersistenceAcc,Learning_Rate,context_mask_prob,val_MetricScore,val_CheckpointScore,val_BalancedEligible,checkpoint_event
1,0.3375488519668579,0.3348693251609802,0.41058555245399475,0.4077762961387634,0.3375488519668579,0.3348693251609802,0.0,0.0,0.0,0.9205506717531929,0.9222737819025522,0.8297846298075194,0.8385356600694757,0.6334841628959276,0.6285714285714286,0.6763285024154589,0.7333333333333333,0.6542056074766355,0.676923076923077,0.667302192564347,0.7096774193548386,0.0,0.0,0.08011278819041301,0.07888631090487239,0.9052710245660212,0.919423621045064,0.8686628450344477,0.8710992241173052,0.9205506717531929,0.9222737819025522,0.001,0.2,0.8349061451563148,0.7752295582905677,True,metric+loss+balanced
2,0.3095562756061554,0.305705189704895,0.3933379054069519,0.3894341289997101,0.3095562756061554,0.305705189704895,0.0,0.0,0.0,0.9205506717531929,0.9222737819025522,0.8297846298075194,0.8385356600694757,0.6334841628959276,0.6285714285714286,0.6763285024154589,0.7333333333333333,0.6542056074766355,0.676923076923077,0.667302192564347,0.7096774193548386,0.0,0.0,0.08011278819041301,0.07888631090487239,0.9286506111190702,0.9320105006804565,0.8686628450344477,0.8710992241173052,0.9205506717531929,0.9222737819025522,0.001,0.1925,0.8349061451563148,0.7810623853817847,True,loss+balanced
3,0.29458481073379517,0.2899631857872009,0.388579785823822,0.38400158286094666,0.29458481073379517,0.2899631857872009,0.0,0.0,0.0,0.9205506717531929,0.9222737819025522,0.8297846298075194,0.8385356600694757,0.6334841628959276,0.6285714285714286,0.6763285024154589,0.7333333333333333,0.6542056074766355,0.676923076923077,0.667302192564347,0.7096774193548386,0.0,0.0,0.08011278819041301,0.07888631090487239,0.939050986376234,0.9415154820365353,0.8686628450344477,0.8710992241173052,0.9205506717531929,0.9222737819025522,0.001,0.185,0.8349061451563148,0.7842107861653236,True,loss+balanced
4,0.28682976961135864,0.281825453042984,0.3902958035469055,0.3854353427886963,0.28682976961135864,0.281825453042984,0.0,0.0,0.0,0.92021894178139,0.919953596287703,0.8275288551387612,0.8237183736364129,0.6301369863013698,0.6060606060606061,0.6666666666666666,0.6666666666666666,0.647887323943662,0.6349206349206349,0.659025787965616,0.65359477124183,0.0,0.0,0.08044451816221596,0.08236658932714618,0.9443323300258406,0.9472936866035487,0.8679715243212174,0.860703527982108,0.9205506717531929,0.9222737819025522,0.001,0.17750000000000002,0.824690671991405,0.7792721118453082,True,loss+balanced
5,0.28209978342056274,0.2770840525627136,0.3937150239944458,0.388918936252594,0.28209978342056274,0.2770840525627136,0.0,0.0,0.0,0.9200530767954884,0.9222737819025522,0.824031132952841,0.8280063378156045,0.6467661691542289,0.6551724137931034,0.6280193236714976,0.6333333333333333,0.6372549019607843,0.6440677966101694,0.6316812439261418,0.6375838926174495,0.014613778705636743,0.04477611940298507,0.08110797810582186,0.07888631090487239,0.9476108458031333,0.9498503495714261,0.8637934106467514,0.8678713135789925,0.9205506717531929,0.9222737819025522,0.001,0.17,0.8283984796465911,0.7843996632611713,True,loss+balanced
6,0.27805095911026,0.2732565104961395,0.39791733026504517,0.39336565136909485,0.27805095911026,0.2732565104961395,0.0019997635390609503,0.001953236060217023,0.0,0.9210482667108973,0.9245939675174014,0.8217754942042569,0.8329533962850103,0.6857142857142857,0.72,0.5797101449275363,0.6,0.6282722513089005,0.6545454545454545,0.5982053838484547,0.6206896551724137,0.04801670146137787,0.08955223880597014,0.07994692320451152,0.0765661252900232,0.9501525516609505,0.9518642160446472,0.8641208307157329,0.8694672331934832,0.9205506717531929,0.9222737819025522,0.001,0.1625,0.8311900763110031,0.7885469721629284,True,loss+balanced
7,0.27420884370803833,0.2697506546974182,0.3997877836227417,0.39558982849121094,0.27420884370803833,0.2697506546974182,0.003992267418652773,0.0039041826967149973,0.0,0.9213799966827003,0.9234338747099768,0.8204721220335145,0.8241267069714738,0.703030303030303,0.7083333333333334,0.5603864734299517,0.5666666666666667,0.6236559139784946,0.6296296296296297,0.5840886203423967,0.5902777777777778,0.060542797494780795,0.08955223880597014,0.0794493282468071,0.0777262180974478,0.9521965628335711,0.9539581785863334,0.864680197846702,0.8669830435696618,0.9205506717531929,0.9222737819025522,0.001,0.155,0.8261395308717867,0.7861540806411978,True,loss+balanced
8,0.2707042992115021,0.26678889989852905,0.39958059787750244,0.39594435691833496,0.2707042992115021,0.26678889989852905,0.0059241000562906265,0.005805788096040487,0.0,0.9203848067672914,0.9222737819025522,0.8115004634558559,0.819654327862267,0.6832298136645962,0.68,0.5314009661835749,0.5666666666666667,0.5978260869565217,0.6181818181818182,0.5561172901921132,0.5862068965517241,0.060542797494780795,0.07462686567164178,0.08044451816221596,0.07888631090487239,0.9539923268013376,0.955439988389578,0.8626996524331269,0.8656280341697621,0.9205506717531929,0.9222737819025522,0.001,0.1475,0.823581624446733,0.7846154238885663,True,loss+balanced
9,0.2676239311695099,0.2642897367477417,0.39799556136131287,0.3949577510356903,0.2676239311695099,0.2642897367477417,0.0077697341330349445,0.0076325321570038795,0.0,0.9207165367390944,0.9211136890951276,0.8186852608677723,0.8154295357595388,0.6781609195402298,0.6538461538461539,0.5700483091787439,0.5666666666666667,0.6194225721784777,0.6071428571428571,0.5888223552894212,0.5821917808219177,0.05219206680584551,0.07462686567164178,0.07994692320451152,0.08004640371229699,0.9555734028254533,0.9569977418733401,0.8651943996772197,0.8643939360367985,0.9205506717531929,0.9222737819025522,0.001,0.14,0.8218184586187092,0.783620228889427,True,loss+balanced
10,0.2650175988674164,0.262297123670578,0.395434707403183,0.39302322268486023,0.2650175988674164,0.262297123670578,0.00951323565095663,0.009370625019073486,0.0,0.9210482667108973,0.919953596287703,0.8248966879562832,0.8156378835357033,0.6702127659574468,0.6206896551724138,0.6086956521739131,0.6,0.6379746835443038,0.6101694915254238,0.6200787401574804,0.6040268456375838,0.03966597077244259,0.04477611940298507,0.07961519323270858,0.08120649651972157,0.9571130393440729,0.9586601344575492,0.8668795277625551,0.8642044460003501,0.9205506717531929,0.9222737819025522,0.001,0.1325,0.8217477787341663,0.7828645975704589,True,loss+balanced
