class0_threshold,candidate,Accuracy,Precision_Weighted,Recall_Weighted,Macro_F1,Weighted_F1,Class0_Precision,Class0_Recall,Class0_F1,Class0_F2,Class0_Support,AUC,QWK,ChgAcc,Ordinal_MAE
,raw_argmax,0.9222737819025522,0.9201455387584889,0.9222737819025522,0.7880053830168672,0.9203033083500545,0.65,0.43333333333333335,0.52,0.46428571428571436,30,0.9743511083519812,0.8687068922402622,0.16417910447761194,0.0777262180974478
0.05,class0_threshold,0.8874709976798144,0.9239991431204788,0.8874709976798144,0.7610031181308488,0.8979330221275648,0.3411764705882353,0.9666666666666667,0.5043478260869565,0.7073170731707317,30,0.9743511083519812,0.8288651753110929,0.14925373134328357,0.11832946635730858
0.06,class0_threshold,0.894431554524362,0.9256549752135383,0.894431554524362,0.7748323700815959,0.9033576221560878,0.3670886075949367,0.9666666666666667,0.5321100917431193,0.7286432160804021,30,0.9743511083519812,0.8346818550254748,0.14925373134328357,0.11136890951276102
0.07,class0_threshold,0.8967517401392111,0.9262297025397564,0.8967517401392111,0.7796491992575092,0.905166950174601,0.37662337662337664,0.9666666666666667,0.5420560747663551,0.7360406091370558,30,0.9743511083519812,0.8366746099414821,0.14925373134328357,0.10904872389791183
0.08,class0_threshold,0.9048723897911833,0.9282879644679513,0.9048723897911833,0.7970483460559796,0.9114160216786809,0.4142857142857143,0.9666666666666667,0.58,0.7631578947368421,30,0.9743511083519812,0.8486499006291,0.14925373134328357,0.09976798143851508
0.09,class0_threshold,0.9060324825986079,0.9264658299191753,0.9060324825986079,0.7985353535353535,0.9118983336848765,0.42424242424242425,0.9333333333333333,0.5833333333333334,0.7526881720430106,30,0.9743511083519812,0.8529969075915595,0.16417910447761194,0.09744779582366589
0.1,class0_threshold,0.9071925754060325,0.9268139648565614,0.9071925754060325,0.8013053427519651,0.9128167828990938,0.4307692307692308,0.9333333333333333,0.5894736842105263,0.7567567567567568,30,0.9743511083519812,0.8541033550256923,0.16417910447761194,0.0962877030162413
0.11,class0_threshold,0.9060324825986079,0.9253251329449422,0.9060324825986079,0.7957660912618761,0.9117708763148261,0.421875,0.9,0.574468085106383,0.7336956521739131,30,0.9743511083519812,0.8519273493506792,0.14925373134328357,0.09744779582366589
0.12,class0_threshold,0.9037122969837587,0.9223455915350344,0.9037122969837587,0.7843674403399804,0.9096509102879259,0.4032258064516129,0.8333333333333334,0.5434782608695652,0.6868131868131868,30,0.9743511083519812,0.8475274936553103,0.13432835820895522,0.09976798143851508
0.13,class0_threshold,0.9060324825986079,0.92307725902054,0.9060324825986079,0.7898293799417395,0.911470754364469,0.4166666666666667,0.8333333333333334,0.5555555555555556,0.6944444444444445,30,0.9743511083519812,0.8497408523594443,0.13432835820895522,0.09744779582366589
0.14,class0_threshold,0.9083526682134571,0.9238370638994186,0.9083526682134571,0.795463591135233,0.9132992598702333,0.43103448275862066,0.8333333333333334,0.5681818181818182,0.7022471910112359,30,0.9743511083519812,0.8519871374605851,0.13432835820895522,0.0951276102088167
0.15,class0_threshold,0.9083526682134571,0.9227480648193592,0.9083526682134571,0.7922918647877583,0.9131209776111214,0.42857142857142855,0.8,0.5581395348837209,0.6818181818181819,30,0.9743511083519812,0.850877951734279,0.13432835820895522,0.0951276102088167
0.16,class0_threshold,0.9095127610208816,0.9220818658315816,0.9095127610208816,0.7918615682693807,0.9138393277016356,0.4339622641509434,0.7666666666666667,0.5542168674698795,0.6647398843930636,30,0.9743511083519812,0.8508964820683704,0.11940298507462686,0.09396751740139211
0.17,class0_threshold,0.9095127610208816,0.9220818658315816,0.9095127610208816,0.7918615682693807,0.9138393277016356,0.4339622641509434,0.7666666666666667,0.5542168674698795,0.6647398843930636,30,0.9743511083519812,0.8508964820683704,0.11940298507462686,0.09396751740139211
