checkpoint,epoch,val_accuracy,val_ce_loss,train_ce_loss,val_loss_gap,metric_score,checkpoint_score,accuracy_floor
metric,1,0.9222737819025522,0.3348693251609802,0.3375488519668579,0.0,0.8349061451563148,0.7752295582905677,
loss,99,0.9222737819025522,0.2394348531961441,0.223041370511055,0.01639348268508911,0.813222057026837,0.7847581848948917,
balanced_loss,99,0.9222737819025522,0.2394348531961441,0.223041370511055,0.01639348268508911,0.813222057026837,0.7847581848948917,0.9192737819025522
selected:balanced_loss,99,0.9222737819025522,0.2394348531961441,0.223041370511055,0.01639348268508911,0.813222057026837,0.7847581848948917,0.9192737819025522
