split,combination_of_classifiers,classifier_1,classifier_2,n_classifiers,Nf_all_wrong_table8,Nt_all_correct_table8,Nci_disagreement_sum_table8,rho_n_table8,N_TT_both_correct,N_TF_tlstm_correct_gat_wrong,N_FT_tlstm_wrong_gat_correct,N_FF_both_wrong,rho_eq10,tlstm_accuracy,gat_accuracy,agreement_rate,disagreement_rate,ideal_dcs_upper_bound_acc,oracle_gain_over_best_single,total_rows
val,TLSTM & GAT,TLSTM,GAT,2,33,761,68,0.4925373134328358,761,33,35,33,0.4925373134328358,0.9211136890951276,0.9234338747099768,0.919953596287703,0.08004640371229699,0.9617169373549884,0.03828306264501158,862
test,TLSTM & GAT,TLSTM,GAT,2,82,1544,97,0.6283524904214559,1544,50,47,82,0.6283524904214559,0.9251305861868834,0.9233894370284388,0.942542077771329,0.057457922228670924,0.9524085896691816,0.027278003482298252,1723
