sample_rank,sample_index,ticker,y_true,y_pred,pred_prob,target_class_explained,feature_flat,feature_value,shap_value,abs_shap_value,last_y_context,sector_id,ticker_id_context,company_id_context
5,719,HII,1,1,0.7319692969322205,1,t-2__delta_days,1.3909927606582642,0.0632789559632275,0.0632789559632275,1,1,355,704
5,719,HII,1,1,0.7319692969322205,1,t-4__roa,-1.0303043127059937,0.033054592465475374,0.033054592465475374,1,1,355,704
5,719,HII,1,1,0.7319692969322205,1,t-7__delta_days_delta,0.0,0.03030328148325679,0.03030328148325679,1,1,355,704
5,719,HII,1,1,0.7319692969322205,1,t-0__ebit_margin_delta,0.0,0.028690749646646516,0.028690749646646516,1,1,355,704
5,719,HII,1,1,0.7319692969322205,1,t-5__current_ratio_delta,0.0,0.022480210259416496,0.022480210259416496,1,1,355,704
5,719,HII,1,1,0.7319692969322205,1,t-3__pretax_profit_margin,-0.657468318939209,0.020604434502311853,0.020604434502311853,1,1,355,704
5,719,HII,1,1,0.7319692969322205,1,t-1__gross_profit_margin_delta,0.0,0.0137321098687129,0.0137321098687129,1,1,355,704
5,719,HII,1,1,0.7319692969322205,1,t-6__operating_profit_margin,-0.7450722455978394,-0.007560009298880005,0.007560009298880005,1,1,355,704
1,703,HBI,2,1,0.7206429839134216,1,t-3__delta_days_delta,2.458808183670044,-0.020931047552227168,0.020931047552227168,1,5,346,664
1,703,HBI,2,1,0.7206429839134216,1,t-2__delta_days_delta,-0.4906868636608124,0.01725568415836852,0.01725568415836852,1,5,346,664
1,703,HBI,2,1,0.7206429839134216,1,t-2__gross_profit_margin_delta,0.0,0.010480031457571747,0.010480031457571747,1,5,346,664
1,703,HBI,2,1,0.7206429839134216,1,t-1__current_ratio_delta,-0.4891200661659241,-0.008282633089799015,0.008282633089799015,1,5,346,664
1,703,HBI,2,1,0.7206429839134216,1,t-0__roa,0.5004264116287231,-0.00809913385536649,0.00809913385536649,1,5,346,664
1,703,HBI,2,1,0.7206429839134216,1,t-4__operating_cashflow_ps_delta,0.0,-0.0019082381146831781,0.0019082381146831781,1,5,346,664
1,703,HBI,2,1,0.7206429839134216,1,t-3__operating_profit_margin_delta,0.0,-0.0019002170273458574,0.0019002170273458574,1,5,346,664
1,703,HBI,2,1,0.7206429839134216,1,t-3__roa,0.5491964221000671,-0.0018111776762870352,0.0018111776762870352,1,5,346,664
6,1345,SBS,1,1,0.7514486312866211,1,t-7__free_cashflow_ps_delta,-0.3066122531890869,-0.013000482940794587,0.013000482940794587,1,11,664,368
6,1345,SBS,1,1,0.7514486312866211,1,t-7__current_ratio,-0.8687615990638733,-0.012164781753910508,0.012164781753910508,1,11,664,368
6,1345,SBS,1,1,0.7514486312866211,1,t-5__operating_profit_margin,0.9299939870834351,-0.010477447516621967,0.010477447516621967,1,11,664,368
