trial_id,epochs,composite_score,val_loss,val_accuracy,f1_weighted,f1_macro,qwk,hidden_size,d_model,n_heads,n_layers,dropout,pre_lstm_dropout,batch_size,lr,max_lr,weight_decay,focal_weight,context_dropout_prob,train_input_noise_std,train_channel_dropout_prob,train_timestep_dropout_prob,loss_gap_penalty_weight,train_loss,loss_gap,chgacc,persistence_rate,elapsed_seconds,search_version,train_monitor_loss,train_objective_loss,aligned_score,focal_gamma,ordinal_alpha,label_smoothing,sector_emb_dim,ticker_emb_dim,company_emb_dim,max_relative_position,focal_alpha,warmup_epochs,ramp_epochs
trial_0000,5,0.6231762806470666,0.3179619163274765,0.9095127610208816,0.8933178967728971,0.6090089977401413,0.7786493998227665,64,64,4,1,0.38,0.2,64,0.00025,0.0004,0.0005,0.15,0.2,0.003,0.01,0.01,0.2,0.30900615143279236,0.008955764894684137,0.23880597014925373,0.9466357308584686,11.763976812362671,tlstm_primo_v2_monitor_aligned,0.30900615143279236,0.6072914469987154,0.6231762806470666,1.0,0.03,0.05,8,4,4,8,0.15,5,15
trial_0001,6,0.5752375654820525,0.4070391058921814,0.8364269141531323,0.8162374251186751,0.5463781038069763,0.6323305121987788,63,63,1,1,0.3821059511752966,0.3472942428328025,64,0.00015491650806279301,0.0001976985661551147,0.0006022260365976512,0.15,0.19991807508302217,0.004373252396041037,0.022371148083705272,0.003899988508950786,0.1911510739610773,0.41562580689787865,0.0,0.3582089552238806,0.8549883990719258,7.239538908004761,tlstm_primo_v2_monitor_aligned,0.41562580689787865,0.678815803076658,0.5752375654820525,1.0326325610750609,0.03,0.04791386425245781,8,4,4,8,0.15,5,15
trial_0002,7,0.6191557662806753,0.30706905680043356,0.9106728538283063,0.8948963772145117,0.6096125146242347,0.8012610391042413,64,63,1,1,0.38,0.2680501033035984,64,0.00030000000000000014,0.0005999999999999997,0.0005,0.15,0.18844528523372847,0.0025276758726894386,0.0,0.018653401652772586,0.19262107992771269,0.2747848841051261,0.03228417269530748,0.208955223880597,0.9535962877030162,8.36640477180481,tlstm_primo_v2_monitor_aligned,0.2747848841051261,0.5203033878601023,0.6191557662806753,1.0226498719812216,0.03,0.03701854332006159,8,4,4,8,0.15,5,15
trial_0003,8,0.6083005701348734,0.3084797454731805,0.9083526682134571,0.8927397321068316,0.6083128560964433,0.7907463299147609,64,58,2,1,0.38,0.34091436724298474,64,0.00030000000000000014,0.0004316386302199426,0.0005,0.15,0.21469145716940352,0.0010945602798890757,0.016497690420303853,0.011785285417387725,0.23432441041122942,0.2889057043939829,0.019574041079197635,0.14925373134328357,0.9593967517401392,9.113301038742065,tlstm_primo_v2_monitor_aligned,0.2889057043939829,0.5553143192470694,0.6083005701348734,1.0237232452246317,0.03,0.04776359186203761,8,4,4,8,0.15,5,15
trial_0004,9,0.6248162736958586,0.30145033981118885,0.9129930394431555,0.8988132468394642,0.6325563174274569,0.8065934723427169,60,59,1,1,0.3842655499440304,0.2326804987523857,64,8.162364571625407e-05,0.0005999999999999997,0.0005,0.15,0.19252729429578383,0.005558943701442931,0.011569696547780594,0.009310781677426572,0.23078703734956899,0.2689336861173312,0.032516653693857644,0.208955223880597,0.9559164733178654,10.346543073654175,tlstm_primo_v2_monitor_aligned,0.2689336861173312,0.557296456631135,0.6248162736958586,0.9410101569246856,0.022063126707218685,0.051055772728073816,8,4,4,8,0.15,5,15
trial_0005,10,0.6396799028741362,0.30049494174974306,0.9164733178654292,0.9073213844175355,0.7073969522880179,0.8164458129163954,63,56,1,1,0.3817708066403044,0.38290951794810874,32,5.54335132229782e-05,0.0005999999999999997,0.0005028362696127776,0.15,0.18617844449560292,0.00755091444897844,0.0421860507551257,0.005388402963466969,0.229611754384094,0.2469008071348071,0.05359413461493595,0.208955223880597,0.9593967517401392,15.850541114807129,tlstm_primo_v2_monitor_aligned,0.2469008071348071,0.5269247701607253,0.6396799028741362,1.0180219655922043,0.02800878736787351,0.05833437186986192,8,4,4,8,0.15,5,15
trial_0006,11,0.6364032454841846,0.29921014979481697,0.9164733178654292,0.9061986908012359,0.691238852390331,0.8092263807603404,64,58,1,1,0.38,0.27695346233490004,32,3.456663091153316e-05,0.0004732396646115219,0.0005016583197631513,0.15,0.2005679258369361,0.007579223205216646,0.02678811876780864,0.001361505326726172,0.2612614468679519,0.2587518797566493,0.040458270038167654,0.208955223880597,0.9593967517401392,17.820744276046753,tlstm_primo_v2_monitor_aligned,0.2587518797566493,0.5402543502276024,0.6364032454841846,1.0941836205347948,0.025603879688268084,0.06,8,4,4,8,0.15,5,15
trial_0007,12,0.6128284978827244,0.29887288170201437,0.9106728538283063,0.8948727238730501,0.6101685455966068,0.788299802524083,64,53,1,1,0.3852935217061772,0.2357303761060263,64,0.00013364419899157212,0.0004049062843192422,0.0005,0.15,0.1731449060409281,0.00821075073942848,0.03129949238236299,0.01335518775669027,0.22975489140820354,0.27534294687211514,0.023529934829899235,0.1791044776119403,0.95707656612529,13.138744592666626,tlstm_primo_v2_monitor_aligned,0.27534294687211514,0.548245620344662,0.6128284978827244,1.0997290506132393,0.02636965572649928,0.059214358995460015,8,4,4,8,0.15,5,15
trial_0008,13,0.6145474069037453,0.2938590906560421,0.9095127610208816,0.8954196866833177,0.6305405377741089,0.7873493045207398,64,50,1,1,0.3827402436023467,0.37560191984080815,128,6.797939326000618e-05,0.0005698193504930451,0.0005,0.15,0.1947882594552245,0.0053108279081424134,0.04001167109871098,0.011955373889065023,0.19570027625433833,0.2786932401359081,0.015165850520133972,0.14925373134328357,0.9605568445475638,10.222774505615234,tlstm_primo_v2_monitor_aligned,0.2786932401359081,0.578599847948704,0.6145474069037453,1.0200197197910443,0.020358008704559585,0.06,8,4,4,8,0.15,5,15
trial_0009,14,0.6405346403263824,0.29142345913818907,0.91415313225058,0.9059330938609355,0.7209723092580465,0.8128491483828788,63,49,1,1,0.38,0.33433739192765666,64,2.577451610526807e-05,0.0005999999999999997,0.0005,0.15,0.1815283300128814,0.01225230178876539,0.04282373014166028,0.00852315663210101,0.2356894952448802,0.24637462384998798,0.04504883528820108,0.19402985074626866,0.9582366589327146,15.03084683418274,tlstm_primo_v2_monitor_aligned,0.24637462384998798,0.5092021059688359,0.6405346403263824,1.0316146963488684,0.02837207690060806,0.047023447097948895,8,4,4,8,0.15,5,15
