aggregation,members,weights,selection_score,val_accuracy,val_f1_macro,val_f1_weighted,val_qwk
weighted_all,"1,2,3","0.088802,0.137970,0.773227",0.8995023974988493,0.9234338747099768,0.8260026959618241,0.9240012017881113,0.8775631423996695
member_3,3,1.000000,0.8984089294926185,0.9222737819025522,0.8252808155262805,0.9229766919504401,0.8758539154360396
weighted_topk,"3,2","0.848584,0.151416",0.8983529929300926,0.9222737819025522,0.8251636816342698,0.9228855381004964,0.8757567022196598
uniform_topk,"3,2","0.500000,0.500000",0.8950983040641731,0.9211136890951276,0.815451765950406,0.9221119768982275,0.8697879655672761
uniform_all,"1,2,3","0.333333,0.333333,0.333333",0.8944101805002882,0.919953596287703,0.8142505647492048,0.9209414328042494,0.8734559101991839
member_2,2,1.000000,0.8932383248334361,0.9211136890951276,0.8105700064893465,0.9225245639497933,0.8599202245531098
member_1,1,1.000000,0.891916445936993,0.9187935034802784,0.8052423999544501,0.9203775780691228,0.8731649486269696
