member,seed,source,best_epoch,selection_score,val_accuracy,val_f1_macro,val_f1_weighted,val_qwk
1,42,current_best_checkpoint,22,0.891916445936993,0.9187935034802784,0.8052423999544501,0.9203775780691228,0.8731649486269696
2,43,retrained_seed_member,35,0.8932383248334361,0.9211136890951276,0.8105700064893465,0.9225245639497933,0.8599202245531098
3,44,retrained_seed_member,38,0.8984089294926185,0.9222737819025522,0.8252808155262805,0.9229766919504401,0.8758539154360396
