train_loss,train_eval_loss,train_monitor_loss,train_optim_loss,train_objective_loss,train_NLL,train_Objective,val_loss,val_monitor_loss,val_NLL,val_Objective,train_acc,val_acc,train_f1,val_f1,train_f1_weighted,val_f1_weighted,train_qwk,val_qwk,train_auc,val_auc,loss_gap,generalization_score,checkpoint_score,train_chgacc,val_chgacc,train_persistence_rate,val_persistence_rate,lr,epoch
0.7096384936658136,0.7096384936658136,0.7096384936658136,0.9731851465945697,0.7096384936658136,0.7096384936658136,0.7096384936658136,0.758290950898771,0.758290950898771,0.758290950898771,0.758290950898771,0.7417067032715625,0.6809744779582366,0.7219901145662001,0.44557734204793026,0.7226914221223983,0.6590055047541059,0.7292999472486097,0.38324203764831843,0.9153636562673187,0.8435349957534092,0.04865245723295741,0.3069405966796022,0.5602416466663648,0.38413361169102295,0.43283582089552236,0.7427362159688858,0.6809744779582366,5.6242661106559356e-05,1
0.4794238672530564,0.4794238672530564,0.4794238672530564,0.6504753298350494,0.4794238672530564,0.4794238672530564,0.4794238672530564,0.6095992437115422,0.6095992437115422,0.6095992437115422,0.6095992437115422,0.8011896591169069,0.7389791183294664,0.8021153846718398,0.4999941516784183,0.7944182204092489,0.726457631975305,0.7896391462220629,0.4574020763917448,0.935256541549981,0.865924684304701,0.13017537645848576,0.40316009217953297,0.6280958168876303,0.4384133611691023,0.47761194029850745,0.7991306337222603,0.7354988399071926,5.6242661106559356e-05,2
0.421694963878143,0.421694963878143,0.421694963878143,0.49571426191034107,0.421694963878143,0.421694963878143,0.421694963878143,0.554657056927681,0.554657056927681,0.554657056927681,0.554657056927681,0.8272706474490963,0.7610208816705336,0.831393030378501,0.49682970074560034,0.8231009376592662,0.7457440311883908,0.8209270874836843,0.4934026682033762,0.9504392561308623,0.8951095015029085,0.132962093049538,0.43232276580291495,0.6506120543160511,0.4551148225469729,0.4925373134328358,0.8253260123541524,0.7575406032482599,5.6242661106559356e-05,3
0.3762510652657272,0.3762510652657272,0.3762510652657272,0.4399354916310658,0.3762510652657272,0.3762510652657272,0.3762510652657272,0.49758982106491373,0.49758982106491373,0.49758982106491373,0.49758982106491373,0.8446579730038892,0.7877030162412993,0.8498360827163131,0.5235110077786389,0.8420106664333475,0.7736487810784098,0.8399704036701787,0.5350373321472846,0.9613969955206143,0.9178309551754752,0.12133875579918652,0.4739060767707883,0.6769788080311858,0.4175365344467641,0.43283582089552236,0.8476321207961565,0.7935034802784223,5.6242661106559356e-05,4
0.33982666486867424,0.33982666486867424,0.33982666486867424,0.41162410721074055,0.33982666486867424,0.33982666486867424,0.33982666486867424,0.4482022234135204,0.4482022234135204,0.4482022234135204,0.4482022234135204,0.8620452985586822,0.820185614849188,0.8666919401910101,0.5519370460048426,0.8602362411422839,0.8046659325966417,0.8565884041623085,0.6012872495374562,0.9681898758002075,0.931683941246428,0.10837555854484615,0.5199402654827482,0.7123878187490447,0.3987473903966597,0.417910447761194,0.8681079844429193,0.8283062645011601,5.6242661106559356e-05,5
0.32047917844131113,0.32047917844131113,0.32047917844131113,0.3991877705837688,0.32047917844131113,0.32047917844131113,0.32047917844131113,0.4259364196547755,0.4259364196547755,0.4259364196547755,0.4259364196547755,0.8726835964310227,0.8294663573085846,0.8772279605076165,0.5436087591079769,0.8714199966887872,0.812730146909754,0.8671440816213676,0.6186584286849721,0.9711345621058703,0.9368916061733857,0.10545724121346439,0.5308334127082329,0.7199682782742468,0.3903966597077244,0.40298507462686567,0.8800045756119881,0.8422273781902552,5.6242661106559356e-05,6
0.3032657236887319,0.3032657236887319,0.3032657236887319,0.3801989940124272,0.3032657236887319,0.3032657236887319,0.3032657236887319,0.40564783110662744,0.40564783110662744,0.40564783110662744,0.40564783110662744,0.8828643331045527,0.8503480278422274,0.8864152615399887,0.5615717301295304,0.8820111291515018,0.834742100643712,0.8767751586721353,0.6644407845485851,0.9730601864802534,0.9406441187964791,0.10238210741789555,0.5591042143924411,0.7416617225013613,0.348643006263048,0.373134328358209,0.8949897048730268,0.8677494199535963,5.6242661106559356e-05,7
0.29211042293629536,0.29211042293629536,0.29211042293629536,0.37256238642182665,0.29211042293629536,0.29211042293629536,0.29211042293629536,0.39451498814203123,0.39451498814203123,0.39451498814203123,0.39451498814203123,0.8870967741935484,0.851508120649652,0.890837210931226,0.5623720748321491,0.8863481632151734,0.8358182151736601,0.8815408818187344,0.6664403157595155,0.9748440497743451,0.9432416612165364,0.10240456520573588,0.5629614738511078,0.7415602538583492,0.3444676409185804,0.34328358208955223,0.8997940974605353,0.8735498839907193,5.6242661106559356e-05,8
0.2808578609909317,0.2808578609909317,0.2808578609909317,0.3584870662893692,0.2808578609909317,0.2808578609909317,0.2808578609909317,0.3848384842276573,0.3848384842276573,0.3848384842276573,0.3848384842276573,0.8936170212765957,0.8596287703016241,0.8970863811558513,0.5880889544044913,0.8931245929199627,0.8450184747213431,0.8890683826631808,0.6874671814285642,0.9757583487679528,0.9441941356647288,0.10398062323672563,0.5794232789298869,0.7526365906325835,0.34237995824634654,0.3283582089552239,0.9073438572409059,0.8839907192575406,5.6242661106559356e-05,9
0.27686095202276245,0.27686095202276245,0.27686095202276245,0.363483642139574,0.27686095202276245,0.27686095202276245,0.27686095202276245,0.38198544333378476,0.38198544333378476,0.38198544333378476,0.38198544333378476,0.894646533973919,0.8561484918793504,0.8978784455663672,0.5843560133071118,0.8940102464673311,0.8407717534120785,0.8907500664700172,0.6796890692162455,0.976669861523788,0.9453764815016178,0.1051244913110223,0.5757918712590819,0.7497192840529231,0.3465553235908142,0.34328358208955223,0.908144589338824,0.8781902552204176,5.6242661106559356e-05,10
0.27732068669138243,0.27732068669138243,0.27732068669138243,0.3521129877381299,0.27732068669138243,0.27732068669138243,0.27732068669138243,0.38430913344577505,0.38430913344577505,0.38430913344577505,0.38430913344577505,0.8931594600777853,0.8584686774941995,0.8968236009453192,0.5862893697233645,0.892504761521755,0.8428852706522271,0.893481811840363,0.6959650112866818,0.9767480651192012,0.9451339886641444,0.10698844675439262,0.5796227153354128,0.7533751449886746,0.35908141962421714,0.34328358208955223,0.9056280027453671,0.8805104408352669,5.6242661106559356e-05,11
0.26934031846068024,0.26934031846068024,0.26934031846068024,0.3598152245020997,0.26934031846068024,0.26934031846068024,0.26934031846068024,0.37508629731557985,0.37508629731557985,0.37508629731557985,0.37508629731557985,0.897963852665294,0.8596287703016241,0.9011891790977932,0.5870895646176545,0.8973532965516609,0.8441648465111016,0.8977690783592555,0.7049223241343898,0.977776512174384,0.947160902465113,0.10574597885489961,0.58435657148673,0.7558407596386824,0.3569937369519833,0.34328358208955223,0.9107755662319835,0.8816705336426914,5.6242661106559356e-05,12
0.2639979753894959,0.2639979753894959,0.2639979753894959,0.34817400881952615,0.2639979753894959,0.2639979753894959,0.2639979753894959,0.3688913869361083,0.3688913869361083,0.3688913869361083,0.3688913869361083,0.9027682452528025,0.8689095127610209,0.9051865931635089,0.5947925458392964,0.9023261140985819,0.8551599587950156,0.902135669937094,0.7264089186883815,0.9781330090160893,0.947870473362341,0.10489341154661241,0.5969650981120347,0.7664583605407228,0.3465553235908142,0.34328358208955223,0.916723861816518,0.8909512761020881,5.6242661106559356e-05,13
0.2645945737077209,0.2645945737077209,0.2645945737077209,0.34382378546534664,0.2645945737077209,0.2645945737077209,0.2645945737077209,0.3734002113342285,0.3734002113342285,0.3734002113342285,0.3734002113342285,0.8984214138641043,0.8584686774941995,0.9019127553506974,0.5866569668037168,0.8977803306887883,0.84264854892864,0.899016726933995,0.7013197230048611,0.9787901434537226,0.9484479099455071,0.10880563762650763,0.5832763044684556,0.75456465823983,0.3653444676409186,0.34328358208955223,0.9102036147334706,0.8805104408352669,5.6242661106559356e-05,14
0.25607380455821704,0.25607380455821704,0.25607380455821704,0.3421904784593269,0.25607380455821704,0.25607380455821704,0.25607380455821704,0.3637619889168828,0.3637619889168828,0.3637619889168828,0.3637619889168828,0.9027682452528025,0.87122969837587,0.9059470870821711,0.6168363788145572,0.9023404141493844,0.8575502506312985,0.9040775286401425,0.7278658622141153,0.9792924742381685,0.9490367993018867,0.10768818435866573,0.6045544866241719,0.7729627174481752,0.35908141962421714,0.373134328358209,0.9156943491191947,0.888631090487239,5.6242661106559356e-05,15
0.254975318537445,0.254975318537445,0.254975318537445,0.33932403698019736,0.254975318537445,0.254975318537445,0.254975318537445,0.3631523109420582,0.3631523109420582,0.3631523109420582,0.3631523109420582,0.9027682452528025,0.8642691415313225,0.9060573505169365,0.6107915108356821,0.9022453743838058,0.8501421693586395,0.904210490901243,0.7141249183458118,0.9798116253875033,0.9498472320781919,0.1081769924046132,0.5971996246299014,0.764770437348952,0.36325678496868474,0.3582089552238806,0.9152367879203843,0.8839907192575406,5.6242661106559356e-05,16
0.2484023427272418,0.2484023427272418,0.2484023427272418,0.3265385288663589,0.2484023427272418,0.2484023427272418,0.2484023427272418,0.3588408375227893,0.3588408375227893,0.3588408375227893,0.3588408375227893,0.9074582475406086,0.8689095127610209,0.9108085723847162,0.6148304896293681,0.9071047158534419,0.8550879646706802,0.9093705463062135,0.7232939099381064,0.9803343768237872,0.9505701072361489,0.11043849479554749,0.603289384461963,0.7698742036618436,0.3653444676409186,0.3582089552238806,0.920041180507893,0.888631090487239,5.6242661106559356e-05,17
0.24229823413000562,0.24229823413000562,0.24229823413000562,0.3292467040247726,0.24229823413000562,0.24229823413000562,0.24229823413000562,0.3528460286281727,0.3528460286281727,0.3528460286281727,0.3528460286281727,0.9099748341340654,0.8735498839907193,0.913273222087715,0.6367501625432023,0.9097180630807947,0.8611840163720644,0.9107419067299611,0.7335792622133599,0.9811233808602267,0.951775724014126,0.1105477944981671,0.6145098039868984,0.7775488294749573,0.36116910229645094,0.3582089552238806,0.9230153283001602,0.8932714617169374,5.6242661106559356e-05,18
0.24195286535949803,0.24195286535949803,0.24195286535949803,0.3214876425527308,0.24195286535949803,0.24195286535949803,0.24195286535949803,0.3513844275364169,0.3513844275364169,0.3513844275364169,0.3513844275364169,0.9083733699382293,0.8735498839907193,0.9116271877105945,0.6367501625432023,0.9079939788038686,0.8611840163720644,0.9090966612597617,0.7335792622133599,0.981193595162312,0.9521224705019796,0.10943156217691888,0.6148752042598373,0.7785174319176048,0.3653444676409186,0.373134328358209,0.9207275223061084,0.8921113689095128,5.6242661106559356e-05,19
0.23248872530164416,0.23248872530164416,0.23248872530164416,0.3170851425260958,0.23248872530164416,0.23248872530164416,0.23248872530164416,0.340496133323069,0.340496133323069,0.340496133323069,0.340496133323069,0.9175245939144361,0.8839907192575406,0.9199945250304262,0.6456527591720923,0.9173805261508108,0.8721696822184397,0.9189686890557305,0.7539209309945933,0.9821411007958649,0.9544134249149114,0.10800740802142483,0.6287101823753398,0.7899778126685815,0.35073068893528186,0.373134328358209,0.9321665522763669,0.9025522041763341,5.6242661106559356e-05,20
0.22940681073830763,0.22940681073830763,0.22940681073830763,0.3113287567521316,0.22940681073830763,0.22940681073830763,0.22940681073830763,0.33833122681136485,0.33833122681136485,0.33833122681136485,0.33833122681136485,0.9176389842141386,0.8851508120649652,0.9199379287719847,0.6464656339599593,0.9174758448260744,0.8732578693254978,0.9191067828970552,0.755950488754669,0.9826343437965847,0.9552874994870874,0.10892441607305722,0.6303396554069391,0.7903307494509914,0.3444676409185804,0.3582089552238806,0.9329672843742851,0.9060324825986079,5.6242661106559356e-05,21
0.22717892088059777,0.22717892088059777,0.22717892088059777,0.30615542674042884,0.22717892088059777,0.22717892088059777,0.22717892088059777,0.3374500643048022,0.3374500643048022,0.3374500643048022,0.3374500643048022,0.9175245939144361,0.8805104408352669,0.9200838381054689,0.6425286440141399,0.9173584761663348,0.868389934100946,0.9190546238489637,0.7469297983718477,0.9830102346334205,0.9557357181125631,0.11027114342420441,0.6256361163643158,0.7846351421689606,0.3444676409185804,0.34328358208955223,0.9328528940745825,0.9025522041763341,5.6242661106559356e-05,22
0.22195469714579236,0.22195469714579236,0.22195469714579236,0.29746308849349506,0.22195469714579236,0.22195469714579236,0.22195469714579236,0.3329935465697889,0.3329935465697889,0.3329935465697889,0.3329935465697889,0.9212994738046214,0.8851508120649652,0.9233361961279033,0.6466313631772941,0.9212081620969302,0.8733822678787841,0.9220334812310782,0.7561709096322763,0.9836343647051612,0.9567145172676292,0.11103884942399656,0.6318124109297593,0.7906663632140549,0.36116910229645094,0.3582089552238806,0.9352550903683368,0.9060324825986079,5.6242661106559356e-05,23
0.2193353384903103,0.2193353384903103,0.2193353384903103,0.296985757312853,0.2193353384903103,0.2193353384903103,0.2193353384903103,0.33059862104279025,0.33059862104279025,0.33059862104279025,0.33059862104279025,0.9219858156028369,0.8816705336426914,0.9240599662528148,0.6421075457313593,0.9218019875689539,0.8699566928554635,0.9228945679979336,0.7504836738430175,0.9843361017451446,0.9578288615506249,0.11126328255247994,0.6286794125196763,0.7871344348184015,0.36116910229645094,0.3582089552238806,0.9359414321665522,0.9025522041763341,5.6242661106559356e-05,24
0.2143145019079842,0.2143145019079842,0.2143145019079842,0.2927281833967588,0.2143145019079842,0.2143145019079842,0.2143145019079842,0.32702867852316964,0.32702867852316964,0.32702867852316964,0.32702867852316964,0.9243880118965911,0.888631090487239,0.9261032073158489,0.6493964812181967,0.924289893564499,0.8768922552630029,0.924707680700066,0.7626946294909251,0.9848493876577011,0.9586318340004562,0.11271417661518543,0.6368412171770789,0.7945208096730738,0.36325678496868474,0.3582089552238806,0.938229238160604,0.9095127610208816,5.6242661106559356e-05,25
0.20970627968169178,0.20970627968169178,0.20970627968169178,0.2838948292616945,0.20970627968169178,0.20970627968169178,0.20970627968169178,0.3203758416628396,0.3203758416628396,0.3203758416628396,0.3203758416628396,0.9266758178906429,0.8909512761020881,0.9283237958695166,0.6682396682396682,0.9265726192575745,0.8804044349287968,0.9270192201246444,0.7681709393273952,0.9855204189866773,0.9600346535041197,0.11066956198114783,0.6453917531403466,0.7996104799986078,0.36325678496868474,0.3582089552238806,0.9405170441546556,0.9118329466357309,5.6242661106559356e-05,26
0.2068421690643553,0.2068421690643553,0.2068421690643553,0.2808956714333409,0.2068421690643553,0.2068421690643553,0.2068421690643553,0.32034051542480785,0.32034051542480785,0.32034051542480785,0.32034051542480785,0.9275909402882636,0.8897911832946636,0.9292924941506149,0.6500527390600161,0.9274843365427552,0.8778625463010669,0.928628822134139,0.7645136295001191,0.9861914028469067,0.9614394731571363,0.11349834636045256,0.6394702001975565,0.7959301494168257,0.36325678496868474,0.3582089552238806,0.9414321665522764,0.9106728538283063,5.6242661106559356e-05,27
0.20194636277387773,0.20194636277387773,0.20194636277387773,0.2724310520927619,0.20194636277387773,0.20194636277387773,0.20194636277387773,0.31455094781186843,0.31455094781186843,0.31455094781186843,0.31455094781186843,0.9301075268817204,0.8921113689095128,0.9316719465497529,0.6521562706262005,0.9300432101803207,0.8803984881791121,0.9315705124926493,0.7692124625666859,0.9866897686057124,0.962550845996342,0.1126045850379907,0.6434941299363566,0.7986988776111724,0.36116910229645094,0.3582089552238806,0.9441775337451385,0.9129930394431555,5.6242661106559356e-05,28
0.1962808500249932,0.1962808500249932,0.1962808500249932,0.26575478711539374,0.1962808500249932,0.1962808500249932,0.1962808500249932,0.30559850815269685,0.30559850815269685,0.30559850815269685,0.30559850815269685,0.9321665522763669,0.8967517401392111,0.9333869608068878,0.6707988717615673,0.9320990532371377,0.8864092910597136,0.9334074862494562,0.7798406664112614,0.9873031787180333,0.9642990316183332,0.10931765812770364,0.6547520902332544,0.8061539337496757,0.34237995824634654,0.3582089552238806,0.948409974834134,0.9176334106728539,5.6242661106559356e-05,29
0.19300839958395788,0.19300839958395788,0.19300839958395788,0.2620643635355208,0.19300839958395788,0.19300839958395788,0.19300839958395788,0.30234470480570086,0.30234470480570086,0.30234470480570086,0.30234470480570086,0.9333104552733928,0.8967517401392111,0.9341468711774116,0.6727857507210725,0.9332456550675855,0.8862093302316314,0.9349085943806378,0.7789045852734591,0.9876868357121429,0.9650756603805529,0.10933630522174298,0.6557341794222491,0.8064067267065749,0.35073068893528186,0.3582089552238806,0.9487531457332419,0.9176334106728539,5.6242661106559356e-05,30
0.1897166791761952,0.1897166791761952,0.1897166791761952,0.26507009213695126,0.1897166791761952,0.1897166791761952,0.1897166791761952,0.3010830844717997,0.3010830844717997,0.3010830844717997,0.3010830844717997,0.9337680164722032,0.8979118329466357,0.9346537015615963,0.6736069402736069,0.9336790111927831,0.8873042747752724,0.9353379157131642,0.7809321720249698,0.9882775779037447,0.9658230842480342,0.11136640529560451,0.6571426840943744,0.8076119991574716,0.3569937369519833,0.3582089552238806,0.948409974834134,0.9187935034802784,5.6242661106559356e-05,31
0.18551987317385177,0.18551987317385177,0.18551987317385177,0.2501389146459554,0.18551987317385177,0.18551987317385177,0.18551987317385177,0.2976191001081908,0.2976191001081908,0.2976191001081908,0.2976191001081908,0.9353694806680394,0.8955916473317865,0.9361191758455564,0.669978009783835,0.9352942600961445,0.885314665730497,0.9364170697150412,0.7778230537731542,0.9886621204850001,0.9666157260757678,0.11209922693433905,0.6556558696698123,0.8054120063788804,0.3695198329853862,0.3582089552238806,0.9488675360329444,0.9164733178654292,5.6242661106559356e-05,32
