threshold,margin,score,accepted,accuracy,f1_weighted,f1_macro,qwk,target_recall
0.0,0.0,1.5634211163235305,True,0.9245939675174014,0.9222336140009981,0.7952551206726973,0.8609228783478542,0.4666666666666667
0.2,0.0,1.5634211163235305,True,0.9245939675174014,0.9222336140009981,0.7952551206726973,0.8609228783478542,0.4666666666666667
0.2,0.02,1.5634211163235305,True,0.9245939675174014,0.9222336140009981,0.7952551206726973,0.8609228783478542,0.4666666666666667
0.2,0.04,1.5634211163235305,True,0.9245939675174014,0.9222336140009981,0.7952551206726973,0.8609228783478542,0.4666666666666667
0.2,0.06,1.5634211163235305,True,0.9245939675174014,0.9222336140009981,0.7952551206726973,0.8609228783478542,0.4666666666666667
0.2,0.08,1.5634211163235305,True,0.9245939675174014,0.9222336140009981,0.7952551206726973,0.8609228783478542,0.4666666666666667
0.2,0.1,1.5604195857010268,False,0.9234338747099768,0.9212219102009641,0.7911932140144821,0.8595722728548026,0.4666666666666667
0.2,0.12,1.5604195857010268,False,0.9234338747099768,0.9212219102009641,0.7911932140144821,0.8595722728548026,0.4666666666666667
0.22,0.0,1.5634211163235305,True,0.9245939675174014,0.9222336140009981,0.7952551206726973,0.8609228783478542,0.4666666666666667
0.22,0.02,1.5634211163235305,True,0.9245939675174014,0.9222336140009981,0.7952551206726973,0.8609228783478542,0.4666666666666667
0.22,0.04,1.5634211163235305,True,0.9245939675174014,0.9222336140009981,0.7952551206726973,0.8609228783478542,0.4666666666666667
0.22,0.06,1.5634211163235305,True,0.9245939675174014,0.9222336140009981,0.7952551206726973,0.8609228783478542,0.4666666666666667
0.22,0.08,1.5634211163235305,True,0.9245939675174014,0.9222336140009981,0.7952551206726973,0.8609228783478542,0.4666666666666667
0.22,0.1,1.5604195857010268,False,0.9234338747099768,0.9212219102009641,0.7911932140144821,0.8595722728548026,0.4666666666666667
0.22,0.12,1.5604195857010268,False,0.9234338747099768,0.9212219102009641,0.7911932140144821,0.8595722728548026,0.4666666666666667
0.24,0.0,1.5634211163235305,True,0.9245939675174014,0.9222336140009981,0.7952551206726973,0.8609228783478542,0.4666666666666667
0.24,0.02,1.5634211163235305,True,0.9245939675174014,0.9222336140009981,0.7952551206726973,0.8609228783478542,0.4666666666666667
0.24,0.04,1.5634211163235305,True,0.9245939675174014,0.9222336140009981,0.7952551206726973,0.8609228783478542,0.4666666666666667
0.24,0.06,1.5634211163235305,True,0.9245939675174014,0.9222336140009981,0.7952551206726973,0.8609228783478542,0.4666666666666667
0.24,0.08,1.5634211163235305,True,0.9245939675174014,0.9222336140009981,0.7952551206726973,0.8609228783478542,0.4666666666666667
0.24,0.1,1.5604195857010268,False,0.9234338747099768,0.9212219102009641,0.7911932140144821,0.8595722728548026,0.4666666666666667
0.24,0.12,1.5604195857010268,False,0.9234338747099768,0.9212219102009641,0.7911932140144821,0.8595722728548026,0.4666666666666667
0.26,0.0,1.5634211163235305,True,0.9245939675174014,0.9222336140009981,0.7952551206726973,0.8609228783478542,0.4666666666666667
0.26,0.02,1.5634211163235305,True,0.9245939675174014,0.9222336140009981,0.7952551206726973,0.8609228783478542,0.4666666666666667
0.26,0.04,1.5634211163235305,True,0.9245939675174014,0.9222336140009981,0.7952551206726973,0.8609228783478542,0.4666666666666667
0.26,0.06,1.5634211163235305,True,0.9245939675174014,0.9222336140009981,0.7952551206726973,0.8609228783478542,0.4666666666666667
0.26,0.08,1.5634211163235305,True,0.9245939675174014,0.9222336140009981,0.7952551206726973,0.8609228783478542,0.4666666666666667
0.26,0.1,1.5604195857010268,False,0.9234338747099768,0.9212219102009641,0.7911932140144821,0.8595722728548026,0.4666666666666667
0.26,0.12,1.5604195857010268,False,0.9234338747099768,0.9212219102009641,0.7911932140144821,0.8595722728548026,0.4666666666666667
0.27999999999999997,0.0,1.5634211163235305,True,0.9245939675174014,0.9222336140009981,0.7952551206726973,0.8609228783478542,0.4666666666666667
0.27999999999999997,0.02,1.5634211163235305,True,0.9245939675174014,0.9222336140009981,0.7952551206726973,0.8609228783478542,0.4666666666666667
0.27999999999999997,0.04,1.5634211163235305,True,0.9245939675174014,0.9222336140009981,0.7952551206726973,0.8609228783478542,0.4666666666666667
0.27999999999999997,0.06,1.5634211163235305,True,0.9245939675174014,0.9222336140009981,0.7952551206726973,0.8609228783478542,0.4666666666666667
