epoch,checkpoint_allowed,checkpoint_score,generalization_score,val_acc,val_f1_weighted,val_f1_macro,val_qwk,val_chgacc,val_persistence_rate,train_eval_loss,train_monitor_loss,train_loss,train_optim_loss,train_objective_loss,train_NLL,train_Objective,val_loss,val_monitor_loss,val_NLL,val_Objective,Protocol,loss_gap,lr
1,True,0.5602416466663648,0.3069405966796022,0.6809744779582366,0.6590055047541059,0.44557734204793026,0.38324203764831843,0.43283582089552236,0.6809744779582366,0.7096384936658136,0.7096384936658136,0.7096384936658136,0.9731851465945697,0.7096384936658136,0.7096384936658136,0.7096384936658136,0.758290950898771,0.758290950898771,0.758290950898771,0.758290950898771,benchmark_ce,0.04865245723295741,5.6242661106559356e-05
2,True,0.6280958168876303,0.40316009217953297,0.7389791183294664,0.726457631975305,0.4999941516784183,0.4574020763917448,0.47761194029850745,0.7354988399071926,0.4794238672530564,0.4794238672530564,0.4794238672530564,0.6504753298350494,0.4794238672530564,0.4794238672530564,0.4794238672530564,0.6095992437115422,0.6095992437115422,0.6095992437115422,0.6095992437115422,benchmark_ce,0.13017537645848576,5.6242661106559356e-05
3,True,0.6506120543160511,0.43232276580291495,0.7610208816705336,0.7457440311883908,0.49682970074560034,0.4934026682033762,0.4925373134328358,0.7575406032482599,0.421694963878143,0.421694963878143,0.421694963878143,0.49571426191034107,0.421694963878143,0.421694963878143,0.421694963878143,0.554657056927681,0.554657056927681,0.554657056927681,0.554657056927681,benchmark_ce,0.132962093049538,5.6242661106559356e-05
4,True,0.6769788080311858,0.4739060767707883,0.7877030162412993,0.7736487810784098,0.5235110077786389,0.5350373321472846,0.43283582089552236,0.7935034802784223,0.3762510652657272,0.3762510652657272,0.3762510652657272,0.4399354916310658,0.3762510652657272,0.3762510652657272,0.3762510652657272,0.49758982106491373,0.49758982106491373,0.49758982106491373,0.49758982106491373,benchmark_ce,0.12133875579918652,5.6242661106559356e-05
5,True,0.7123878187490447,0.5199402654827482,0.820185614849188,0.8046659325966417,0.5519370460048426,0.6012872495374562,0.417910447761194,0.8283062645011601,0.33982666486867424,0.33982666486867424,0.33982666486867424,0.41162410721074055,0.33982666486867424,0.33982666486867424,0.33982666486867424,0.4482022234135204,0.4482022234135204,0.4482022234135204,0.4482022234135204,benchmark_ce,0.10837555854484615,5.6242661106559356e-05
6,True,0.7199682782742468,0.5308334127082329,0.8294663573085846,0.812730146909754,0.5436087591079769,0.6186584286849721,0.40298507462686567,0.8422273781902552,0.32047917844131113,0.32047917844131113,0.32047917844131113,0.3991877705837688,0.32047917844131113,0.32047917844131113,0.32047917844131113,0.4259364196547755,0.4259364196547755,0.4259364196547755,0.4259364196547755,benchmark_ce,0.10545724121346439,5.6242661106559356e-05
7,True,0.7416617225013613,0.5591042143924411,0.8503480278422274,0.834742100643712,0.5615717301295304,0.6644407845485851,0.373134328358209,0.8677494199535963,0.3032657236887319,0.3032657236887319,0.3032657236887319,0.3801989940124272,0.3032657236887319,0.3032657236887319,0.3032657236887319,0.40564783110662744,0.40564783110662744,0.40564783110662744,0.40564783110662744,benchmark_ce,0.10238210741789555,5.6242661106559356e-05
8,True,0.7415602538583492,0.5629614738511078,0.851508120649652,0.8358182151736601,0.5623720748321491,0.6664403157595155,0.34328358208955223,0.8735498839907193,0.29211042293629536,0.29211042293629536,0.29211042293629536,0.37256238642182665,0.29211042293629536,0.29211042293629536,0.29211042293629536,0.39451498814203123,0.39451498814203123,0.39451498814203123,0.39451498814203123,benchmark_ce,0.10240456520573588,5.6242661106559356e-05
9,True,0.7526365906325835,0.5794232789298869,0.8596287703016241,0.8450184747213431,0.5880889544044913,0.6874671814285642,0.3283582089552239,0.8839907192575406,0.2808578609909317,0.2808578609909317,0.2808578609909317,0.3584870662893692,0.2808578609909317,0.2808578609909317,0.2808578609909317,0.3848384842276573,0.3848384842276573,0.3848384842276573,0.3848384842276573,benchmark_ce,0.10398062323672563,5.6242661106559356e-05
10,True,0.7497192840529231,0.5757918712590819,0.8561484918793504,0.8407717534120785,0.5843560133071118,0.6796890692162455,0.34328358208955223,0.8781902552204176,0.27686095202276245,0.27686095202276245,0.27686095202276245,0.363483642139574,0.27686095202276245,0.27686095202276245,0.27686095202276245,0.38198544333378476,0.38198544333378476,0.38198544333378476,0.38198544333378476,benchmark_ce,0.1051244913110223,5.6242661106559356e-05
11,True,0.7533751449886746,0.5796227153354128,0.8584686774941995,0.8428852706522271,0.5862893697233645,0.6959650112866818,0.34328358208955223,0.8805104408352669,0.27732068669138243,0.27732068669138243,0.27732068669138243,0.3521129877381299,0.27732068669138243,0.27732068669138243,0.27732068669138243,0.38430913344577505,0.38430913344577505,0.38430913344577505,0.38430913344577505,benchmark_ce,0.10698844675439262,5.6242661106559356e-05
12,True,0.7558407596386824,0.58435657148673,0.8596287703016241,0.8441648465111016,0.5870895646176545,0.7049223241343898,0.34328358208955223,0.8816705336426914,0.26934031846068024,0.26934031846068024,0.26934031846068024,0.3598152245020997,0.26934031846068024,0.26934031846068024,0.26934031846068024,0.37508629731557985,0.37508629731557985,0.37508629731557985,0.37508629731557985,benchmark_ce,0.10574597885489961,5.6242661106559356e-05
13,True,0.7664583605407228,0.5969650981120347,0.8689095127610209,0.8551599587950156,0.5947925458392964,0.7264089186883815,0.34328358208955223,0.8909512761020881,0.2639979753894959,0.2639979753894959,0.2639979753894959,0.34817400881952615,0.2639979753894959,0.2639979753894959,0.2639979753894959,0.3688913869361083,0.3688913869361083,0.3688913869361083,0.3688913869361083,benchmark_ce,0.10489341154661241,5.6242661106559356e-05
14,True,0.75456465823983,0.5832763044684556,0.8584686774941995,0.84264854892864,0.5866569668037168,0.7013197230048611,0.34328358208955223,0.8805104408352669,0.2645945737077209,0.2645945737077209,0.2645945737077209,0.34382378546534664,0.2645945737077209,0.2645945737077209,0.2645945737077209,0.3734002113342285,0.3734002113342285,0.3734002113342285,0.3734002113342285,benchmark_ce,0.10880563762650763,5.6242661106559356e-05
15,True,0.7729627174481752,0.6045544866241719,0.87122969837587,0.8575502506312985,0.6168363788145572,0.7278658622141153,0.373134328358209,0.888631090487239,0.25607380455821704,0.25607380455821704,0.25607380455821704,0.3421904784593269,0.25607380455821704,0.25607380455821704,0.25607380455821704,0.3637619889168828,0.3637619889168828,0.3637619889168828,0.3637619889168828,benchmark_ce,0.10768818435866573,5.6242661106559356e-05
16,True,0.764770437348952,0.5971996246299014,0.8642691415313225,0.8501421693586395,0.6107915108356821,0.7141249183458118,0.3582089552238806,0.8839907192575406,0.254975318537445,0.254975318537445,0.254975318537445,0.33932403698019736,0.254975318537445,0.254975318537445,0.254975318537445,0.3631523109420582,0.3631523109420582,0.3631523109420582,0.3631523109420582,benchmark_ce,0.1081769924046132,5.6242661106559356e-05
17,True,0.7698742036618436,0.603289384461963,0.8689095127610209,0.8550879646706802,0.6148304896293681,0.7232939099381064,0.3582089552238806,0.888631090487239,0.2484023427272418,0.2484023427272418,0.2484023427272418,0.3265385288663589,0.2484023427272418,0.2484023427272418,0.2484023427272418,0.3588408375227893,0.3588408375227893,0.3588408375227893,0.3588408375227893,benchmark_ce,0.11043849479554749,5.6242661106559356e-05
18,True,0.7775488294749573,0.6145098039868984,0.8735498839907193,0.8611840163720644,0.6367501625432023,0.7335792622133599,0.3582089552238806,0.8932714617169374,0.24229823413000562,0.24229823413000562,0.24229823413000562,0.3292467040247726,0.24229823413000562,0.24229823413000562,0.24229823413000562,0.3528460286281727,0.3528460286281727,0.3528460286281727,0.3528460286281727,benchmark_ce,0.1105477944981671,5.6242661106559356e-05
