trial_id,epochs,composite_score,aligned_score,train_loss,train_monitor_loss,train_objective_loss,val_loss,loss_gap,val_accuracy,f1_weighted,f1_macro,qwk,chgacc,persistence_rate,elapsed_seconds,search_version,hidden_size,d_model,n_heads,n_layers,dropout,pre_lstm_dropout,batch_size,lr,max_lr,weight_decay,focal_gamma,focal_weight,ordinal_alpha,label_smoothing,context_dropout_prob,train_input_noise_std,train_channel_dropout_prob,train_timestep_dropout_prob,loss_gap_penalty_weight,sector_emb_dim,ticker_emb_dim,company_emb_dim,max_relative_position,focal_alpha,warmup_epochs,ramp_epochs
stage2_top_01,25,0.6883442123307514,0.6883442123307514,0.13098591421213415,0.13098591421213415,0.36202958612688,0.20389488008287218,0.07290896587073803,0.9234338747099768,0.9195154502557132,0.7586431357228621,0.8502785999138494,0.3880597014925373,0.9408352668213457,61.60513138771057,tlstm_primo_v2_monitor_aligned,64,52,1,1,0.38798504082669927,0.26980176699290304,48,3.871410154694745e-05,0.0005999999999999997,0.0005,1.2,0.15,0.02897543464990724,0.037442171445485006,0.1899712137352118,0.015619254155909791,0.03167791554686345,0.0,0.1756347669204202,8,4,4,8,0.15,5,15
stage2_top_02,25,0.68503020463985,0.68503020463985,0.14020194349780915,0.14020194349780915,0.37870460611960244,0.21443066663212246,0.0742287231343133,0.9222737819025522,0.9185731788048737,0.7527417689419073,0.8373974014501822,0.373134328358209,0.9419953596287703,60.3258912563324,tlstm_primo_v2_monitor_aligned,61,46,1,1,0.3910414953932854,0.37494254470821825,48,8.9445118496871e-05,0.0005420937639741306,0.0005731401557547276,1.1801663385681154,0.15,0.03,0.04154797507493563,0.19967982228429276,0.018547512641904816,0.05015350286598917,0.001873524107136143,0.13023721996518078,8,4,4,8,0.15,5,15
trial_0015,20,0.655205767899168,0.655205767899168,0.1790524097159505,0.1790524097159505,0.4285948667379599,0.25405381785498726,0.07500140813903677,0.919953596287703,0.9155827738995823,0.7622326462158626,0.8306023713047791,0.208955223880597,0.9640371229698376,24.574764490127563,tlstm_primo_v2_monitor_aligned,64,52,1,1,0.38798504082669927,0.26980176699290304,48,3.871410154694745e-05,0.0005999999999999997,0.0005,1.2,0.15,0.02897543464990724,0.037442171445485006,0.1899712137352118,0.015619254155909791,0.03167791554686345,0.0,0.1756347669204202,8,4,4,8,0.15,5,15
trial_0018,20,0.6551621634857526,0.6551621634857526,0.19972268491983414,0.19972268491983414,0.4551091447354309,0.26606327295303345,0.06634058803319931,0.91415313225058,0.9072409135262268,0.7263663429353192,0.822227124919665,0.2537313432835821,0.951276102088167,24.410582304000854,tlstm_primo_v2_monitor_aligned,61,46,1,1,0.3910414953932854,0.37494254470821825,48,8.9445118496871e-05,0.0005420937639741306,0.0005731401557547276,1.1801663385681154,0.15,0.03,0.04154797507493563,0.19967982228429276,0.018547512641904816,0.05015350286598917,0.001873524107136143,0.13023721996518078,8,4,4,8,0.15,5,15
trial_0012,17,0.6494980235397421,0.6494980235397421,0.21881100411216417,0.21881100411216417,0.44099263345603557,0.2808356646980558,0.06202466058589165,0.9176334106728539,0.9129073712024948,0.7667716130149448,0.8248580095825813,0.1791044776119403,0.9651972157772621,17.087092876434326,tlstm_primo_v2_monitor_aligned,64,48,1,1,0.3880441591837406,0.24274945983983634,64,2.7370767092734812e-05,0.0005999999999999997,0.0005,1.1746161593095399,0.15,0.03,0.021198711225986905,0.19190043619225408,0.02,0.03409438955423518,0.012179759461576043,0.21071077434799565,8,4,4,8,0.15,5,15
