class_id,class_name,feature,mean_abs_shap
0,0,asset_turnover,0.008667545451316983
0,0,current_ratio,0.0363608406817851
0,0,debt_equity_ratio,0.013183133482622603
0,0,ebit_margin,0.006704640021780506
0,0,free_cashflow_ps,0.008081843853384877
0,0,gross_profit_margin,0.006488129232214608
0,0,net_profit_margin,0.01544173113264454
0,0,operating_cashflow_ps,0.014334093008073978
0,0,operating_profit_margin,0.004451554937986657
0,0,pretax_profit_margin,0.027394977883280564
0,0,roa,0.007835409274169555
0,0,roe,0.006163449579617009
1,1,asset_turnover,0.025589680438618718
1,1,current_ratio,0.03484203936144089
1,1,debt_equity_ratio,0.02087143121752888
1,1,ebit_margin,0.00994646871307244
1,1,free_cashflow_ps,0.0050648845572141
1,1,gross_profit_margin,0.010614290498779155
1,1,net_profit_margin,0.019949249729203682
1,1,operating_cashflow_ps,0.019486985894521542
1,1,operating_profit_margin,0.017784988274797797
1,1,pretax_profit_margin,0.039336552804646395
1,1,roa,0.04466388374567032
1,1,roe,0.013211839182379967
2,2,asset_turnover,0.03283580935870608
2,2,current_ratio,0.0650992055113117
2,2,debt_equity_ratio,0.028694573518199224
2,2,ebit_margin,0.012002899260551203
2,2,free_cashflow_ps,0.00984708554945731
2,2,gross_profit_margin,0.01466724329899686
2,2,net_profit_margin,0.026866869486790772
2,2,operating_cashflow_ps,0.01815921992723209
2,2,operating_profit_margin,0.024655987062336255
2,2,pretax_profit_margin,0.05051777480791012
2,2,roa,0.039933430768239
2,2,roe,0.014569911814760417
