feature,mean_abs_shap
roe,0.018014876455526418
debt_equity_ratio,0.01599869425409764
ebit_margin_delta,0.013422897134081851
roe_delta,0.013094906290146952
pretax_profit_margin_delta,0.010357259239195334
debt_equity_ratio_delta,0.010158396458185254
roa,0.00835743770716962
operating_cashflow_ps_delta,0.008113726182569952
operating_profit_margin_delta,0.006879454848007681
asset_turnover,0.006733272758889255
net_profit_margin,0.006539574798573313
current_ratio,0.005843834021986302
net_profit_margin_delta,0.005588343920502954
asset_turnover_delta,0.002638092420588285
free_cashflow_ps,0.0023111431201952837
pretax_profit_margin,0.0021141318344868685
ebit_margin,0.0020435108629704352
gross_profit_margin_delta,0.0013164162984545733
current_ratio_delta,0.0010484698141231845
operating_profit_margin,0.0008111533295111183
free_cashflow_ps_delta,0.0006138340197232432
gross_profit_margin,0.00046569711307731693
operating_cashflow_ps,0.0
roa_delta,0.0
