epoch,lr,context_dropout,last_y_mask_prob,train_Loss,val_Loss,train_Accuracy,val_Accuracy,train_Macro_F1,val_Macro_F1,train_AUC,val_AUC,train_QWK,val_QWK,train_ChgAcc,val_ChgAcc,train_PersistenceRate,val_PersistenceRate
1,0.0002,0.6,0.55,0.9575941350879508,0.848838779323339,0.5336307481125601,0.642691415313225,0.5321697612496804,0.4441099990139703,0.717492546626309,0.6655923597425583,0.4036081864359474,0.25541577223395784,0.3736951983298539,0.417910447761194,0.5345458705101808,0.6415313225058005
2,0.0002,0.5879310344827586,0.5344827586206897,0.7753817643488716,0.7621255619343361,0.6743308167467399,0.6809744779582366,0.6882789927076929,0.4719767774178454,0.8172459289245592,0.6840032191326183,0.6620548062972388,0.338901536081335,0.3903966597077244,0.3582089552238806,0.6746739876458476,0.6925754060324826
3,0.0002,0.5758620689655172,0.5189655172413794,0.6877930401883009,0.7194970056518325,0.7112788835506749,0.7053364269141531,0.7256743199861012,0.4853396019283089,0.8466190882483787,0.7084432162269564,0.7103942907702798,0.3794560634249866,0.40501043841336115,0.3582089552238806,0.7095630290551361,0.7169373549883991
4,0.0002,0.5637931034482758,0.503448275862069,0.633997047092025,0.6853403418633888,0.7367879203843514,0.722737819025522,0.7516428471665991,0.468098764484469,0.8678348818994429,0.7281215636389841,0.7380483012819663,0.38833535606624126,0.3966597077244259,0.3582089552238806,0.7379318233813773,0.7366589327146171
5,0.0002,0.5517241379310345,0.48793103448275865,0.5957693525785387,0.6454586184771598,0.7548615877373599,0.7552204176334106,0.7694800803766045,0.4714370372485881,0.8814542000262698,0.7622500928360626,0.7554391233179809,0.4327139610690085,0.3987473903966597,0.34328358208955223,0.7558911004346831,0.7726218097447796
6,0.0002,0.5396551724137931,0.47241379310344833,0.566394783599075,0.613669493911991,0.7736215968885839,0.7784222737819025,0.7894351878986582,0.49488998075357166,0.8935072309309721,0.7846418496129406,0.772792944717191,0.4896257014879266,0.4091858037578288,0.3582089552238806,0.7741935483870968,0.7935034802784223
7,0.0002,0.5275862068965517,0.45689655172413796,0.5370148957675667,0.5794905561720413,0.7896362388469458,0.7946635730858469,0.8036766352632561,0.5082451680864707,0.9045542258085514,0.8036840695355791,0.7877870159661677,0.5277180605706415,0.36325678496868474,0.34328358208955223,0.7945550217341569,0.8109048723897911
8,0.0002,0.5155172413793103,0.4413793103448276,0.5215742636043292,0.5542347270070539,0.7954701441317776,0.8016241299303944,0.8096843093571532,0.5157411801930074,0.9102462674182358,0.8157993785567039,0.7927789599708918,0.5408908151010392,0.35281837160751567,0.3582089552238806,0.8024479524136353,0.8190255220417634
9,0.0002,0.503448275862069,0.42586206896551726,0.5007580838427612,0.5242848419811222,0.809997712194006,0.8271461716937355,0.823497181158345,0.5393301766333263,0.9186139608731563,0.8416330871359264,0.8075062343635778,0.6114650986498391,0.32150313152400833,0.29850746268656714,0.8208647906657516,0.8538283062645011
10,0.0002,0.49137931034482757,0.41034482758620694,0.48555510737099056,0.4987860578533668,0.814687714481812,0.8259860788863109,0.8279771018716872,0.5379332204492564,0.9238914072233667,0.8598913578133036,0.8124728016578187,0.6087103706857198,0.3235908141962422,0.29850746268656714,0.8255547929535575,0.8526682134570766
