Metric,BestValue,BestEpoch
Train Loss,0.273556959749672,60
Val Loss,0.2830954309889999,6
Train Accuracy,0.9280145961187594,84
Val Accuracy,0.9245939675174014,11
Val Macro_F1,0.8404920124642564,11
Val ChgAcc,0.22388059701492538,1
Final Loss Gap,0.020916110693464662,100
Final ValLoss Drift,0.012692240129490717,100
ValLoss Last10 Mean,0.2958135608730626,100
ValLoss Last10 Std,2.9912488899543317e-05,100
