row_id,ticker,company_name,rating_date,sector,true_label,true_label_name,xai_test_index,xai_shared_sample_id,test_index,rank,model_key,model_label,predicted_class_id,predicted_class,predicted_probability,explained_class_id,explained_class,explained_class_model_probability,feature,feature_value,gradientshap_attribution,direction,feature_source,probability_source,xai_probability_source,xai_method,gradientshap_method,proxy_mse,proxy_argmax_agreement
test_000772,EMN,EASTMAN CHEMICAL COMPANY,2013-09-05,0,2,IG,518,test_idx_000518,518,1,dmf_dcs,DMF/DCS Fusion,2,IG,0.9799906627314472,0,Distressed,5.302558350860598e-05,roa,0.8167032458166629,-0.007056742906570435,opposes_explained_class,aligned_original_financial_features,dmf_probs,dmf_probs,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.055902206537293185,0.869413813116657
test_000772,EMN,EASTMAN CHEMICAL COMPANY,2013-09-05,0,2,IG,518,test_idx_000518,518,2,dmf_dcs,DMF/DCS Fusion,2,IG,0.9799906627314472,0,Distressed,5.302558350860598e-05,roe,0.4430022041870153,0.005174487363547087,supports_explained_class,aligned_original_financial_features,dmf_probs,dmf_probs,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.055902206537293185,0.869413813116657
test_000772,EMN,EASTMAN CHEMICAL COMPANY,2013-09-05,0,2,IG,518,test_idx_000518,518,3,dmf_dcs,DMF/DCS Fusion,2,IG,0.9799906627314472,0,Distressed,5.302558350860598e-05,net_profit_margin,0.1860005032053514,-0.003997973166406155,opposes_explained_class,aligned_original_financial_features,dmf_probs,dmf_probs,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.055902206537293185,0.869413813116657
test_000772,EMN,EASTMAN CHEMICAL COMPANY,2013-09-05,0,2,IG,518,test_idx_000518,518,4,dmf_dcs,DMF/DCS Fusion,2,IG,0.9799906627314472,0,Distressed,5.302558350860598e-05,pretax_profit_margin,0.2053378498497508,0.003646513447165489,supports_explained_class,aligned_original_financial_features,dmf_probs,dmf_probs,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.055902206537293185,0.869413813116657
test_000772,EMN,EASTMAN CHEMICAL COMPANY,2013-09-05,0,2,IG,518,test_idx_000518,518,5,dmf_dcs,DMF/DCS Fusion,2,IG,0.9799906627314472,0,Distressed,5.302558350860598e-05,asset_turnover,0.7206562617518126,-0.0033095194958150387,opposes_explained_class,aligned_original_financial_features,dmf_probs,dmf_probs,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.055902206537293185,0.869413813116657
test_000772,EMN,EASTMAN CHEMICAL COMPANY,2013-09-05,0,2,IG,518,test_idx_000518,518,6,dmf_dcs,DMF/DCS Fusion,2,IG,0.9799906627314472,0,Distressed,5.302558350860598e-05,gross_profit_margin,-0.8742023115379266,-0.002443019999191165,opposes_explained_class,aligned_original_financial_features,dmf_probs,dmf_probs,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.055902206537293185,0.869413813116657
test_000772,EMN,EASTMAN CHEMICAL COMPANY,2013-09-05,0,2,IG,518,test_idx_000518,518,7,dmf_dcs,DMF/DCS Fusion,2,IG,0.9799906627314472,0,Distressed,5.302558350860598e-05,debt_equity_ratio,-0.0023323264539321,-0.0013572031166404486,opposes_explained_class,aligned_original_financial_features,dmf_probs,dmf_probs,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.055902206537293185,0.869413813116657
test_000772,EMN,EASTMAN CHEMICAL COMPANY,2013-09-05,0,2,IG,518,test_idx_000518,518,8,dmf_dcs,DMF/DCS Fusion,2,IG,0.9799906627314472,0,Distressed,5.302558350860598e-05,free_cashflow_ps,-0.4853968217251308,-0.0010368332732468843,opposes_explained_class,aligned_original_financial_features,dmf_probs,dmf_probs,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.055902206537293185,0.869413813116657
test_000772,EMN,EASTMAN CHEMICAL COMPANY,2013-09-05,0,2,IG,518,test_idx_000518,518,9,dmf_dcs,DMF/DCS Fusion,2,IG,0.9799906627314472,0,Distressed,5.302558350860598e-05,operating_profit_margin,0.0755382458869231,-0.0010101690422743559,opposes_explained_class,aligned_original_financial_features,dmf_probs,dmf_probs,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.055902206537293185,0.869413813116657
test_000772,EMN,EASTMAN CHEMICAL COMPANY,2013-09-05,0,2,IG,518,test_idx_000518,518,10,dmf_dcs,DMF/DCS Fusion,2,IG,0.9799906627314472,0,Distressed,5.302558350860598e-05,operating_cashflow_ps,0.0643883051724697,0.0007505932007916272,supports_explained_class,aligned_original_financial_features,dmf_probs,dmf_probs,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.055902206537293185,0.869413813116657
