Split,Accuracy,Precision_Weighted,Recall_Weighted,Macro_F1,Weighted_F1,AUC,QWK
Val,0.9132606721162579,0.9115065489815115,0.9132606721162579,0.7706491657935972,0.9122124263508916,0.9414698790309219,0.8272340425531914
Test,0.8787878787878788,0.8744432400990062,0.8787878787878788,0.7487095815422561,0.875707058781439,0.9193543911532109,0.8199512298321995
