feature,mean_abs_shap
roa,0.0033334988524177803
pretax_profit_margin,0.0029289419241113504
net_profit_margin,0.002481604833958206
operating_cashflow_ps_delta,0.0022589528939759855
operating_cashflow_ps,0.001612308053677228
operating_profit_margin,0.0016071349388418461
current_ratio,0.0011966801034029254
roe,0.001188946478374291
delta_days_delta,0.0009909817916779933
delta_days,0.0008781813595253403
debt_equity_ratio,0.0006977871276624804
debt_equity_ratio_delta,0.0006684334753308994
roe_delta,0.000572588255347757
pretax_profit_margin_delta,0.00042472735030385533
roa_delta,0.00032248470831211317
free_cashflow_ps_delta,0.00031074655365884965
asset_turnover,0.000255566577546874
ebit_margin,0.00018649947324496656
asset_turnover_delta,0.00017186434606918663
net_profit_margin_delta,0.00012468845681603427
operating_profit_margin_delta,0.00011629456541033943
gross_profit_margin_delta,5.853244684947599e-05
current_ratio_delta,5.3524266670476606e-05
gross_profit_margin,5.041732261316393e-05
ebit_margin_delta,0.0
free_cashflow_ps,0.0
