sample_rank,sample_index,ticker,y_true,y_pred,pred_prob,target_class_explained,feature_flat,feature_value,shap_value,abs_shap_value,last_y_context,sector_id
5,719,HII,1,2,0.650786280632019,2,t-2__operating_cashflow_ps_delta,-2.5822243690490723,0.060674843101191936,0.060674843101191936,1,1
5,719,HII,1,2,0.650786280632019,2,t-2__operating_cashflow_ps,-1.4093317985534668,-0.02561832157536072,0.02561832157536072,1,1
5,719,HII,1,2,0.650786280632019,2,t-1__pretax_profit_margin,-0.23656713962554932,-0.01983687002544006,0.01983687002544006,1,1
5,719,HII,1,2,0.650786280632019,2,t-2__delta_days_delta,1.2080233097076416,0.017972332995042934,0.017972332995042934,1,1
5,719,HII,1,2,0.650786280632019,2,t-2__delta_days,1.3909927606582642,0.017611510210177928,0.017611510210177928,1,1
5,719,HII,1,2,0.650786280632019,2,t-2__operating_profit_margin,-0.30811598896980286,-0.01652350482332893,0.01652350482332893,1,1
5,719,HII,1,2,0.650786280632019,2,t-2__debt_equity_ratio_delta,-0.5012270212173462,0.01091772840979414,0.01091772840979414,1,1
5,719,HII,1,2,0.650786280632019,2,t-2__roa_delta,0.9642735123634338,-0.010319510665987621,0.010319510665987621,1,1
1,703,HBI,2,2,0.7155454754829407,2,t-0__roe,0.37772247195243835,0.016797000847060914,0.016797000847060914,1,5
1,703,HBI,2,2,0.7155454754829407,2,t-2__roe_delta,0.0,0.0077149633286995615,0.0077149633286995615,1,5
1,703,HBI,2,2,0.7155454754829407,2,t-2__roa,0.5491964221000671,0.0076717528293416834,0.0076717528293416834,1,5
1,703,HBI,2,2,0.7155454754829407,2,t-3__debt_equity_ratio,0.33302807807922363,0.0073195195016783595,0.0073195195016783595,1,5
1,703,HBI,2,2,0.7155454754829407,2,t-3__roe_delta,0.0,0.006780316727184422,0.006780316727184422,1,5
1,703,HBI,2,2,0.7155454754829407,2,t-3__roa,0.5491964221000671,0.00576124947855071,0.00576124947855071,1,5
1,703,HBI,2,2,0.7155454754829407,2,t-0__roa,0.5004264116287231,0.005743768647872084,0.005743768647872084,1,5
1,703,HBI,2,2,0.7155454754829407,2,t-2__operating_profit_margin,-0.05519254505634308,0.004186795577871036,0.004186795577871036,1,5
