feature,mean_abs_shap
pretax_profit_margin,0.06476924041282785
debt_equity_ratio,0.04280443107878199
current_ratio,0.04014632469352089
roe,0.029375643986296555
net_profit_margin,0.0194809496982823
gross_profit_margin,0.015614472965928309
roa,0.010500429399270277
asset_turnover,0.009146859821196118
operating_profit_margin,0.007890292585265404
operating_cashflow_ps,0.004182089827206862
free_cashflow_ps,0.0036880920565768196
ebit_margin,0.0030417051628327785
asset_turnover_delta,0.0018110498105301431
debt_equity_ratio_delta,0.0017084120561691191
operating_cashflow_ps_delta,0.0015413510317533261
current_ratio_delta,0.0015342005068999642
gross_profit_margin_delta,0.0014173674473325177
roe_delta,0.0012582109476132041
pretax_profit_margin_delta,0.001145004333690408
net_profit_margin_delta,0.0011056926096184045
roa_delta,0.0007779075641660624
ebit_margin_delta,0.0007258462053657289
free_cashflow_ps_delta,0.0006749824935055772
operating_profit_margin_delta,0.0002192410164177621
