epoch,train_Loss,val_Loss,train_Accuracy,val_Accuracy,train_Macro_F1,val_Macro_F1,train_AUC,val_AUC,train_QWK,val_QWK
1,1.0189300411014794,0.8970425194077031,0.42734561823041217,0.6821071752951862,0.19959922472980518,0.2703383729301656,0.9859902808941244,0.9087602233080064,0.0,0.0
2,0.9709941325153518,0.8632137112114899,0.42734561823041217,0.6821071752951862,0.19959922472980518,0.2703383729301656,0.9887188294820044,0.9219548610252923,0.0,0.0
3,0.9265622549256876,0.8315683712144718,0.6518497678998453,0.7656675749318801,0.5017364370871418,0.4414259545191137,0.9892310345781827,0.9226654631142731,0.08012950006160435,0.30801663208922436
4,0.8851998734339379,0.8019298619544497,0.718385145590097,0.8701180744777475,0.5566655019182359,0.5680472501904892,0.9901993379507132,0.9288620475955142,0.10785216942860154,0.6205038016528925
5,0.8465598152336842,0.7741137139662376,0.7269658179772119,0.8950953678474114,0.5626617855653238,0.5903985483047286,0.990565249936351,0.9296998416591506,0.11056050109660864,0.7063961993035508
6,0.8104076966837503,0.747946922985335,0.9205232803488536,0.9064486830154405,0.9171304704964638,0.611652270932839,0.9908351116972846,0.9297994003422464,0.850684818948336,0.7620381124995214
7,0.7765309362011047,0.7234577491040611,0.9496412997608665,0.907811080835604,0.9502927911509693,0.6232585490901694,0.9912329598681396,0.931677969741392,0.9497986889223676,0.7899446552615322
8,0.7466251787756757,0.7040476100534315,0.9528766352510901,0.9096276112624887,0.9534368667736536,0.6623690794224362,0.9927678031683874,0.9364745727014953,0.9583073884449066,0.8087016455161476
9,0.7165816687696474,0.6820771919634928,0.9531579687719792,0.9096276112624887,0.9538199760391347,0.6623690794224362,0.9927769428450643,0.9367162443750159,0.961571861425464,0.8087016455161476
10,0.6886834312382245,0.6620385006026709,0.9530173020115347,0.9118982742960945,0.9536959908798144,0.6642775876637249,0.9928237701109678,0.9376918789893495,0.9614983280842709,0.8133952041861555
11,0.6619756399506423,0.6425058229108087,0.9530173020115347,0.9128065395095368,0.9537481725641556,0.664843362689949,0.9928349524372831,0.9373427344253046,0.9615085794101195,0.8208471705509494
12,0.6383139394332409,0.626940254498073,0.9532986355324237,0.9123524069028156,0.9539842322704702,0.6726013569737462,0.9932321500373211,0.938346409502945,0.9617666100557052,0.8178870336570232
13,0.6143833942933654,0.6094591033451431,0.9523139682093121,0.9123524069028156,0.9531443399269359,0.6726632299450923,0.9932613979946426,0.9379489643469752,0.9609555548368159,0.8179907637690305
14,0.5917626667838108,0.5928435031426397,0.9525953017302011,0.9123524069028156,0.953482823455476,0.6872629795607311,0.9932016345265798,0.9377458448017743,0.9611961873350838,0.8222284427676018
15,0.5716046923374595,0.5796907065372763,0.9534393022928682,0.9118982742960945,0.9542593952108365,0.6858002334097951,0.993554396096541,0.9381770387017632,0.9618949767615151,0.8217040140887837
16,0.5512182258309137,0.5645447153402416,0.9530173020115347,0.9114441416893733,0.9538928253123699,0.6843692054004129,0.9936043328445677,0.9382981316083691,0.9615690247751012,0.8211817465608144
17,0.5321828571499327,0.5506258068685583,0.9531579687719792,0.9118982742960945,0.9541208641703527,0.6858002334097951,0.9937409001535089,0.9381834088151706,0.9616629023308452,0.8217040140887837
18,0.51478206006962,0.5391685999372523,0.9534393022928682,0.9109900090826522,0.9543592234793467,0.6839098033401944,0.9940617936457299,0.9386436647931949,0.9619084840808539,0.8201403765857872
19,0.49712055512585707,0.5262866327783718,0.9534393022928682,0.9114441416893733,0.954305450126196,0.6833002842421406,0.9940990852489152,0.938160052771947,0.9619292252232099,0.8214993502863821
20,0.4804278798184152,0.5139771484139768,0.9534393022928682,0.9105358764759309,0.9543003662507928,0.6814676401327135,0.9941835065344637,0.9378979871151693,0.9619345314712808,0.819941947162734
21,0.46461000821079734,0.5024774311767043,0.9532986355324237,0.9109900090826522,0.9541338038626094,0.6819287915150526,0.9942335137790802,0.9373094490469902,0.9618212834031006,0.820979500566276
22,0.44946191702898863,0.4914060226971833,0.9537206358137572,0.9109900090826522,0.9546407726806163,0.6802834334080213,0.994308472403033,0.9371976212998265,0.962181136261216,0.816415710097665
23,0.43498983670013386,0.48096068844535006,0.9537206358137572,0.9109900090826522,0.9546380542929964,0.6802834334080213,0.9943648688488925,0.937047882561738,0.9621930960673476,0.816415710097665
24,0.4219898218050698,0.47254943810189054,0.9537206358137572,0.9105358764759309,0.9546325713961981,0.6862138447818987,0.9945967987493575,0.9376527363411381,0.9622169930009994,0.8161309422501144
25,0.4089071831581187,0.4630930584540689,0.9538613025742018,0.9114441416893733,0.954801357574433,0.6941708250602167,0.9946222337599472,0.9375630193540884,0.9623367487724122,0.8184119380723254
26,0.39730279828396803,0.4556686096006333,0.9540019693346462,0.9109900090826522,0.9549701056491022,0.6866752938221362,0.99481068246247,0.9383287119179067,0.9624564667082542,0.8171632228287294
27,0.38593267116818286,0.44817498557223,0.9545646363764243,0.9114441416893733,0.9555491273716168,0.6941708250602167,0.9949670250611709,0.9390455706246633,0.9629284101235324,0.8184119380723254
28,0.37530331132947914,0.4413912973610532,0.9548459698973133,0.9137148047229791,0.9558386710372858,0.7382800090281155,0.9949826356105539,0.9391787717000359,0.9631642208644733,0.8259802022961956
29,0.36424372795550813,0.4335062006894553,0.9549866366577577,0.9137148047229791,0.955959535575554,0.7382800090281155,0.9949994102180776,0.9392209031261162,0.9632804642606804,0.8259802022961956
30,0.3543230778275889,0.4270010608981467,0.9551273034182023,0.9141689373297003,0.9560804075858328,0.7386153908549636,0.9950870412608244,0.9397196889529963,0.9633966914967934,0.826794523507078
31,0.3441403531486576,0.419773133460439,0.9551273034182023,0.9141689373297003,0.9561282368350716,0.7386153908549636,0.9951376670880018,0.9399857577403594,0.963399924391862,0.826794523507078
32,0.3344693553676361,0.4129527402353923,0.9555493036995358,0.9155313351498637,0.956583502401708,0.756618707393011,0.9951642044883456,0.9397825363702913,0.9637663117393203,0.8303951750874679
33,0.3252351175654677,0.40630108871697107,0.9554086369390913,0.9155313351498637,0.9564119429331083,0.756618707393011,0.9951822158451403,0.9394922555651348,0.9636584581357062,0.8303951750874679
34,0.31636385209774565,0.4000830359473373,0.9555493036995358,0.9155313351498637,0.9565329239765372,0.756618707393011,0.9952121663765946,0.9395165315768649,0.963774541093459,0.8303951750874679
35,0.3078428335992973,0.39411188201922903,0.9555493036995358,0.9155313351498637,0.9565329239765372,0.756618707393011,0.9952433419581523,0.939467840892033,0.963774541093459,0.8303951750874679
36,0.2997318987909177,0.3885433874026884,0.9554086369390913,0.9155313351498637,0.9563593854021321,0.756618707393011,0.9952623341679044,0.9393814164049177,0.9636602984223552,0.8303951750874679
37,0.29193636679090235,0.3832386574997775,0.9561119707413138,0.9155313351498637,0.9571025189098776,0.756618707393011,0.9952881543248155,0.9392501880368666,0.9642549439996756,0.8303951750874679
