ticker,company_name,rating_date,sector,test_index,rank,model_key,model_label,predicted_class_id,predicted_class,predicted_probability,explained_class_id,explained_class,explained_class_model_probability,feature,feature_value,gradientshap_attribution,direction,feature_source,probability_source,xai_probability_source,xai_method,gradientshap_method,proxy_mse,proxy_argmax_agreement
NDAQ,"NASDAQ, INC",2014-11-03,6,1024,1,lightgbm,LightGBM,0,Distressed,0.9232875285348668,0,Distressed,0.9232875285348668,operating_cashflow_ps,1.9690122604370117,-0.023799791932106018,opposes_explained_class,original_financial_tabular_window_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.05535812329625783,0.8392338943702844
NDAQ,"NASDAQ, INC",2014-11-03,6,1024,2,lightgbm,LightGBM,0,Distressed,0.9232875285348668,0,Distressed,0.9232875285348668,debt_equity_ratio,-4.243708610534668,0.010095442645251751,supports_explained_class,original_financial_tabular_window_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.05535812329625783,0.8392338943702844
NDAQ,"NASDAQ, INC",2014-11-03,6,1024,3,lightgbm,LightGBM,0,Distressed,0.9232875285348668,0,Distressed,0.9232875285348668,net_profit_margin,-0.3920070230960846,0.00562581792473793,supports_explained_class,original_financial_tabular_window_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.05535812329625783,0.8392338943702844
NDAQ,"NASDAQ, INC",2014-11-03,6,1024,4,lightgbm,LightGBM,0,Distressed,0.9232875285348668,0,Distressed,0.9232875285348668,operating_profit_margin,-0.4367085099220276,-0.00469892006367445,opposes_explained_class,original_financial_tabular_window_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.05535812329625783,0.8392338943702844
NDAQ,"NASDAQ, INC",2014-11-03,6,1024,5,lightgbm,LightGBM,0,Distressed,0.9232875285348668,0,Distressed,0.9232875285348668,gross_profit_margin,-1.250985860824585,-0.004112111404538155,opposes_explained_class,original_financial_tabular_window_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.05535812329625783,0.8392338943702844
NDAQ,"NASDAQ, INC",2014-11-03,6,1024,6,lightgbm,LightGBM,0,Distressed,0.9232875285348668,0,Distressed,0.9232875285348668,roe,-0.4411238729953766,-0.003333859145641327,opposes_explained_class,original_financial_tabular_window_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.05535812329625783,0.8392338943702844
NDAQ,"NASDAQ, INC",2014-11-03,6,1024,7,lightgbm,LightGBM,0,Distressed,0.9232875285348668,0,Distressed,0.9232875285348668,asset_turnover,1.4101642370224,0.0031842452008277178,supports_explained_class,original_financial_tabular_window_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.05535812329625783,0.8392338943702844
NDAQ,"NASDAQ, INC",2014-11-03,6,1024,8,lightgbm,LightGBM,0,Distressed,0.9232875285348668,0,Distressed,0.9232875285348668,free_cashflow_ps,3.679206609725952,0.002526156371459365,supports_explained_class,original_financial_tabular_window_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.05535812329625783,0.8392338943702844
NDAQ,"NASDAQ, INC",2014-11-03,6,1024,9,lightgbm,LightGBM,0,Distressed,0.9232875285348668,0,Distressed,0.9232875285348668,current_ratio,-0.7803229689598083,-0.002195134060457349,opposes_explained_class,original_financial_tabular_window_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.05535812329625783,0.8392338943702844
NDAQ,"NASDAQ, INC",2014-11-03,6,1024,10,lightgbm,LightGBM,0,Distressed,0.9232875285348668,0,Distressed,0.9232875285348668,ebit_margin,-0.4103313386440277,0.0009606158710084856,supports_explained_class,original_financial_tabular_window_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.05535812329625783,0.8392338943702844
