Split,Accuracy,Precision_Weighted,Recall_Weighted,Macro_F1,Weighted_F1,AUC,QWK
Val,0.9114441416893733,0.9076809939929874,0.9114441416893733,0.7318467583732379,0.9090703239705115,0.9427270778054946,0.8179653787014532
Test,0.8787878787878788,0.8733124598978257,0.8787878787878788,0.7388515998301574,0.874986964490317,0.9154616505435006,0.8151741502308015
