Split,Calibration,Protocol,NLL,Objective,CDF_EMD2,Brier,ECE,Accuracy,Macro_F1,Weighted_F1,QWK,Ordinal_MAE,AUC_ROC_OVR_Macro,AUC,ChgAcc,Temperature
Val,raw,benchmark_ce,0.26611453409693486,0.26611453409693486,0.033666810150316424,0.1320754090461524,0.015145126125008474,0.919953596287703,0.801236121748825,0.9187223895412259,0.8606055161261342,0.08120649651972157,0.9504860863038137,0.9504860863038137,,1.0111540575740954
Val,temperature_oof,benchmark_ce,0.26693012077372363,0.26693012077372363,0.033701980080676146,0.13220123076118756,0.016129405095159845,0.919953596287703,0.801236121748825,0.9187223895412259,0.8606055161261342,0.08120649651972157,0.9486296185466645,0.9486296185466645,,1.0111540575740954
Test,raw,benchmark_ce,0.2541757064031745,0.2541757064031745,0.03261426109030171,0.12866751714520785,0.01652902899704382,0.9199071387115496,0.8011677555073735,0.9190185928764513,0.8635498943246466,0.08067324434126523,0.9596801639839215,0.9596801639839215,,1.0111540575740954
Test,temperature,benchmark_ce,0.25440296587106503,0.25440296587106503,0.03261999847950349,0.12865729052968514,0.016320016591812987,0.9199071387115496,0.8011677555073735,0.9190185928764513,0.8635498943246466,0.08067324434126523,0.9596850477777078,0.9596850477777078,,1.0111540575740954
