Split,Class0_Threshold,Checkpoint,Checkpoint_Epoch,Persistence_Prior_Scale,Final_Train_CE_Loss,Final_Val_CE_Loss,Final_Loss_Gap,Accuracy,Precision_Weighted,Recall_Weighted,Macro_F1,Weighted_F1,Class0_Precision,Class0_Recall,Class0_F1,Class0_F2,Class0_Support,AUC,QWK,ChgAcc,Ordinal_MAE
Val_PersistenceBaseline,,balanced_loss,55,2.0,0.2762921154499054,0.2890302240848541,0.01273810863494873,0.9222737819025522,0.9238586139304786,0.9222737819025522,0.8385356600694757,0.9229106458299051,0.6285714285714286,0.7333333333333333,0.676923076923077,0.7096774193548386,30,0.9036286532109458,0.8710992241173052,0.0,0.07888631090487239
Test_PersistenceBaseline,,balanced_loss,55,2.0,0.2762921154499054,0.2890302240848541,0.01273810863494873,0.9245502031340684,0.9251618681204067,0.9245502031340684,0.8315765543815087,0.9248379449276897,0.639344262295082,0.6610169491525424,0.65,0.6565656565656566,59,0.8949235597134191,0.8749899761336516,0.0,0.07603017991874637
Val_RawArgmax,,balanced_loss,55,2.0,0.2762921154499054,0.2890302240848541,0.01273810863494873,0.919953596287703,0.91735049210214,0.919953596287703,0.7860035467478866,0.9178260512660114,0.65,0.43333333333333335,0.52,0.46428571428571436,30,0.9746558815726004,0.8645635511592639,0.1044776119402985,0.08004640371229699
Test_RawArgmax,,balanced_loss,55,2.0,0.2762921154499054,0.2890302240848541,0.01273810863494873,0.922809053975624,0.9219031187356704,0.922809053975624,0.8210946739818583,0.9220118642611861,0.7021276595744681,0.559322033898305,0.6226415094339622,0.5830388692579505,59,0.9704280812296183,0.8711849562979173,0.06153846153846154,0.0771909460243761
Val_Class0Calibrated,0.25,balanced_loss,55,2.0,0.2762921154499054,0.2890302240848541,0.01273810863494873,0.919953596287703,0.9213263233266675,0.919953596287703,0.820343725019984,0.9205399021849805,0.5882352941176471,0.6666666666666666,0.625,0.6493506493506495,30,0.9746558815726004,0.8668223095806225,0.05970149253731343,0.08120649651972157
Test_Class0Calibrated,0.25,balanced_loss,55,2.0,0.2762921154499054,0.2890302240848541,0.01273810863494873,0.918165989553105,0.9209471988604743,0.918165989553105,0.815087283518554,0.9193341249721846,0.5555555555555556,0.6779661016949152,0.6106870229007634,0.6493506493506493,59,0.9704280812296183,0.8566532806425291,0.046153846153846156,0.08473592571096925
