epoch,train_Loss,val_Loss,train_CE_Loss,val_CE_Loss,train_Aux_Loss,val_Aux_Loss,val_LossGap,train_Accuracy,val_Accuracy,train_Macro_F1,val_Macro_F1,train_Class0_Precision,val_Class0_Precision,train_Class0_Recall,val_Class0_Recall,train_Class0_F1,val_Class0_F1,train_Class0_F2,val_Class0_F2,train_ChgAcc,val_ChgAcc,train_Ordinal_MAE,val_Ordinal_MAE,train_AUC,val_AUC,train_QWK,val_QWK,train_PersistenceAcc,val_PersistenceAcc,Learning_Rate,context_mask_prob,val_MetricScore,val_CheckpointScore,val_BalancedEligible,checkpoint_event
1,0.36635538935661316,0.3635657727718353,0.366354763507843,0.3635651469230652,6.372149528033333e-07,6.380111017278978e-07,0.0,0.9205506717531929,0.9222737819025522,0.8297846298075194,0.8385356600694757,0.6334841628959276,0.6285714285714286,0.6763285024154589,0.7333333333333333,0.6542056074766355,0.676923076923077,0.667302192564347,0.7096774193548386,0.0,0.0,0.08011278819041301,0.07888631090487239,0.9041295853455384,0.9182229093962224,0.8686628450344477,0.8710992241173052,0.9205506717531929,0.9222737819025522,0.001,0.2,0.8349061451563148,0.7694903939381508,True,metric+loss+balanced
2,0.34243836998939514,0.33843404054641724,0.3424372971057892,0.3384329676628113,1.0614210168569116e-06,1.0587197039058083e-06,0.0,0.9205506717531929,0.9222737819025522,0.8297846298075194,0.8385356600694757,0.6334841628959276,0.6285714285714286,0.6763285024154589,0.7333333333333333,0.6542056074766355,0.676923076923077,0.667302192564347,0.7096774193548386,0.0,0.0,0.08011278819041301,0.07888631090487239,0.9266800845341687,0.9301626823890544,0.8686628450344477,0.8710992241173052,0.9205506717531929,0.9222737819025522,0.001,0.1925,0.8349061451563148,0.7745168297902015,True,loss+balanced
3,0.3318993151187897,0.3270869553089142,0.33189791440963745,0.32708558440208435,1.3888195553590776e-06,1.3792275694868295e-06,0.0,0.9205506717531929,0.9222737819025522,0.8297846298075194,0.8385356600694757,0.6334841628959276,0.6285714285714286,0.6763285024154589,0.7333333333333333,0.6542056074766355,0.676923076923077,0.667302192564347,0.7096774193548386,0.0,0.0,0.08011278819041301,0.07888631090487239,0.9372215664913526,0.939260625758006,0.8686628450344477,0.8710992241173052,0.9205506717531929,0.9222737819025522,0.001,0.185,0.8349061451563148,0.7767863064423469,True,loss+balanced
4,0.32924142479896545,0.32402414083480835,0.32923975586891174,0.32402247190475464,1.6761390497777029e-06,1.6579763268964598e-06,0.0,0.9200530767954884,0.919953596287703,0.826823545288066,0.8237183736364129,0.6355140186915887,0.6060606060606061,0.6570048309178744,0.6666666666666666,0.6460807600950119,0.6349206349206349,0.6525911708253359,0.65359477124183,0.0020876826722338203,0.0,0.0807762481340189,0.08236658932714618,0.9431086772540537,0.9458121921533834,0.866481664991902,0.860703527982108,0.9205506717531929,0.9222737819025522,0.001,0.17750000000000002,0.824690671991405,0.7708327080729541,True,loss+balanced
5,0.33041417598724365,0.3251648545265198,0.33041223883628845,0.32516294717788696,1.943033794304938e-06,1.917008830787381e-06,0.0,0.9203848067672914,0.925754060324826,0.8172073421135053,0.8417869185245834,0.6823529411764706,0.782608695652174,0.5603864734299517,0.6,0.6153846153846154,0.6792452830188679,0.5811623246492987,0.6293706293706293,0.04801670146137787,0.1044776119402985,0.08094211311992039,0.0765661252900232,0.9465732182732342,0.9490810290733206,0.860922365557774,0.8643666999343638,0.9205506717531929,0.9222737819025522,0.001,0.17,0.8336187703070852,0.7798914089518183,True,
6,0.3323453664779663,0.32729363441467285,0.332343190908432,0.32729148864746094,2.1903840661252616e-06,2.1581595319730695e-06,0.0,0.9183944269364737,0.9222737819025522,0.7876927320901282,0.7985326167403541,0.6984126984126984,0.7647058823529411,0.4251207729468599,0.43333333333333335,0.5285285285285285,0.5531914893617021,0.4612159329140461,0.4744525547445255,0.08350730688935282,0.13432835820895522,0.0829324929507381,0.07888631090487239,0.9494111904519159,0.9509357834221875,0.8536785662346614,0.8609049248047506,0.9205506717531929,0.9222737819025522,0.001,0.1625,0.8125706273759359,0.7680818199671298,True,
7,0.3332938551902771,0.3285521864891052,0.3332914412021637,0.3285498023033142,2.4281760033773025e-06,2.3929924282128923e-06,0.0,0.9170675070492619,0.9222737819025522,0.77259448614516,0.7920463130855243,0.7169811320754716,0.8,0.3671497584541063,0.4,0.48562300319488816,0.5333333333333333,0.4068522483940043,0.4444444444444445,0.1022964509394572,0.14925373134328357,0.08376181788024548,0.07888631090487239,0.9517001576828007,0.9531350101155294,0.8520602107059286,0.8596718078475878,0.9205506717531929,0.9222737819025522,0.001,0.155,0.8094824870935869,0.7665353070829399,True,
8,0.33274438977241516,0.32854023575782776,0.33274170756340027,0.32853761315345764,2.66962115347269e-06,2.635727469169069e-06,0.0,0.9172333720351634,0.9234338747099768,0.7784139297279328,0.7967306127546593,0.7207207207207207,0.8571428571428571,0.3864734299516908,0.4,0.5031446540880503,0.5454545454545454,0.4259850905218317,0.4477611940298508,0.10020876826722339,0.1791044776119403,0.083595952894344,0.0777262180974478,0.9537301719049797,0.9549858421639258,0.8528513841268979,0.8610606280046533,0.9205506717531929,0.9222737819025522,0.001,0.1475,0.8127375126808597,0.7692572894358652,True,
9,0.3307812511920929,0.3271739184856415,0.3307783305644989,0.3271710276603699,2.921392706412007e-06,2.89199465441925e-06,0.0,0.916404047105656,0.9187935034802784,0.7808055863641954,0.7641167794475852,0.68,0.7142857142857143,0.4106280193236715,0.3333333333333333,0.5120481927710844,0.45454545454545453,0.4459601259181532,0.3731343283582089,0.08559498956158663,0.14925373134328357,0.08425941283794991,0.08236658932714618,0.9556027832477931,0.9566028016987103,0.8536487193667841,0.8530061716570969,0.9205506717531929,0.9222737819025522,0.001,0.14,0.796296495718118,0.758320107930561,False,
10,0.32749974727630615,0.32453230023384094,0.32749655842781067,0.32452914118766785,3.1931740522850305e-06,3.1697798021923518e-06,0.0,0.9183944269364737,0.9211136890951276,0.803278120108469,0.8055205256041128,0.6866666666666666,0.6818181818181818,0.4975845410628019,0.5,0.5770308123249299,0.5769230769230769,0.5265848670756647,0.528169014084507,0.0709812108559499,0.1044776119402985,0.08226903300713219,0.08004640371229699,0.9572624043945316,0.9583632226096231,0.8592862917525419,0.8619505835329571,0.9205506717531929,0.9222737819025522,0.001,0.1325,0.8165513153672822,0.7694706770197196,True,
11,0.323591947555542,0.3213886618614197,0.32358846068382263,0.3213852047920227,3.4880376915680245e-06,3.4714753383013885e-06,0.0,0.919887211809587,0.9211136890951276,0.8192162481643143,0.8106052490055714,0.68,0.6666666666666666,0.5748792270531401,0.5333333333333333,0.6230366492146597,0.5925925925925926,0.5932203389830509,0.5555555555555556,0.05010438413361169,0.08955223880597014,0.0807762481340189,0.08004640371229699,0.9588266516417542,0.9599617533816134,0.8639176840049295,0.8631274796151592,0.9205506717531929,0.9222737819025522,0.001,0.125,0.8192287076101468,0.7711694543559425,True,loss+balanced
12,0.31997033953666687,0.31858429312705994,0.31996652483940125,0.3185805082321167,3.8037262584111886e-06,3.793693394982256e-06,0.0,0.9190578868800796,0.9211136890951276,0.818327875219456,0.8196910886107279,0.6410256410256411,0.6428571428571429,0.6038647342995169,0.6,0.6218905472636815,0.6206896551724138,0.6109481915933529,0.6081081081081081,0.020876826722338204,0.05970149253731343,0.0816055730635263,0.08004640371229699,0.9602839341269189,0.9611255642238151,0.864188011908024,0.865422081491743,0.9205506717531929,0.9222737819025522,0.001,0.11750000000000001,0.8242441997939725,0.7736865773504138,True,loss+balanced
13,0.3169941008090973,0.31634652614593506,0.3169899582862854,0.31634238362312317,4.136494226258947e-06,4.131451532884967e-06,0.0,0.9197213468236856,0.9222737819025522,0.8216703121326416,0.8246031746031747,0.6386138613861386,0.6333333333333333,0.6231884057971014,0.6333333333333333,0.6308068459657702,0.6333333333333333,0.6262135922330098,0.6333333333333333,0.014613778705636743,0.04477611940298507,0.08094211311992039,0.07888631090487239,0.9616661037512907,0.9625452400087626,0.8658158961270197,0.868368237347295,0.9205506717531929,0.9222737819025522,0.001,0.11,0.8277076459621819,0.7761752909482927,True,loss+balanced
14,0.31462833285331726,0.31455034017562866,0.3146238327026367,0.3145458400249481,4.490108494792366e-06,4.489107595873065e-06,0.0,0.9200530767954884,0.9222737819025522,0.8256999599498894,0.8320760477853887,0.638095238095238,0.6176470588235294,0.6473429951690821,0.7,0.6426858513189448,0.65625,0.6454720616570327,0.6818181818181818,0.006263048016701462,0.014925373134328358,0.08061038314811743,0.07888631090487239,0.9627963022019642,0.9633754935518438,0.8669788376580726,0.870622743295282,0.9205506717531929,0.9222737819025522,0.001,0.10250000000000001,0.8321490567076534,0.7781934244438707,True,loss+balanced
15,0.3127117455005646,0.3129178583621979,0.3127068877220154,0.3129130005836487,4.852057827520184e-06,4.852660367760109e-06,0.00020611286163330078,0.92021894178139,0.9211136890951276,0.8273983272021209,0.8311172287049139,0.6384976525821596,0.6176470588235294,0.6570048309178744,0.7,0.6476190476190476,0.65625,0.6532180595581172,0.6818181818181818,0.0041753653444676405,0.0,0.08044451816221596,0.08004640371229699,0.9637615308104005,0.9646707317068864,0.8674850593411001,0.8687232682548058,0.9205506717531929,0.9222737819025522,0.001,0.09499999999999999,0.830267924561992,0.7767319459379853,True,loss+balanced
16,0.31090226769447327,0.3112034499645233,0.3108970522880554,0.31119823455810547,5.221832907409407e-06,5.221882474870654e-06,0.00030118227005004883,0.9203848067672914,0.9211136890951276,0.8290734523806055,0.8311172287049139,0.6388888888888888,0.6176470588235294,0.6666666666666666,0.7,0.6524822695035462,0.65625,0.6609195402298851,0.6818181818181818,0.0020876826722338203,0.0,0.08027865317631448,0.08004640371229699,0.9645975202188009,0.9655645152407915,0.8679894771395877,0.8687232682548058,0.9205506717531929,0.9222737819025522,0.001,0.0875,0.830267924561992,0.7770634908140841,True,loss+balanced
17,0.3090645372867584,0.3091968297958374,0.3090589642524719,0.3091912567615509,5.586882707575569e-06,5.584828159044264e-06,0.0001322925090789795,0.9203848067672914,0.9211136890951276,0.8290734523806055,0.8311172287049139,0.6388888888888888,0.6176470588235294,0.6666666666666666,0.7,0.6524822695035462,0.65625,0.6609195402298851,0.6818181818181818,0.0020876826722338203,0.0,0.08027865317631448,0.08004640371229699,0.9653308804797791,0.9663486225487842,0.8679894771395877,0.8687232682548058,0.9205506717531929,0.9222737819025522,0.001,0.08,0.830267924561992,0.7774851531447116,True,loss+balanced
18,0.30725085735321045,0.30708977580070496,0.3072448968887329,0.3070838451385498,5.947113550064387e-06,5.9397889344836585e-06,0.0,0.9203848067672914,0.9211136890951276,0.8290734523806055,0.8311172287049139,0.6388888888888888,0.6176470588235294,0.6666666666666666,0.7,0.6524822695035462,0.65625,0.6609195402298851,0.6818181818181818,0.0020876826722338203,0.0,0.08027865317631448,0.08004640371229699,0.9659371576463034,0.9670666712760297,0.8679894771395877,0.8687232682548058,0.9205506717531929,0.9222737819025522,0.001,0.07249999999999998,0.830267924561992,0.7779225105704012,True,loss+balanced
