row_id,ticker,company_name,rating_date,sector,xai_shared_sample_id,test_index,rank,model_key,model_label,predicted_class_id,predicted_class,predicted_probability,explained_class_id,explained_class,explained_class_model_probability,feature,feature_value,gradientshap_attribution,direction,feature_source,probability_source,xai_probability_source,xai_method,gradientshap_method,proxy_mse,proxy_argmax_agreement
test_000518,KOS,"Kosmos Energy, Ltd.",2016-02-09,5,KOS|2016-02-09,518,1,gat,GAT,2,IG,0.9177975363981759,0,Distressed,0.019597322990830075,roa,1.2526087662092122,-0.03901154175400734,opposes_explained_class,df_test_mask_original_financial_features,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.03606567584754026,0.8195008705745792
test_000518,KOS,"Kosmos Energy, Ltd.",2016-02-09,5,KOS|2016-02-09,518,2,gat,GAT,2,IG,0.9177975363981759,0,Distressed,0.019597322990830075,operating_profit_margin,0.3863138107452947,0.01228680182248354,supports_explained_class,df_test_mask_original_financial_features,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.03606567584754026,0.8195008705745792
test_000518,KOS,"Kosmos Energy, Ltd.",2016-02-09,5,KOS|2016-02-09,518,3,gat,GAT,2,IG,0.9177975363981759,0,Distressed,0.019597322990830075,debt_equity_ratio,-0.07745905724530673,-0.011557875201106071,opposes_explained_class,df_test_mask_original_financial_features,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.03606567584754026,0.8195008705745792
test_000518,KOS,"Kosmos Energy, Ltd.",2016-02-09,5,KOS|2016-02-09,518,4,gat,GAT,2,IG,0.9177975363981759,0,Distressed,0.019597322990830075,current_ratio,0.2858280111056196,0.01046996470540762,supports_explained_class,df_test_mask_original_financial_features,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.03606567584754026,0.8195008705745792
test_000518,KOS,"Kosmos Energy, Ltd.",2016-02-09,5,KOS|2016-02-09,518,5,gat,GAT,2,IG,0.9177975363981759,0,Distressed,0.019597322990830075,ebit_margin,0.5021862104961876,-0.00965738482773304,opposes_explained_class,df_test_mask_original_financial_features,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.03606567584754026,0.8195008705745792
test_000518,KOS,"Kosmos Energy, Ltd.",2016-02-09,5,KOS|2016-02-09,518,6,gat,GAT,2,IG,0.9177975363981759,0,Distressed,0.019597322990830075,net_profit_margin,0.6730383250349782,-0.009519188664853573,opposes_explained_class,df_test_mask_original_financial_features,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.03606567584754026,0.8195008705745792
test_000518,KOS,"Kosmos Energy, Ltd.",2016-02-09,5,KOS|2016-02-09,518,7,gat,GAT,2,IG,0.9177975363981759,0,Distressed,0.019597322990830075,operating_cashflow_ps,-0.044743242975743135,0.008534549735486507,supports_explained_class,df_test_mask_original_financial_features,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.03606567584754026,0.8195008705745792
test_000518,KOS,"Kosmos Energy, Ltd.",2016-02-09,5,KOS|2016-02-09,518,8,gat,GAT,2,IG,0.9177975363981759,0,Distressed,0.019597322990830075,gross_profit_margin,-0.7823124879773075,-0.003201566869392991,opposes_explained_class,df_test_mask_original_financial_features,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.03606567584754026,0.8195008705745792
test_000518,KOS,"Kosmos Energy, Ltd.",2016-02-09,5,KOS|2016-02-09,518,9,gat,GAT,2,IG,0.9177975363981759,0,Distressed,0.019597322990830075,asset_turnover,1.271329699893734,0.002216602908447385,supports_explained_class,df_test_mask_original_financial_features,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.03606567584754026,0.8195008705745792
test_000518,KOS,"Kosmos Energy, Ltd.",2016-02-09,5,KOS|2016-02-09,518,10,gat,GAT,2,IG,0.9177975363981759,0,Distressed,0.019597322990830075,roe,1.1461290504521027,-0.0011283408384770155,opposes_explained_class,df_test_mask_original_financial_features,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.03606567584754026,0.8195008705745792
