epoch,train_Loss,val_Loss,train_CE_Loss,val_CE_Loss,train_NLL,val_NLL,train_Objective,val_Objective,train_Aux_Loss,val_Aux_Loss,val_LossGap,train_Accuracy,val_Accuracy,train_Balanced_Accuracy,val_Balanced_Accuracy,train_Macro_F1,val_Macro_F1,train_Class0_Precision,val_Class0_Precision,train_Class0_Recall,val_Class0_Recall,train_Class0_F1,val_Class0_F1,train_Class0_F2,val_Class0_F2,train_ChgAcc,val_ChgAcc,train_Ordinal_MAE,val_Ordinal_MAE,train_AUC,val_AUC,train_QWK,val_QWK,train_PersistenceAcc,val_PersistenceAcc,Learning_Rate,context_mask_prob,val_MetricScore,val_CheckpointScore,val_BalancedEligible,checkpoint_event
1,0.5015517473220825,0.5282251834869385,0.5015517473220825,0.5282251834869385,0.5015517473220825,0.5282251834869385,0.5015517473220825,0.5282251834869385,0.0,0.0,0.026673436164855957,0.9452070464424617,0.9222737819025522,0.9467638213091321,0.854951690821256,0.946132039209397,0.8385356600694757,0.9556164383561644,0.6285714285714286,0.9630038652678078,0.7333333333333333,0.9592959295929593,0.676923076923077,0.9615172565883779,0.7096774193548386,0.0,0.0,0.055250514756348665,0.07888631090487239,0.970490805023258,0.9349714861287722,0.9527954593958241,0.8710992241173052,0.9452070464424617,0.9222737819025522,0.0006,0.25,0.7913385083461051,0.7913385083461051,True,metric+protocol_loss+balanced
2,0.47833698987960815,0.5091850161552429,0.47833698987960815,0.5091850161552429,0.47833698987960815,0.5091850161552429,0.47833698987960815,0.5091850161552429,0.0,0.0,0.030848026275634766,0.9452070464424617,0.9222737819025522,0.9467638213091321,0.854951690821256,0.946132039209397,0.8385356600694757,0.9556164383561644,0.6285714285714286,0.9630038652678078,0.7333333333333333,0.9592959295929593,0.676923076923077,0.9615172565883779,0.7096774193548386,0.0,0.0,0.055250514756348665,0.07888631090487239,0.9724283847271651,0.9374994908890457,0.9527954593958241,0.8710992241173052,0.9452070464424617,0.9222737819025522,0.0006,0.2471186440677966,0.7909210493350272,0.7909210493350272,True,protocol_loss+balanced
3,0.4597699046134949,0.49348047375679016,0.4597699046134949,0.49348047375679016,0.4597699046134949,0.49348047375679016,0.4597699046134949,0.49348047375679016,0.0,0.0,0.03371056914329529,0.9452070464424617,0.9222737819025522,0.9467638213091321,0.854951690821256,0.946132039209397,0.8385356600694757,0.9556164383561644,0.6285714285714286,0.9630038652678078,0.7333333333333333,0.9592959295929593,0.676923076923077,0.9615172565883779,0.7096774193548386,0.0,0.0,0.055250514756348665,0.07888631090487239,0.9734386249334145,0.9386531059402828,0.9527954593958241,0.8710992241173052,0.9452070464424617,0.9222737819025522,0.0006,0.24423728813559323,0.7906347950482612,0.7906347950482612,True,protocol_loss+balanced
4,0.4446043074131012,0.4802168309688568,0.4446043074131012,0.4802168309688568,0.4446043074131012,0.4802168309688568,0.4446043074131012,0.4802168309688568,0.0,0.0,0.035612523555755615,0.9453214367421643,0.9245939675174014,0.9462698119159297,0.8573326432022084,0.9462861027236421,0.8470354323891597,0.9601769911504425,0.6666666666666666,0.958586416344561,0.7333333333333333,0.9593810444874274,0.6984126984126984,0.9589041095890412,0.7189542483660131,0.018789144050104383,0.029850746268656716,0.05513612445664608,0.0765661252900232,0.9739848467473277,0.9396389855383184,0.9527781536934743,0.8737540383372819,0.9452070464424617,0.9222737819025522,0.0006,0.24135593220338983,0.7947016986836818,0.7947016986836818,True,metric+protocol_loss+balanced
5,0.43196120858192444,0.46877628564834595,0.43196120858192444,0.46877628564834595,0.43196120858192444,0.46877628564834595,0.43196120858192444,0.46877628564834595,0.0,0.0,0.03681507706642151,0.9441775337451385,0.925754060324826,0.9442785260279093,0.8585231193926847,0.9448261810758461,0.8514550354584253,0.9609810479375697,0.6875,0.9519602429596907,0.7333333333333333,0.9564493758668516,0.7096774193548387,0.9537508298296081,0.7236842105263157,0.022964509394572025,0.04477611940298507,0.05628002745367193,0.07540603248259861,0.9744256874649769,0.9403000395204275,0.9517186908910191,0.875097860266353,0.9452070464424617,0.9222737819025522,0.0006,0.23847457627118646,0.7967693937892468,0.7967693937892468,True,metric+protocol_loss+balanced
6,0.421261191368103,0.458895206451416,0.421261191368103,0.458895206451416,0.421261191368103,0.458895206451416,0.421261191368103,0.458895206451416,0.0,0.0,0.03763401508331299,0.9399450926561428,0.925754060324826,0.9374682922712371,0.8585231193926847,0.9393851533680202,0.8514550354584253,0.9601593625498008,0.6875,0.9315295416896742,0.7333333333333333,0.945627802690583,0.7096774193548387,0.9371180979891123,0.7236842105263157,0.022964509394572025,0.04477611940298507,0.060512468542667584,0.07540603248259861,0.9748462493201965,0.940988580363237,0.9478721119873242,0.875097860266353,0.9452070464424617,0.9222737819025522,0.0006,0.23559322033898306,0.7966874999875576,0.7966874999875576,True,protocol_loss+balanced
7,0.4119652509689331,0.45016735792160034,0.4119652509689331,0.45016735792160034,0.4119652509689331,0.45016735792160034,0.4119652509689331,0.45016735792160034,0.0,0.0,0.038202106952667236,0.9394875314573324,0.925754060324826,0.9367320507840292,0.8585231193926847,0.9387937588225044,0.8514550354584253,0.9600684540787222,0.6875,0.9293208172280508,0.7333333333333333,0.9444444444444444,0.7096774193548387,0.9353117705901968,0.7236842105263157,0.022964509394572025,0.04477611940298507,0.06097002974147792,0.07540603248259861,0.9752187707451263,0.9415434393890235,0.9474538314382662,0.875097860266353,0.9452070464424617,0.9222737819025522,0.0006,0.23271186440677966,0.7966306908006222,0.7966306908006222,True,protocol_loss+balanced
8,0.4037964940071106,0.44244110584259033,0.4037964940071106,0.44244110584259033,0.4037964940071106,0.44244110584259033,0.4037964940071106,0.44244110584259033,0.0,0.0,0.038644611835479736,0.9363989933653626,0.925754060324826,0.9318377618303771,0.8585231193926847,0.9348815224280909,0.8514550354584253,0.9600231749710313,0.6875,0.9149641082274986,0.7333333333333333,0.9369522193949675,0.7096774193548387,0.9236343366778149,0.7236842105263157,0.025052192066805846,0.04477611940298507,0.06405856783344772,0.07540603248259861,0.9755622913710148,0.9423427956128151,0.9446236177082693,0.875097860266353,0.9452070464424617,0.9222737819025522,0.0006,0.22983050847457628,0.7965864403123409,0.7965864403123409,True,protocol_loss+balanced
9,0.39662981033325195,0.43573862314224243,0.39662981033325195,0.43573862314224243,0.39662981033325195,0.43573862314224243,0.39662981033325195,0.43573862314224243,0.0,0.0,0.03910881280899048,0.934911919469229,0.925754060324826,0.9292493443947881,0.8585231193926847,0.9329779779710483,0.8550439874347117,0.9613583138173302,0.7096774193548387,0.9066813914964108,0.7333333333333333,0.9332196646774652,0.7213114754098361,0.9171134941912423,0.7284768211920529,0.033402922755741124,0.04477611940298507,0.06566003202928392,0.07540603248259861,0.9758440109282089,0.9434698817517756,0.9429342114528877,0.8745312900548765,0.9452070464424617,0.9222737819025522,0.0006,0.22694915254237288,0.7977961534066902,0.7977961534066902,True,metric+protocol_loss+balanced
10,0.3902457356452942,0.42988839745521545,0.3902457356452942,0.42988839745521545,0.3902457356452942,0.42988839745521545,0.3902457356452942,0.42988839745521545,0.0,0.0,0.039642661809921265,0.9331960649736902,0.9234338747099768,0.9271440333666817,0.8561421670117323,0.9310903910972551,0.8531356433135112,0.960093896713615,0.7096774193548387,0.9033683048039757,0.7333333333333333,0.9308677098150783,0.7213114754098361,0.9141707644166295,0.7284768211920529,0.03549060542797495,0.04477611940298507,0.06749027682452528,0.0777262180974478,0.9760760628070949,0.9445461758250939,0.9411720071487625,0.8706836949006613,0.9452070464424617,0.9222737819025522,0.0006,0.22406779661016948,0.7957926692993995,0.7957926692993995,True,protocol_loss+balanced
11,0.3845357894897461,0.4248809814453125,0.3845357894897461,0.4248809814453125,0.3845357894897461,0.4248809814453125,0.3845357894897461,0.4248809814453125,0.0,0.0,0.040345191955566406,0.9313658201784488,0.9222737819025522,0.9252313673917758,0.854951690821256,0.9294666387944789,0.852178659578002,0.9606114050558495,0.7096774193548387,0.902263942573164,0.7333333333333333,0.9305239179954442,0.7213114754098361,0.9133594186696479,0.7284768211920529,0.037578288100208766,0.04477611940298507,0.06977808281857699,0.07888631090487239,0.976279368732456,0.945567537113328,0.9384762353558972,0.8687576126674786,0.9452070464424617,0.9222737819025522,0.0006,0.2211864406779661,0.7947463825950182,0.7947463825950182,False,protocol_loss
