epoch,train_NLL,val_NLL,train_Objective,val_Objective,train_Loss,val_Loss,train_Accuracy,val_Accuracy,train_Macro_F1,val_Macro_F1,train_AUC,val_AUC,train_QWK,val_QWK
1,1.0032323784737862,0.8815118582918902,1.0032323784737862,0.8815118582918902,1.0032323784737862,0.8815118582918902,0.4421185083504919,0.6403712296983759,0.20438380793738928,0.26025459688826025,0.9853762328754737,0.9369624898899436,0.0,0.0
2,0.9561147503045885,0.8477468452003974,0.9561147503045885,0.8477468452003974,0.9561147503045885,0.8477468452003974,0.4421185083504919,0.6403712296983759,0.20438380793738928,0.26025459688826025,0.9868154807241897,0.9383608190685608,0.0,0.0
3,0.9125011008499593,0.8160533881691974,0.9125011008499593,0.8160533881691974,0.9125011008499593,0.8160533881691974,0.6407000686341798,0.7529002320185615,0.47759529530708716,0.4537800171288109,0.9875201475771793,0.9384819564286339,0.09202319894598998,0.3127654095046055
4,0.8724746499004948,0.7872913630669361,0.8724746499004948,0.7872913630669361,0.8724746499004948,0.7872913630669361,0.7422786547700755,0.882830626450116,0.5635189380099782,0.5897649060397494,0.9884855707575994,0.9389284133023944,0.14579641155628453,0.652021502738942
5,0.8347276071221786,0.7596455413407373,0.8347276071221786,0.7596455413407373,0.8347276071221786,0.7596455413407373,0.7538320750400366,0.9002320185614849,0.5715580830427511,0.6038359788359788,0.9887007580142685,0.9381905241714802,0.154674053759689,0.7081362441883969
6,0.7998357399488438,0.7341835070391056,0.7998357399488438,0.7341835070391056,0.7998357399488438,0.7341835070391056,0.7544040265385495,0.9060324825986079,0.5716445240074776,0.6082938626168458,0.9890701436752863,0.9404188672198733,0.15467526847258772,0.7263161077681353
7,0.7667117589742718,0.709431503438293,0.7667117589742718,0.709431503438293,0.7667117589742718,0.709431503438293,0.9352550903683368,0.9060324825986079,0.9347128642058892,0.6080259609671375,0.9893602290184905,0.9446565836221518,0.9049079047153541,0.7400639285929678
8,0.7356543541216899,0.6860207061261114,0.7356543541216899,0.6860207061261114,0.7356543541216899,0.6860207061261114,0.937657286662091,0.9060324825986079,0.937255207814787,0.6289848079072872,0.9899778990817362,0.9467388577696748,0.9160925890280982,0.7479998200962485
9,0.7064038769035601,0.6642870751784736,0.7064038769035601,0.6642870751784736,0.7064038769035601,0.6642870751784736,0.9391443605582247,0.9095127610208816,0.9391678108567895,0.6847963798478914,0.9902955656815223,0.9461671037412898,0.9218799910291208,0.7784690845542703
10,0.6788237528477431,0.6433834188164445,0.6788237528477431,0.6433834188164445,0.6788237528477431,0.6433834188164445,0.9430336307481125,0.9129930394431555,0.9438481370418538,0.7182148291214099,0.9905203459059063,0.9469205692509491,0.9354613255339534,0.799595082872393
11,0.6528110429403536,0.6237329132484823,0.6528110429403536,0.6237329132484823,0.6528110429403536,0.6237329132484823,0.9455502173415694,0.9176334106728539,0.9468064271080371,0.761895819448256,0.9909165058777433,0.9475183431909969,0.9438948853438849,0.8293964756658798
12,0.6286881676509886,0.6060294999000531,0.6286881676509886,0.6060294999000531,0.6286881676509886,0.6060294999000531,0.9468085106382979,0.9164733178654292,0.9481918227899023,0.7571420505871725,0.9910076899297761,0.9470053263769534,0.9467807620630064,0.84053695095342
13,0.6054832540132578,0.5884467033801768,0.6054832540132578,0.5884467033801768,0.6054832540132578,0.5884467033801768,0.9479524136353237,0.9164733178654292,0.9495867532449446,0.7571420505871725,0.9913483083190363,0.9470597332241607,0.9510749081101483,0.84053695095342
14,0.583480114324674,0.5718357117144057,0.583480114324674,0.5718357117144057,0.583480114324674,0.5718357117144057,0.9487531457332419,0.9176334106728539,0.9505714079979962,0.7661959194116216,0.9918104605372234,0.9468005008556108,0.9535668190632638,0.8563326588387739
