Model,Accuracy,Precision_Weighted,Recall_Weighted,Macro_F1,Weighted_F1,QWK,Ordinal_MAE,AUC_ROC_OVR_Macro,AUC
LSTM only,0.9175856065002902,0.9150212888268008,0.9175856065002902,0.7717181160125945,0.9156343280439859,0.8577319916382276,0.08299477655252467,0.9543324180483101,0.9543324180483101
Transformer-LSTM only,0.9251305861868834,0.9209800523754244,0.9251305861868834,0.7625423932759393,0.9222594171823576,0.8604835064873162,0.0771909460243761,0.969685043894767,0.969685043894767
GraphSAGE/GAT only,0.9233894370284388,0.9234849683011221,0.9233894370284388,0.8251834760731559,0.923424283112033,0.8694225296577266,0.07777132907719095,0.9306294421321039,0.9306294421321039
Soft voting (3 models),0.9245502031340684,0.9229335062363127,0.9245502031340684,0.8068672992258713,0.9230785914607197,0.8726724739705906,0.07544979686593152,0.9613387721670086,0.9613387721670086
Validation-weighted voting (3 models),0.9245502031340684,0.9229335062363127,0.9245502031340684,0.8068672992258713,0.9230785914607197,0.8726724739705906,0.07544979686593152,0.9613425614649808,0.9613425614649808
Majority vote only,0.922228670922809,0.9208060179463436,0.922228670922809,0.8001745855686946,0.9210612440888951,0.8667947643594974,0.0783517121300058,0.9564974624641897,0.9564974624641897
DMF/DCS proposed 3-model (constant),0.9239698200812536,0.9202462912030133,0.9239698200812536,0.7467211290470392,0.9186924898259722,0.8629044900053204,0.07661056297156123,0.9483963447440639,0.9483963447440639
