class0_threshold,Accuracy,Macro_F1,Class0_Precision,Class0_Recall,Class0_F1,Class0_F2
0.26,0.9222737819025522,0.8385356600694757,0.6285714285714286,0.7333333333333333,0.676923076923077,0.7096774193548386
0.27,0.9222737819025522,0.8385356600694757,0.6285714285714286,0.7333333333333333,0.676923076923077,0.7096774193548386
0.28,0.9222737819025522,0.8385356600694757,0.6285714285714286,0.7333333333333333,0.676923076923077,0.7096774193548386
0.29,0.9222737819025522,0.8385356600694757,0.6285714285714286,0.7333333333333333,0.676923076923077,0.7096774193548386
0.3,0.9222737819025522,0.8385356600694757,0.6285714285714286,0.7333333333333333,0.676923076923077,0.7096774193548386
0.31,0.9222737819025522,0.8385356600694757,0.6285714285714286,0.7333333333333333,0.676923076923077,0.7096774193548386
0.32,0.9222737819025522,0.8385356600694757,0.6285714285714286,0.7333333333333333,0.676923076923077,0.7096774193548386
0.33,0.9222737819025522,0.8385356600694757,0.6285714285714286,0.7333333333333333,0.676923076923077,0.7096774193548386
0.34,0.9222737819025522,0.8385356600694757,0.6285714285714286,0.7333333333333333,0.676923076923077,0.7096774193548386
0.35,0.9222737819025522,0.8385356600694757,0.6285714285714286,0.7333333333333333,0.676923076923077,0.7096774193548386
0.36,0.9222737819025522,0.8385356600694757,0.6285714285714286,0.7333333333333333,0.676923076923077,0.7096774193548386
0.37,0.9222737819025522,0.8385356600694757,0.6285714285714286,0.7333333333333333,0.676923076923077,0.7096774193548386
